Al,Ap,cost,Xtau,XN,Ztau,ZN,xx,yy,zz,fev
2.9652101204067,1.8762789335698098,0.005226331408027862,2.608711863279598,7.0,0.7473335627370609,1.0,0.014760055868642692,-0.0639480309688025,-0.989547337183938,64842
4.989838414920805,1.051780531751444,0.002033074953755154,3.915,13.0,0.97875,1.0,-0.011742917254367054,-0.005493883371938444,-0.9959338500924686,64519
4.442679181501609,0.41727516112198226,0.00846105173031475,2.865,25.0,0.71625,1.0,-0.006302845734249149,-0.020203459637084344,-0.983077896539349,30875
1.52894512968041,0.3886646793525167,0.00960744717629225,4.065,16.0,0.7621875,25.0,-0.012162574233777151,0.010374868426014913,-0.9807851056474082,34481
2.7176935193092753,0.500033606633352,0.009149055013262686,4.24,19.0,0.53,25.0,-0.014957951729681677,0.004431336265644334,-0.981701889973503,42030
3.4603372273559216,0.7901454584880572,0.005613271814714493,1.7650000000000001,13.0,0.44125000000000003,1.0,-0.014632796429318584,0.009896215211169316,-0.9887734563705803,43227
2.819806478092118,0.9918582875877632,0.008501422542710912,4.18,10.0,1.045,7.0,-0.033737280441626466,-0.02952376073736656,-0.9829971549145835,43441
2.7963640144508846,0.3821908835119128,0.002258407960890052,4.2,25.0,1.3125,1.0,-0.023479248877205747,-0.01593883656582947,-0.9954831840781783,31535
2.8514466635216222,0.380236385030861,0.001216295880860252,4.175,25.0,0.2609375,25.0,-0.011368741583828768,0.0006051705194013695,-0.997567408238309,44956
2.264901057959718,0.8025067617202069,0.008304992244052345,2.8549999999999995,10.0,0.5353125,4.0,-0.024980755060042624,0.011020161126189944,-0.9833900155119174,58725
1.6051898804219165,0.8308733703520889,0.004052267008971211,4.01,25.0,1.0025,1.0,-0.012227798179410273,-0.043223356986966784,-0.9918954659820934,36821
4.461527640522583,1.2246249616670895,0.005415709770698829,4.119999999999999,10.0,1.03,1.0,-0.030090041233534662,-0.01957409181901812,-0.9891685804585917,62446
4.09173793406589,1.65879911573653,0.00412300375029262,0.3238125,9.0,0.1340625,6.0,-0.05298708370363192,-0.0059007876925882335,-0.9917539924994165,75494
0.35078581736918574,0.7124073962673808,0.008922450389307945,2.71,7.0,0.6775,13.0,-0.03860108727373533,-0.010566035813783247,-0.982155099221397,40522
3.8440297359395705,1.5762567755589354,0.0034760155248131364,0.34637500000000004,9.0,0.07437500000000001,18.0,-0.04922622589496575,0.0005989523930360957,-0.9930479689503565,79388
4.478348501720394,1.796238914969924,0.008347335839214542,0.32681249999999995,10.0,0.0196875,13.0,-0.056897050459051884,0.0008847691358042373,-0.9833053283215879,82956
2.9540360966094745,1.393319356424992,0.00839920812219741,0.36093749999999997,10.0,0.0703125,25.0,-0.05099601344845772,-0.0007543879860022864,-0.9832015837556044,82112
4.446069297892997,0.8305327849476911,0.006929571237068832,2.86,13.0,0.17875,13.0,-0.014012945161111874,0.006327102529334881,-0.9861408575258622,39042
2.012001446202744,0.7809077310482784,0.001446619094157997,2.95,10.0,0.184375,19.0,-0.01569782234459563,0.010479938573648925,-0.9971067618117017,56839
2.7698886550303046,0.4191988830432938,0.007358505121059622,4.215,22.0,1.3171875,19.0,-0.016346096088781382,-0.019352005748195004,-0.9852829897578851,45547
1.4376860830263711,1.7885088882684401,0.008341666791989555,1.355,7.0,0.25406249999999997,4.0,-0.02038472074965498,0.05734185906330827,-0.9833166664160311,78045
1.922382295536615,0.49297657946523377,0.007844678585434695,2.99,16.0,0.560625,1.0,-0.009554792677936966,0.01338058142434492,-0.9843106428291403,50349
3.0516625668778663,0.705334022476357,0.006214211887137777,4.07,13.0,0.50875,25.0,-0.009268515855738348,0.015128632463806035,-0.9875715762257554,45551
3.9285491521805986,0.4846318844237942,0.0027966284442295652,1.6799999999999997,22.0,0.105,10.0,-0.008549542588740145,0.0026651343392775527,-0.9944067431116139,40212
3.220403044806409,1.7578256892280617,0.009094051031445338,3.25,25.0,0.203125,22.0,0.005851098761310685,0.05619662857742451,-0.9818118979371265,55274
4.688825466722059,1.1830193836046918,0.0021834948098553575,4.03,10.0,1.2593750000000001,19.0,-0.018145589694619484,0.030884669636130978,-0.9956330103802908,84905
2.342100783401186,0.5892521893537956,0.005808488664542866,2.83,13.0,0.884375,1.0,-0.009155627980004128,-0.03321435968697557,-0.9883830226708955,58182
2.1463631442168496,0.7568359019293164,0.0039834917771118805,2.8999999999999995,10.0,0.54375,4.0,-0.022212779657505004,0.012592842754378303,-0.992033016445779,59417
1.2480704352257563,1.8731314769429916,0.009429724335826895,0.45325,4.0,0.18375,1.0,-0.0783189122640009,-0.005757038830222835,-0.9811405513283402,118497
0.4643772264870146,1.152355071999793,0.007215582264996745,3.7,7.0,0.23125,19.0,-0.00897426460422944,0.04358675113438621,-0.9855688354699955,88050
4.1091904821223455,1.5201038993656901,0.007170340751749937,4.264999999999999,25.0,0.2665625,4.0,-0.042209787127830356,0.00019501332073444157,-0.9856593184964958,58233
3.7322014144322595,0.827736650763302,0.005069937650043155,1.7149999999999999,13.0,0.1071875,10.0,-0.016104253206293443,0.0038446332680684404,-0.9898601246999145,45866
2.804644100862038,0.7465496067397972,0.004030120218212474,4.195,13.0,0.2621875,25.0,-0.023084343061263612,0.0005556511690461511,-0.991939759563587,38145
2.9265371649694356,1.27100565909095,0.0027166875532955714,0.36796874999999135,9.0,0.05859375000002043,3.0,-0.046596183935405384,-0.004764205984981768,-0.9945666248934031,75306
1.1390715965120912,0.6673389009273061,0.006804957545387458,0.48,10.0,0.09,1.0,-0.026931683739849797,-0.001533270961130699,-0.9863900849092195,65623
3.750846338674132,1.098056242443254,0.0031526696245264274,1.7034401442280807,10.0,0.4795312350988388,1.0,-0.00176659955570885,0.024059456705921953,-0.993694660750933,40141
0.9777245147471345,0.5841097484614665,0.0021192950379116393,0.49,10.0,0.030625,4.0,-0.024451544364098257,-0.0016372633309549803,-0.9957614099241908,74778
2.0001869053612884,0.7151002607933197,0.007962419944829713,2.96,10.0,0.925,1.0,-0.0002801348351328947,-0.03830080967260466,-0.9840751601103359,60676
4.2663653364242204,1.7182642748110155,0.0029448237220894846,0.33109374999999996,9.0,0.07109375,18.0,-0.05145822767598003,0.0006490377480943641,-0.9941103525557857,80690
3.4735442239258427,1.1517321179072548,0.004811837640696925,1.76,25.0,0.11,4.0,-0.0240885228964742,0.007621817915519248,-0.9903763247185513,49667
4.756499197890075,1.8265717948544047,0.0037868047692772855,1.5368805992450565,22.0,0.7183916719193797,1.0,-0.024313708754830632,-0.05203780726988598,-0.9924263904614734,66364
1.604829629240924,1.1119517971306792,0.008655375258424303,3.115,22.0,0.1946875,19.0,-0.013067221234186965,0.0317745621412118,-0.9826892494831279,74763
