x,status,success,message,nfev,fun,maxcv
[-1.27571293  4.08218039],1,True,Optimization terminated successfully.,5,2.0437029608058084,0.0
[-0.53346069  5.11073863],1,True,Optimization terminated successfully.,6,0.6558750812079893,0.0
[-0.24151826  4.99508169],1,True,Optimization terminated successfully.,15,0.18968643086873674,0.0
[-0.12352308  5.04903314],1,True,Optimization terminated successfully.,19,0.08090932940377682,0.0
[-0.09035799  5.01568587],1,True,Optimization terminated successfully.,25,0.06318312260001842,0.0
[-0.07277271  5.01725333],1,True,Optimization terminated successfully.,31,0.055198462997212316,0.0
[-0.07466064  5.01669517],1,True,Optimization terminated successfully.,36,0.054125002666338316,0.0
[-0.07403721  5.01688706],1,True,Optimization terminated successfully.,40,0.053746653988477326,0.0
[-0.07396296  5.01683351],1,True,Optimization terminated successfully.,43,0.05370866308505246,0.0
[-0.07394117  5.01680862],1,True,Optimization terminated successfully.,46,0.053698360651226046,0.0
[-0.07393085  5.01682107],1,True,Optimization terminated successfully.,56,0.053691241467225315,0.0
[-0.07392854  5.01682175],1,True,Optimization terminated successfully.,63,0.053689840025780644,0.0
[-0.07392822  5.01682162],1,True,Optimization terminated successfully.,67,0.05368966650076592,0.0
[-0.07392815  5.01682173],1,True,Optimization terminated successfully.,73,0.053689616978086586,0.0
[-0.07392813  5.01682173],1,True,Optimization terminated successfully.,75,0.053689603880396314,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,81,0.05368959906340319,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,85,0.05368959692494042,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,90,0.05368959636524031,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,96,0.05368959632740728,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,102,0.05368959631655941,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,111,0.05368959631505082,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,116,0.05368959631413313,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,120,0.053689596313885174,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,126,0.05368959631385006,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,131,0.05368959631382915,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,133,0.0536895963138261,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,137,0.053689596313825604,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,142,0.053689596313825035,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,146,0.05368959631382514,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,150,0.053689596313825014,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,151,0.053689596313825014,0.0
[-0.07392812  5.01682173],1,True,Optimization terminated successfully.,152,0.053689596313825014,0.0
