fun,nit,nfev,status,success,message,x,final_simplex
0.8062265069599854,1,3,0,True,Optimization terminated successfully.,[1.06140326 1.77154496],"(array([[1.06140326, 1.77154496],
       [1.01086025, 1.77154496],
       [1.01086025, 1.86012221]]), array([0.80622651, 0.86981057, 0.96079616]))"
0.8062265069599854,1,3,0,True,Optimization terminated successfully.,[1.06140326 1.77154496],"(array([[1.06140326, 1.77154496],
       [1.01086025, 1.77154496],
       [1.01086025, 1.86012221]]), array([0.80622651, 0.86981057, 0.96079616]))"
0.4923064468447177,4,9,0,True,Optimization terminated successfully.,[1.20039655 1.50581322],"(array([[1.20039655, 1.50581322],
       [1.18460186, 1.43938028],
       [1.08667477, 1.59439047]]), array([0.49230645, 0.57969137, 0.60147411]))"
0.02625088703967372,16,32,0,True,Optimization terminated successfully.,[1.54955794 1.56601807],"(array([[1.54955794, 1.56601807],
       [1.56167543, 1.53505063],
       [1.53879781, 1.54733381]]), array([0.02625089, 0.04553774, 0.05622841]))"
0.004829092134159083,24,46,0,True,Optimization terminated successfully.,[1.56906686 1.57388968],"(array([[1.56906686, 1.57388968],
       [1.56539872, 1.57117706],
       [1.57376728, 1.56783054]]), array([0.00482909, 0.00579295, 0.00594553]))"
0.000910898743496705,28,54,0,True,Optimization terminated successfully.,[1.57050003 1.57018195],"(array([[1.57050003, 1.57018195],
       [1.57169378, 1.57128822],
       [1.57232345, 1.57004052]]), array([0.0009109 , 0.00138986, 0.00228438]))"
0.00034694262679307826,31,60,0,True,Optimization terminated successfully.,[1.57064413 1.57060162],"(array([[1.57064413, 1.57060162],
       [1.5710928 , 1.57096019],
       [1.57048363, 1.57108237]]), array([0.00034694, 0.0004604 , 0.00059883]))"
4.117806439219845e-05,36,70,0,True,Optimization terminated successfully.,[1.57082876 1.57080507],"(array([[1.57082876, 1.57080507],
       [1.57085195, 1.57074391],
       [1.57071019, 1.57074957]]), array([4.11780644e-05, 1.08039217e-04, 1.32903802e-04]))"
1.2419416532271894e-05,40,78,0,True,Optimization terminated successfully.,[1.57080591 1.57079916],"(array([[1.57080591, 1.57079916],
       [1.57078909, 1.57078313],
       [1.57077705, 1.57080337]]), array([1.24194165e-05, 2.04411064e-05, 2.63265446e-05]))"
1.8921218440935862e-06,44,86,0,True,Optimization terminated successfully.,[1.57079798 1.57079656],"(array([[1.57079798, 1.57079656],
       [1.57079134, 1.57079544],
       [1.57079284, 1.57079067]]), array([1.89212184e-06, 5.87546486e-06, 9.14659627e-06]))"
