x,fun,jac,nit,nfev,njev,status,message,success
[2.70641183 0.07186989],1.316403677952513,[0.16294294 0.12114082],1,3,1,0,Optimization terminated successfully,True
[2.70641183 0.07186989],1.316403677952513,[-0.19306812  0.26379537],1,3,1,0,Optimization terminated successfully,True
[3.14159265e+00 2.77555756e-17],1.1921243364219052,[-0.63130427  0.36106251],1,4,1,0,Optimization terminated successfully,True
[3.00218936e+00 4.29391959e-17],1.0881026622228727,[-0.3124404   0.13675865],3,10,3,0,Optimization terminated successfully,True
[3.02381372e+00 4.83376260e-17],1.0694302505661244,[0.88434608 0.1170466 ],4,25,4,0,Optimization terminated successfully,True
[3.02374681e+00 1.43921645e-17],1.0694888310463728,[0.15052537 0.11745837],4,14,4,0,Optimization terminated successfully,True
[3.02460761e+00 4.58717451e-17],1.0687347995894372,[0.77419226 0.11668989],5,21,5,0,Optimization terminated successfully,True
[3.02460878e+00 1.90310595e-17],1.068733775445268,[-0.21306561  0.11671011],5,21,5,0,Optimization terminated successfully,True
[3.02468313e+00 3.33062394e-17],1.0686686057391082,[1.10978743 0.11662653],6,31,6,0,Optimization terminated successfully,True
[3.02468316e+00 1.44191960e-17],1.0686685834415997,[1.10979743 0.11662516],6,31,6,0,Optimization terminated successfully,True
[3.02468961e+00 1.91139906e-17],1.0686629259802516,[1.10980912 0.11663524],8,38,8,0,Optimization terminated successfully,True
[3.02469004e+00 7.36485864e-18],1.0686625514178125,[-0.82572405  0.11663692],9,42,9,0,Optimization terminated successfully,True
[3.02469003e+00 1.17480057e-17],1.0686625582430447,[0.34493671 0.11663653],10,44,10,0,Optimization terminated successfully,True
[3.02469009 0.        ],1.0686625330025987,[-0.87653815  0.11663653],10,48,10,0,Optimization terminated successfully,True
[3.02469007e+00 9.80218594e-18],1.068662519874605,[0.54176593 0.11663648],12,65,12,0,Optimization terminated successfully,True
[3.02469008e+00 1.72852479e-17],1.0686625180835823,[-0.87653828  0.1166364 ],12,56,12,0,Optimization terminated successfully,True
[3.02469008e+00 1.85375757e-17],1.0686625180490241,[1.10981131 0.11663675],13,61,13,0,Optimization terminated successfully,True
[3.02469008e+00 1.17437258e-17],1.0686625180132918,[1.10981178 0.11663818],13,62,13,0,Optimization terminated successfully,True
[3.02469008e+00 1.05487784e-17],1.0686625180109988,[-0.58463287  0.11663055],14,65,14,0,Optimization terminated successfully,True
[3.02469008e+00 2.47982399e-18],1.0686625180096827,[0.26965332 0.11663818],14,65,14,0,Optimization terminated successfully,True
[3.02469008e+00 1.82219015e-17],1.0686625180072304,[0.80432129 0.11669922],16,86,16,0,Optimization terminated successfully,True
[3.02469008 0.        ],1.068662518007069,[0.69238281 0.11669922],19,85,19,0,Optimization terminated successfully,True
[3.02469008e+00 4.86454546e-18],1.068662518007001,[1.109375   0.11523438],19,88,19,0,Optimization terminated successfully,True
[3.02469008e+00 2.24399814e-17],1.0686625180069929,[0.5078125 0.1171875],22,90,22,0,Optimization terminated successfully,True
[3.02469008e+00 8.66270798e-25],1.0686625180069884,[1.09375 0.09375],30,137,30,0,Optimization terminated successfully,True
[3.02469008e+00 7.07817645e-25],1.0686625180069862,[0.    0.125],25,112,25,0,Optimization terminated successfully,True
[2.70641183 0.        ],1.2872195585726245,[0.  0.5],2,6,2,0,Optimization terminated successfully,True
