CG,time,matrix,degree
[1.21471679 5.63500482],0.10911917686462402,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(2.8689600479871394e-17+0.4685367323843284j)
[1.21471679 5.63500482],0.0878453254699707,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(0.055376673579085295+0.5210425635712558j)
[2.15567048 6.62141039],0.4476749897003174,"[[ 2.23952772e-01-3.39251896e-20j -7.12258641e-18+4.16890786e-01j]
 [-7.12258641e-18-4.16890786e-01j  7.76047228e-01-7.68992769e-18j]]",(0.13588173621316627-0.09257730024583925j)
[1.21471679 5.63500482],0.10047650337219238,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(5.0344179504636805e-17+0.09962800819363857j)
[1.21471679 5.63500482],0.08666229248046875,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(0.1594255986823528-0.3476986947941j)
[2.02995473 4.73954624],0.17754721641540527,"[[ 2.78403080e-01+1.41767404e-18j -1.59782332e-18+4.48212902e-01j]
 [-1.59782332e-18-4.48212902e-01j  7.21596920e-01+9.46677754e-18j]]",(0.32586526890147915+0.31707039567166295j)
[3.74256325 6.81493138],0.42148923873901367,"[[8.76064064e-02+1.38312738e-18j 6.62446570e-18-2.82721637e-01j]
 [6.62446570e-18+2.82721637e-01j 9.12393594e-01-1.03644682e-17j]]",(0.14386373344366107-0.03896078013745967j)
[1.21471679 5.63500482],0.14835333824157715,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(0.09290420010684437+0.29000308309880873j)
[1.57997607 5.78253194],0.19618701934814453,"[[ 4.95410191e-01+1.25341167e-18j -1.10475517e-17+4.99978933e-01j]
 [-1.10475517e-17-4.99978933e-01j  5.04589809e-01-5.69227796e-18j]]",(0.05066776632294262+0.5444812598888344j)
[1.43477342 5.72388503],0.13993024826049805,"[[5.67801920e-01+6.79179211e-18j 7.13476696e-18+4.95381570e-01j]
 [7.13476696e-18-4.95381570e-01j 4.32198080e-01-1.31148090e-18j]]",(3.033337268553533e-17+0.495381569717156j)
