Nelder-Mead,fun,time,3,4
[0.         4.94294918],1.0473592945629124,0.04809832572937012,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.2892111691644551-0.8341321450290851j)
[0.         4.82416065],1.3120480955793428,0.03072500228881836,"[[0.11153909+0.99376005j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.29992664374071487-0.770143217872235j)
[1.93177809 2.98447404],0.26418318533183793,0.04866433143615723,"[[-0.31941995-0.05060392j -0.07319418+0.46201332j]
 [-0.07319418+0.46201332j  0.66826229+0.10586906j]]",(0.2089804960930028-0.4958948818694348j)
[0.         4.94316368],0.1964820379167882,0.033559322357177734,"[[0.22873175+0.97348949j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.6753528269926936-0.9701372472282388j)
[0.         4.94294918],1.6305317205999033,0.029477596282958984,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.07950246362052803+0.5362108055162181j)
[0.         4.82404974],1.6800299417843076,0.03149604797363281,"[[0.11142887+0.99377241j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.08996336948981622-0.5363712916773259j)
[0.         4.94294918],1.970941999913405,0.02900242805480957,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.495749031714957+0.4202354983190877j)
[1.09893199 2.83427332],0.1985068295209536,0.05013680458068848,"[[-0.69319954-0.22000372j -0.13472384+0.4244951j ]
 [-0.13472384+0.4244951j   0.25994837+0.08250093j]]",(1.241045709535304+0.06662793719755283j)
[0.         4.94294918],0.9833820660238106,0.07270693778991699,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.3189203631270353-0.8540767943390001j)
[0.         4.82416065],1.2091033301648664,0.032962799072265625,"[[0.11153909+0.99376005j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.3468254096684789-0.8134861522785046j)
