Nelder-Mead,time,matrix,degree
[3.14159265 3.40437505],0.0540311336517334,"[[3.74939946e-33+4.15063082e-50j 2.76963788e-34+6.12323400e-17j]
 [2.76963788e-34-6.12323400e-17j 1.00000000e+00-7.32590773e-18j]]",(0.09381113757410897-5.180199034161322e-18j)
[1.28272665 2.59607418],0.03893303871154785,"[[6.42050985e-01-8.34608770e-18j 1.49469702e-18+4.79397035e-01j]
 [1.49469702e-18-4.79397035e-01j 3.57949015e-01-4.52331150e-18j]]",(0.24871658600928415-0.2798113183180361j)
[3.14159265 3.40437505],0.025966882705688477,"[[3.74939946e-33+4.15063082e-50j 2.76963788e-34+6.12323400e-17j]
 [2.76963788e-34-6.12323400e-17j 1.00000000e+00-7.32590773e-18j]]",(0.02349466949277452+0.23405344390971788j)
[1.14328861 3.63637378],0.03242683410644531,"[[ 7.07302055e-01+7.21326408e-18j -1.36050469e-17+4.55000943e-01j]
 [-1.36050469e-17-4.55000943e-01j  2.92697945e-01+1.03479663e-18j]]",(0.21600237046378676+0.7283073898261394j)
[3.14159265 3.20128503],0.029888153076171875,"[[3.74939946e-33-2.33710791e-51j 3.21403069e-35+6.12323400e-17j]
 [3.21403069e-35-6.12323400e-17j 1.00000000e+00-1.09814235e-19j]]",(0.19904479604904254-7.765039033611453e-20j)
[3.14159265 3.40437505],0.030918121337890625,"[[3.74939946e-33+4.15063082e-50j 2.76963788e-34+6.12323400e-17j]
 [2.76963788e-34-6.12323400e-17j 1.00000000e+00-7.32590773e-18j]]",(0.08395242302019333-5.180199034161318e-18j)
[0.65922219 5.20032594],0.05936384201049805,"[[ 8.95234441e-01-2.91621739e-18j -4.29093967e-18+3.06251100e-01j]
 [-4.29093967e-18-3.06251100e-01j  1.04765559e-01+1.25043050e-18j]]",(0.4497355761265053+0.09784329379284235j)
[3.14159265 3.40437505],0.027960777282714844,"[[3.74939946e-33+4.15063082e-50j 2.76963788e-34+6.12323400e-17j]
 [2.76963788e-34-6.12323400e-17j 1.00000000e+00-7.32590773e-18j]]",(0.11767796211467017-5.180199034161318e-18j)
[0.63496511 4.57509219],0.05237841606140137,"[[ 9.02546195e-01-2.49781393e-17j -3.04175150e-18+2.96574713e-01j]
 [-3.04175150e-18-2.96574713e-01j  9.74538047e-02-3.67547332e-19j]]",(0.4366989911009969+0.22682175887301287j)
[1.7166255 3.4989111],0.03646135330200195,"[[ 4.27343573e-01-4.09116366e-18j -1.04861811e-17+4.94692878e-01j]
 [-1.04861811e-17-4.94692878e-01j  5.72656427e-01+4.41743348e-18j]]",(0.17300782503562392+0.6740511766254407j)
