Powell,fun,time,3
[1.50557191 4.87532609],0.6753916369385371,0.0354461669921875,(0.9086969231742777-0.09757538596589416j)
[1.31532758 4.7520411 ],0.3534365872748044,0.03348875045776367,(1.1322722073977398-0.23116074481211948j)
[1.70284381 4.71239284],0.9913059489930534,0.03358769416809082,(0.724146900577478+0.18181432412349474j)
[8.33312725e-14 4.71239285e+00],0.13497789864295445,0.10426759719848633,(0.9336438815816448-0.998782509256396j)
[5.10267361e-10 3.37240091e-01],0.48503350645942955,0.06411623954772949,(0.2326420281706552-0.26481322677409924j)
[1.26205941 1.57079242],0.952734247849465,0.0338137149810791,(0.7785523592285558+0.39027426878932897j)
[0.7519834  4.71239456],0.782900268443022,0.04389595985412598,(0.8764288450381893-0.7763648962753913j)
[1.45193197 4.71239284],0.9929491405680183,0.03268766403198242,(0.7211170782345033-0.16444475767910177j)
[1.84131585 1.57079242],0.9636408148629185,0.03226661682128906,(0.7655915376971567-0.3490502935872235j)
[0.75198831 4.71239455],0.8066972151560445,0.042218923568725586,(0.8649243586928701-0.7729329731350565j)
