Powell,fun,time,3,4
[1.61818107 1.57079633],0.9988852759495634,0.048076629638671875,"[[-4.17294825e-10-4.76316492e-01j -4.99438776e-01+4.37551983e-10j]
 [-4.99438776e-01+4.37551995e-10j  4.58792487e-10+5.23683508e-01j]]",(0.7094608025876213-0.06675936917933815j)
[1.88814434 4.71239259],0.9500697318997099,0.05263400077819824,"[[ 1.24021828e-06+3.43975952e-01j  4.75033153e-01-1.71274997e-06j]
 [ 4.75033153e-01-1.71274997e-06j -2.36531947e-06-6.56024048e-01j]]",(0.7815045059823726+0.39929193519778944j)
[1.93177566 2.98443813],0.26415062033552134,0.031539201736450195,"[[-0.31941925-0.05061556j -0.07321084+0.46201111j]
 [-0.07321084+0.46201111j  0.66825737+0.10589287j]]",(0.2089966671050536-0.49589484813718276j)
[1.58163380e-09 4.71239641e+00],0.1964820394984342,0.05008220672607422,"[[ 7.43119586e-06+1.00000000e+00j  7.90816902e-10-5.87671529e-15j]
 [ 7.90816902e-10-5.87671529e-15j -4.64740579e-24-6.25391373e-19j]]",(0.9041553745893158-0.997341358757543j)
[3.14154773 4.71239284],0.3695132027922035,0.03255915641784668,"[[ 1.94896530e-15+5.04546558e-10j  2.24621138e-05-8.67667805e-11j]
 [ 2.24621138e-05-8.67667805e-11j -3.86280566e-06-9.99999999e-01j]]",(0.8236863869661615+0.9897817124279709j)
[3.14154666 4.71239284],0.3200160511400344,0.03263282775878906,"[[ 2.04287210e-15+5.28857511e-10j  2.29969022e-05-8.88324906e-11j]
 [ 2.29969022e-05-8.88324906e-11j -3.86280247e-06-9.99999999e-01j]]",(0.8463533281234289+0.9925155431503032j)
[3.14154666 4.71239284],0.029103993010937274,0.03315854072570801,"[[ 2.04287263e-15+5.28857511e-10j  2.29969022e-05-8.88325138e-11j]
 [ 2.29969022e-05-8.88325138e-11j -3.86280348e-06-9.99999999e-01j]]",(0.9855276317868087+0.9999464555217504j)
[1.09899521 2.83425816],0.19849538737842176,0.03551769256591797,"[[-0.69316936-0.22000572j -0.13473462+0.42450675j]
 [-0.13473462+0.42450675j  0.25997396+0.08251339j]]",(1.2410058073774397+0.06661614928862784j)
[1.55419341 4.71239284],0.9998818153536142,0.028517723083496094,"[[ 1.96346718e-06+5.08301078e-01j  4.99931087e-01-1.93113555e-06j]
 [ 4.99931087e-01-1.93113555e-06j -1.89933631e-06-4.91698922e-01j]]",(0.7073992147024029-0.023480438456151845j)
[1.78145426 1.57079267],0.9778971238072945,0.0928499698638916,"[[ 1.44464991e-06-3.95448335e-01j -4.88946776e-01-1.78621795e-06j]
 [-4.88946776e-01-1.78621795e-06j -2.20854517e-06+6.04551665e-01j]]",(0.7461123410605485-0.28025738023038127j)
