Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix
[3.14159265 4.23539593],0.021978378295898438,[1.23194102 4.71238898],0.038896799087524414,[3.14164236 4.67835977],0.011970043182373047,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.66619152 0.        ]
 [0.         0.33380848]]"
[3.14159265 3.52949661],0.023935794830322266,[1.45024451 3.13435786],0.022931814193725586,[1.45031924 3.13440358],0.011939525604248047,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.56013105+0.j         0.00358407-0.22997113j]
 [0.00358407+0.22997113j 0.43986895+0.j        ]]"
[2.3778529  5.71445114],0.028886079788208008,[2.37803026 5.71432779],0.11173868179321289,[2.34213754 5.73691546],0.010968685150146484,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.19776287+0.j        -0.18624428+0.2912999j]
 [-0.18624428-0.2912999j  0.80223713+0.j       ]]"
[2.85676004 5.86923876],0.026929855346679688,[1.61197467 4.97277463],0.026925325393676758,[2.87712741 6.10681024],0.008975744247436523,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.47941481+0.j         -0.05651315+0.12862329j]
 [-0.05651315-0.12862329j  0.52058519+0.j        ]]"
[3.14159265 4.23539593],0.02696371078491211,[1.75972068 1.61305788],0.027933597564697266,[3.96926718 4.76891365],0.007974386215209961,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.40609967+0.j         0.27538172-0.02075322j]
 [0.27538172+0.02075322j 0.59390033+0.j        ]]"
[3.14159265 4.23539593],0.020943641662597656,[1.98277802 4.71239284],0.01296544075012207,[3.14164236 4.67835977],0.009972572326660156,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.29978649 0.        ]
 [0.         0.70021351]]"
[2.93297341 3.25372016],0.039946556091308594,[1.54885078 3.16476194],0.025876522064208984,[1.54893552 3.66502554],0.009974479675292969,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.51096343+0.j         -0.01158558-0.10290195j]
 [-0.01158558+0.10290195j  0.48903657+0.j        ]]"
[3.14159265 4.23539593],0.02895832061767578,[1.66279866 4.71239284],0.02393651008605957,[3.14164236 4.67835977],0.009973764419555664,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.45405996 0.        ]
 [0.         0.54594004]]"
[3.14159265 5.17659503],0.020943641662597656,[2.99376334 0.92899277],0.052858829498291016,[4.07073412 4.60199064],0.009938955307006836,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.20246765+0.j         0.34429301+0.04408713j]
 [0.34429301-0.04408713j 0.79753235+0.j        ]]"
[3.14159265 4.23539593],0.019980669021606445,[2.35753184 2.74707633],0.16053414344787598,[4.07848188 5.9396556 ],0.008976221084594727,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.23708731+0.j         0.13571371-0.32595753j]
 [0.13571371+0.32595753j 0.76291269+0.j        ]]"
