Nelder-Mead,time,Powell,time,COBYLA,time,Density Matrix,0,1
[3.14159265 0.        ],0.009231090545654297,[3.14154648 4.71239284],0.03275871276855469,[3.14153873 1.80165552],0.012182235717773438,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.09409753 0.        ]
 [0.         0.90590247]]",[3.14158882 4.7123878 ],0.18819889470585496
[1.21126195 1.53563331],0.046353816986083984,[1.21125959 1.53567874],0.029621362686157227,[1.21124461 1.53553399],0.013123750686645508,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.6759059+0.j         0.3372687+0.01643023j]
 [0.3372687-0.01643023j 0.3240941+0.j        ]]",[1.21129058 1.5356835 ],0.2609574829037863
[0.        0.7470121],0.024709224700927734,[7.01662598e-11 4.71239282e+00],0.07981324195861816,[1.18200640e-04 1.85840676e+00],0.011628150939941406,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.99878159 0.        ]
 [0.         0.00121841]]",[5.58402480e-13 4.71239083e+00],0.0024368241960249395
[3.14159265 0.        ],0.008566141128540039,[3.14154985 4.71239284],0.030908584594726562,[3.14172072 1.84857977],0.013529777526855469,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.04804522 0.        ]
 [0.         0.95195478]]",[3.14158912 4.7123878 ],0.09609397276906598
[1.57093124 0.01142838],0.03606152534484863,[1.57090125 1.5609532 ],0.024027109146118164,[1.08862702 1.55960079],0.016465425491333008,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.49994314+0.j         0.00571426+0.00491914j]
 [0.00571426-0.00491914j 0.50005686+0.j        ]]",[1.57091224 1.56095653],0.9885266262436401
[3.14159265 0.        ],0.008033990859985352,[3.14154817 4.71239284],0.03203725814819336,[3.14166696 1.31872054],0.012233257293701172,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.18599888 0.        ]
 [0.         0.81400112]]",[3.14158897 4.7123878 ],0.3720014391537134
[1.5195595 0.       ],0.026254653930664062,[1.51958219 3.19325651],0.02774953842163086,[1.51960445 3.19329725],0.016275882720947266,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.52559154+0.j         -0.02578116-0.15367828j]
 [-0.02578116+0.15367828j  0.47440846+0.j        ]]",[1.51959056 3.19324564],0.6900010819614888
[3.14159265 0.        ],0.008671045303344727,[3.14154666 4.71239284],0.03123164176940918,[3.14148358 1.87350318],0.011588096618652344,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[5.00306727e-04 0.00000000e+00]
 [0.00000000e+00 9.99499693e-01]]",[3.14158883 4.7123878 ],0.0010044330407442267
[1.49991575 0.12325312],0.02788090705871582,[1.49987701 3.01838239],0.029814958572387695,[1.49981046 3.0184469 ],0.013629913330078125,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.53542424+0.j         0.06129257-0.17075628j]
 [0.06129257+0.17075628j 0.46457576+0.j        ]]",[1.49988859 3.01838706],0.6484136833840133
[3.14159265 0.        ],0.008677959442138672,[3.14154666 4.71239284],0.030783653259277344,[3.14164937 1.75683352],0.01251077651977539,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.09232214 0.        ]
 [0.         0.90767786]]",[3.14158883 4.7123878 ],0.18464810740407792
