Nelder-Mead,fun,time,Powell,fun,time,SLSQP,fun,time,Density Matrix
[2.93079492 0.        ],1.0589218652587047,0.0875697135925293,[2.35520875 5.01245608],0.13373543183832792,0.13107562065124512,[2.93082035e+00 2.64180935e-14],1.058902320070585,0.06459236145019531,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.20804543+0.j         -0.33247088+0.10460756j]
 [-0.33247088-0.10460756j  0.79195457+0.j        ]]"
[3.14159265 0.        ],9.298978311933832e-06,0.012352466583251953,[3.14159265 4.71169695],9.298978312267292e-06,0.4030435085296631,[3.14159265 0.        ],9.298978311933832e-06,0.01065826416015625,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[4.64948916e-06 0.00000000e+00]
 [0.00000000e+00 9.99995351e-01]]"
[3.14159265 0.        ],1.2267529696586847,0.018492698669433594,[2.39709653 2.78957311],0.09250222597100419,0.1377558708190918,[2.26912239 2.83275164],0.09446661339121232,0.23517632484436035,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.17853577+0.j         0.11681592-0.31802479j]
 [0.11681592+0.31802479j 0.82146423+0.j        ]]"
[0.         0.45748898],0.10138095694437155,0.07634925842285156,[4.94468830e-11 4.71239245e+00],0.10138095699381872,0.20473980903625488,[1.95676808e-15 6.84771118e-18],0.10138095694437362,0.018001317977905273,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.94930952 0.        ]
 [0.         0.05069048]]"
[1.32635662 0.        ],0.970280473754956,0.16936039924621582,[1.32635171 1.57079242],0.9702783138548271,0.09670448303222656,[0.00000000e+00 1.29306414e-17],0.7579798746328081,0.010180950164794922,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.62101006 0.        ]
 [0.         0.37898994]]"
[1.47810303e+00 2.19889753e-17],0.9957314174371841,0.09811615943908691,[1.47806148 4.71239284],0.9957240525086559,0.039311885833740234,[1.47808010e+00 9.41994754e-16],0.99570646669465,0.024634599685668945,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.54629249 0.        ]
 [0.         0.45370751]]"
[3.14159265 0.        ],0.6855159922005601,0.010003089904785156,[1.89069544 4.71239289],0.949284076480659,0.05581545829772949,[1.89070979 0.        ],0.9492630460343003,0.035846710205078125,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.342758 0.      ]
 [0.       0.657242]]"
[1.8602042 0.       ],0.9584212726859667,0.04124307632446289,[1.86020612 1.57079242],0.9584226296432978,0.0872650146484375,[1.86021439 0.        ],0.9584116404797954,0.058493614196777344,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.35730349 0.        ]
 [0.         0.64269651]]"
[0.         0.45748898],0.027262995003631163,0.06191849708557129,[8.86274218e-14 4.71239287e+00],0.0272629950037199,0.1842515468597412,[0. 0.],0.027262995003631274,0.00498652458190918,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.9863685 0.       ]
 [0.        0.0136315]]"
[0.73110241 1.40434819],0.07972342313363998,0.04845857620239258,[0.84341902 1.4221267 ],0.08042283181827835,0.04797172546386719,[0.73097437 1.404168  ],0.07979191512692788,0.056754112243652344,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.83241676+0.j         0.32917382+0.05531318j]
 [0.32917382-0.05531318j 0.16758324+0.j        ]]"
