Nelder-Mead,fun,time,Powell,fun,time,differential_evolution,fun,time,shgo,fun,time,Density Matrix
[0.         4.78405651],0.26517135174701734,0.15531349182128906,[4.59938047e-05 4.71239284e+00],0.2652173446716463,0.04723954200744629,[0.         2.70505484],0.26517135174701756,0.39586710929870605,[0. 0.],0.26517135174701756,1.458423137664795,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.86741432 0.        ]
 [0.         0.13258568]]"
[0.         4.78405651],0.047571209104605994,0.18007493019104004,[4.59938044e-05 4.71239284e+00],0.04761720202894846,0.13439154624938965,[2.60139036e-06 2.99870339e+00],0.047574154427151016,1.1675312519073486,[0. 0.],0.047571209104606216,0.005989551544189453,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.9762144 0.       ]
 [0.        0.0237856]]"
[3.14159265 4.42993994],0.05621794598170719,0.08957934379577637,[3.14159265 4.71239284],0.056217945981784104,0.36108875274658203,[3.14159203 4.68552325],0.0562185829516612,0.871959924697876,[3.14159265 6.28318531],0.056217945981707276,0.0146636962890625,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.02810897 0.        ]
 [0.         0.97189103]]"
[3.14159265 4.13936501],0.29215326701336025,0.1062171459197998,[3.14159265 4.71239344],0.2921532670959803,0.3054225444793701,[3.14159196 5.16443694],0.29215419376858415,1.3228323459625244,[3.14159265 6.28318531],0.2921532670133603,0.01196599006652832,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.14607663 0.        ]
 [0.         0.85392337]]"
[1.35077672 4.40440569],1.4336934819191767,0.33941650390625,[1.3507814  1.87877322],0.4262766485807779,0.1385037899017334,[1.35115181 1.87944195],0.4271634390241108,1.2430157661437988,[0.62383378 2.10181268],0.5933961429272137,0.4558272361755371,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.6091244 +0.j         0.25185466-0.14790997j]
 [0.25185466+0.14790997j 0.3908756 +0.j        ]]"
[2.04813732 4.58569751],1.5769224404516136,0.037749528884887695,[2.04814696 1.69747387],0.18535044843043194,0.14989280700683594,[2.04875864 1.69743168],0.18567357230241593,0.7668344974517822,[3.14159265 6.28318531],1.348587346163117,0.0069806575775146484,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.27029898+0.j         0.34789122-0.05610347j]
 [0.34789122+0.05610347j 0.72970102+0.j        ]]"
[3.14159265 3.97621557],1.3254528909142753,0.1617271900177002,[1.54725659 1.73589512],0.8485177640481223,0.07050967216491699,[1.54727264 3.00347103],0.8259157386676996,0.9693536758422852,[1.54727279 3.00347103],0.8259155840096961,0.1153707504272461,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.51176068+0.j         0.06882238-0.08214338j]
 [0.06882238+0.08214338j 0.48823932+0.j        ]]"
[3.14159265 4.13936501],0.48844734415385727,0.11846232414245605,[2.77372218 0.18260251],0.0025935083478935556,0.6938629150390625,[2.77372667 0.18260604],0.0025937892316854477,2.171807050704956,[3.14159265 6.28318531],0.4884473441538571,0.012632369995117188,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.03474756+0.j         0.0326525 +0.17682361j]
 [0.0326525 -0.17682361j 0.96525244+0.j        ]]"
[2.56804544 5.77211847],1.6607015318112401,0.16733646392822266,[0.57348926 5.77215639],0.0193734579140184,0.6756510734558105,[0.57350851 5.77215663],0.01938497211817758,1.3755543231964111,[0. 0.],0.9179587861559528,0.004647493362426758,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.91032134+0.j         -0.13267625+0.23662449j]
 [-0.13267625-0.23662449j  0.08967866+0.j        ]]"
[3.14159265 4.13936501],0.7953633394593335,0.06627988815307617,[2.58493308 0.31704686],0.023075123726147784,0.34435319900512695,[2.61009858 0.33101741],0.013388169273907319,1.6225779056549072,[3.14159265 6.28318531],0.7953633394593332,0.008126497268676758,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.07566831+0.j         0.08235992+0.23965344j]
 [0.08235992-0.23965344j 0.92433169+0.j        ]]"
