Nelder-Mead,fun,time,Powell,fun,time,differential_evolution,fun,time,dual_annealing,fun,time,Density Matrix
[0.         2.60378188],1.4159289231470715,0.18832731246948242,[1.30560817 4.77342633],0.3441240192356663,0.14935898780822754,[1.30560725 4.77344222],0.3441066800394368,0.8239929676055908,[1.30560725 4.77344222],0.34410668104811987,6.595262289047241,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.63104587+0.j        -0.30956913+0.0294412j]
 [-0.30956913-0.0294412j  0.36895413+0.j       ]]"
[0.38484782 2.41696923],1.003166442592733,0.0710597038269043,[1.64716597 2.88934647],0.6844910113795635,0.07715630531311035,[1.64714954 2.88935613],0.6844692371124086,0.6313507556915283,[1.64714954 2.88935614],0.684469236111666,5.700138092041016,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.46186047+0.j         0.1244216 -0.14053307j]
 [0.1244216 +0.14053307j 0.53813953+0.j        ]]"
[0.         2.74562214],1.5160432337980416,0.09035491943359375,[3.14153561 4.71239284],0.48401380796397175,0.04770708084106445,[3.14159265 1.56727479],0.4839567662019585,0.35131335258483887,[3.14159265 0.        ],0.4839567662019585,5.687665939331055,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.24197838 0.        ]
 [0.         0.75802162]]"
[0.         2.74562214],2.3805691643540317,0.03946685791015625,[2.43105246 4.76794869],0.0648971948040922,0.1053919792175293,[2.43106789 4.76794981],0.06489561693466701,1.272944450378418,[2.43106417 4.76794945],0.06489594505754748,6.740718126296997,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.15343791+0.j         -0.32561259+0.01810991j]
 [-0.32561259-0.01810991j  0.84656209+0.j        ]]"
[0.         2.74562214],1.4170164711852251,0.15872931480407715,[2.00096162 4.71239284],0.9089049149055617,0.19751572608947754,[3.14159265 3.70819159],0.5829835288147751,1.2756361961364746,[3.14159265 1.28653383],0.582983528814775,8.475528001785278,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.29149176 0.        ]
 [0.         0.70850824]]"
[0.30193956 4.5515893 ],0.9084091091804127,0.2184278964996338,[1.52442034 4.66468925],0.7042640884821051,0.09368538856506348,[1.52441094 4.66470258],0.7042416011805093,1.4877946376800537,[1.52441095 4.66470257],0.704241598767831,9.96034288406372,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.52318437+0.j         -0.14677362-0.02380853j]
 [-0.14677362+0.02380853j  0.47681563+0.j        ]]"
[0.         2.60378188],2.4072392652767234,0.056237220764160156,[2.80697605 5.49678345],0.001734509483864638,0.6275279521942139,[2.80697407 5.49677128],0.0017365008819857641,2.752432107925415,[2.80697717 5.4967802 ],0.0017333774911712785,9.793405294418335,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.02859836+0.j         -0.11622591+0.11599208j]
 [-0.11622591-0.11599208j  0.97140164+0.j        ]]"
[0.         2.74562214],1.3793334251626854,0.15801525115966797,[1.95986767 4.71239284],0.9252693981441277,0.1622474193572998,[3.14159265 2.94287966],0.6206665748373147,1.3625283241271973,[3.14159265 0.54674387],0.6206665748373148,6.2344982624053955,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.31033329 0.        ]
 [0.         0.68966671]]"
[0.         2.74562214],1.5348032701169134,0.040724754333496094,[1.4465929  5.95369955],0.6012995702632183,0.06595277786254883,[1.44798308 5.06095674],0.6144551806062064,1.298403024673462,[1.44659454 5.95372771],0.6012809433826731,9.597326278686523,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.56194135+0.j         -0.16051886+0.16882413j]
 [-0.16051886-0.16882413j  0.43805865+0.j        ]]"
[1.02659781 2.74305075],0.16481120402697996,0.14431333541870117,[1.02672323 2.74312594],0.16476082723480695,0.05397534370422363,[1.02619762 2.74298801],0.1649107200404954,0.7277843952178955,[1.0267387  2.74312588],0.16475188198669505,7.757704257965088,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.758806  +0.j         0.16599181-0.31191606j]
 [0.16599181+0.31191606j 0.241194  +0.j        ]]"
