Nelder-Mead,fun,time,Powell,fun,time,differential_evolution,fun,time,dual_annealing,fun,time
[1.5707835  1.57076853],4.062751808788577e-05,0.22820401191711426,[1.57079633 1.57078978],6.54649781227002e-06,0.08592486381530762,[1.57079633 1.57079633],4.440892098500626e-16,6.497453212738037,[1.57079633 1.57079632],3.4451681509819397e-09,6.019817352294922
[1.5707835  1.57076853],4.062751808788577e-05,0.0985414981842041,[1.57079633 1.57078978],6.54649781227002e-06,0.06225252151489258,[1.57079633 1.57079633],4.440892098500626e-16,4.100995302200317,[1.57079632 1.57079632],1.4456888013072781e-08,4.695247173309326
[1.5707835  1.57076853],4.062751808788577e-05,0.0921177864074707,[1.57079633 1.57078978],6.54649781227002e-06,0.07051849365234375,[1.57079633 1.57079633],4.440892098500626e-16,4.756650924682617,[1.57079632 1.57079633],6.361467681208427e-09,5.495935678482056
[1.5707835  1.57076853],4.062751808788577e-05,0.1442122459411621,[1.57079633 1.57078978],6.54649781227002e-06,0.09543061256408691,[1.57079633 1.57079633],4.440892098500626e-16,5.089318752288818,[1.57079632 1.57079633],7.671872556082695e-09,5.909219264984131
[1.5707835  1.57076853],4.062751808788577e-05,0.10090327262878418,[1.57079633 1.57078978],6.54649781227002e-06,0.04972362518310547,[1.57079633 1.57079633],4.440892098500626e-16,4.989143133163452,[1.57079632 1.57079633],7.47598461013846e-09,7.7303242683410645
[1.5707835  1.57076853],4.062751808788577e-05,0.19698786735534668,[1.57079633 1.57078978],6.54649781227002e-06,0.12600398063659668,[1.57079633 1.57079633],4.440892098500626e-16,6.6779890060424805,[1.57079632 1.57079631],3.065317780169714e-08,7.145951509475708
[1.5707835  1.57076853],4.062751808788577e-05,0.20002102851867676,[1.57079633 1.57078978],6.54649781227002e-06,0.10176539421081543,[1.57079633 1.57079633],4.440892098500626e-16,5.523303985595703,[1.57079632 1.57079632],1.0097114477888363e-08,6.218937158584595
[1.5707835  1.57076853],4.062751808788577e-05,0.1722264289855957,[1.57079633 1.57078978],6.54649781227002e-06,0.11706066131591797,[1.57079633 1.57079633],4.440892098500626e-16,4.853498935699463,[1.57079632 1.57079633],4.209012447190104e-09,6.764663457870483
[1.5707835  1.57076853],4.062751808788577e-05,0.12767553329467773,[1.57079633 1.57078978],6.54649781227002e-06,0.0749516487121582,[1.57079633 1.57079633],4.440892098500626e-16,5.821084022521973,[1.57079632 1.57079633],7.914944262074547e-09,6.836853504180908
[1.5707835  1.57076853],4.062751808788577e-05,0.12089395523071289,[1.57079633 1.57078978],6.54649781227002e-06,0.03974723815917969,[1.57079633 1.57079633],4.440892098500626e-16,3.8066883087158203,[1.57079633 1.57079632],2.9101214221288382e-09,3.637786865234375
