Nelder-Mead,fun,time,3,Powell,fun,time,3,differential_evolution,fun,time,3,dual_annealing,fun,time,3,Density Matrix
[1.50553054 3.45676392],1.1106866582037669,0.04678916931152344,(0.883194832145844+0.14180913027283118j),[1.50557191 4.87532609],0.6753916369385371,0.0354461669921875,(0.9086969231742777-0.09757538596589416j),[1.50557224 4.87533851],0.6753771535520428,0.37291979789733887,(0.9086959712053667-0.0975771968352294j),[1.50557228 4.87533847],0.6753770942240228,2.076388359069824,(0.9086959777898997-0.09757717364635543j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.5325889 +0.j         -0.15463891+0.08094219j]
 [-0.15463891-0.08094219j  0.4674111 +0.j        ]]"
[1.31533496 4.7520589 ],0.35343723827545565,0.044959306716918945,(1.1322705220820444-0.23116158849173368j),[1.31532758 4.7520411 ],0.3534365872748044,0.03348875045776367,(1.1322722073977398-0.23116074481211948j),[1.31532121 4.75205407],0.35341588781786565,0.43379688262939453,(1.1322685275814726-0.2311666414747443j),[1.31532123 4.75205407],0.35341587606999453,2.061591863632202,(1.132268530867782-0.2311666343638502j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.62635256+0.j         -0.30668322+0.01918382j]
 [-0.30668322-0.01918382j  0.37364744+0.j        ]]"
[1.70286489 3.14160099],0.9913284963341836,0.033846378326416016,(0.5125098153412623+1.858615603820451e-06j),[1.70284381 4.71239284],0.9913059489930534,0.03358769416809082,(0.724146900577478+0.18181432412349474j),[3.14159265 2.39247999],0.8683436517380284,0.26065707206726074,(0.20992779595516117+0.540000157012062j),[3.14159265 6.28318531],0.8683436517380284,1.9228267669677734,(1.6249070881994487+2.3602413644328727e-16j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.43417183 0.        ]
 [0.         0.56582817]]"
[0.         4.90187665],0.13497789864287102,0.03175711631774902,(0.7452727883842719-0.980628257791803j),[8.33312725e-14 4.71239285e+00],0.13497789864295445,0.10426759719848633,(0.9336438815816448-0.998782509256396j),[0.       3.860172],0.13497789864287102,0.26987791061401367,(1.6864250341165452-0.6578583477502997j),[0. 0.],0.13497789864287113,1.9355731010437012,(0.09544378744068469+0j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.93251105 0.        ]
 [0.         0.06748895]]"
[0.         4.88702248],0.48503350580906546,0.030114173889160156,(0.5971251005004777-0.9627087642083988j),[5.10267361e-10 3.37240091e-01],0.48503350645942955,0.06411623954772949,(0.2326420281706552-0.26481322677409924j),[0.         4.73867736],0.48503350580906557,0.21535921096801758,(0.7454311157899691-0.9805671292969355j),[0.         5.43343639],0.48503350580906557,2.066460371017456,(0.10270865784830847-0.7116448692711406j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.75748325 0.        ]
 [0.         0.24251675]]"
[1.26205501 3.14162583],0.9527649877611335,0.03174710273742676,(1.1163305375182018-1.1773319965725277e-05j),[1.26205941 1.57079242],0.952734247849465,0.0338137149810791,(0.7785523592285558+0.39027426878932897j),[2.87640953e-06 1.96397829e+00],0.6961606439364941,0.24459028244018555,(1.0680089154864163+0.8951902040624058j),[0.         3.54573824],0.6961568849792013,1.9125282764434814,(1.6073236818382215-0.3844348368358434j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.65192156 0.        ]
 [0.         0.34807844]]"
[0.         4.88702248],0.36947233644421495,0.03111100196838379,(0.6495299662521878-0.972640769176713j),[0.7519834  4.71239456],0.782900268443022,0.04389595985412598,(0.8764288450381893-0.7763648962753913j),[0.         4.57880134],0.36947233644421495,0.3181345462799072,(0.957096838722618-0.9821411392535332j),[0.         0.90693829],0.36947233644421507,1.8557536602020264,(0.20444198384867837+0.767055086265822j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.81526383 0.        ]
 [0.         0.18473617]]"
[1.45195269 3.14161604],0.9929888445419397,0.03176307678222656,(0.8707673701091146-3.561803061389856e-06j),[1.45193197 4.71239284],0.9929491405680183,0.03268766403198242,(0.7211170782345033-0.16444475767910177j),[6.90478789e-06 1.44872901e+00],0.8814243963564312,0.2951676845550537,(0.47741149782265746+0.9096379635227615j),[0. 0.],0.8814167022133415,2.000086784362793,(0.6232557271861375+0j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.55929165 0.        ]
 [0.         0.44070835]]"
[3.14159265 4.49710047],0.7327727549597228,0.03715062141418457,(0.4467736546235423+0.9183373052792535j),[1.84131585 1.57079242],0.9636408148629185,0.03226661682128906,(0.7655915376971567-0.3490502935872235j),[3.14159079 4.90133206],0.7327749399005624,0.2817802429199219,(0.855978658511911+0.9425651898124385j),[3.14159265 3.01980004],0.7327727549597229,1.9829003810882568,(0.5057478949432161+0.08623458490369672j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.36638638 0.        ]
 [0.         0.63361362]]"
[0.         4.88702248],0.3932690571251599,0.03139829635620117,(0.6386439406350439-0.9708726519876736j),[0.75198831 4.71239455],0.8066972151560445,0.042218923568725586,(0.8649243586928701-0.7729329731350565j),[9.46494207e-06 5.82429818e+00],0.3932817353384615,0.3114752769470215,(0.1033359370368863+0.3994193720105948j),[0.         3.25318184],0.39326905712516,1.8528389930725098,(1.80783080444326-0.1106995732559207j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.80336547 0.        ]
 [0.         0.19663453]]"
