Nelder-Mead,fun,time,3,4,Powell,fun,time,3,4,differential_evolution,fun,time,3,4,dual_annealing,fun,time,3,4,Density Matrix
[0.         4.94294918],1.0473592945629124,0.04809832572937012,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.2892111691644551-0.8341321450290851j),[1.61818107 1.57079633],0.9988852759495634,0.048076629638671875,"[[-4.17294825e-10-4.76316492e-01j -4.99438776e-01+4.37551983e-10j]
 [-4.99438776e-01+4.37551995e-10j  4.58792487e-10+5.23683508e-01j]]",(0.7094608025876213-0.06675936917933815j),[3.14159265 2.84623423],0.9526407054370873,0.3188455104827881,"[[-3.58704248e-33-1.09138560e-33j -1.78236794e-17+5.85808493e-17j]
 [-1.78236794e-17+5.85808493e-17j  9.56697872e-01+2.91082775e-01j]]",(0.610185670847793+0.2065668735842754j),[3.14159265 3.2922063 ],0.9526407054370875,1.891819953918457,"[[-3.70695322e-33+5.62578121e-34j  9.18759796e-18+6.05391402e-17j]
 [ 9.18759796e-18+6.05391402e-17j  9.88679189e-01-1.50044861e-01j]]",(0.6571637315891693-0.10616957153642789j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.47632035 0.        ]
 [0.         0.52367965]]"
[0.         4.82416065],1.3120480955793428,0.03072500228881836,"[[0.11153909+0.99376005j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.29992664374071487-0.770143217872235j),[1.88814434 4.71239259],0.9500697318997099,0.05263400077819824,"[[ 1.24021828e-06+3.43975952e-01j  4.75033153e-01-1.71274997e-06j]
 [ 4.75033153e-01-1.71274997e-06j -2.36531947e-06-6.56024048e-01j]]",(0.7815045059823726+0.39929193519778944j),[3.14159265 2.67443241],0.6879519044206569,0.2404499053955078,"[[-3.34765423e-33-1.68855188e-33j -2.75761450e-17+5.46713424e-17j]
 [-2.75761450e-17+5.46713424e-17j  8.92850779e-01+4.50352624e-01j]]",(0.30560079104729254+0.34900282684044914j),[3.14159265 3.9619343 ],0.6879519044206572,1.78128981590271,"[[-2.55698310e-33+2.74223152e-33j  4.47840393e-17+4.17587030e-17j]
 [ 4.47840393e-17+4.17587030e-17j  6.81971374e-01-7.31378866e-01j]]",(0.02939532341559934-0.6455899710194709j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.34397595 0.        ]
 [0.         0.65602405]]"
[1.93177809 2.98447404],0.26418318533183793,0.04866433143615723,"[[-0.31941995-0.05060392j -0.07319418+0.46201332j]
 [-0.07319418+0.46201332j  0.66826229+0.10586906j]]",(0.2089804960930028-0.4958948818694348j),[1.93177566 2.98443813],0.26415062033552134,0.031539201736450195,"[[-0.31941925-0.05061556j -0.07321084+0.46201111j]
 [-0.07321084+0.46201111j  0.66825737+0.10589287j]]",(0.2089966671050536-0.49589484813718276j),[1.93176425 2.98444282],0.26414091094793074,0.3589823246002197,"[[-0.31942476-0.0506149j  -0.07320899+0.46201345j]
 [-0.07320899+0.46201345j  0.6682526 +0.1058889j ]]",(0.20899693436526223-0.4958922649754595j),[1.93176425 2.98444409],0.26414224870776876,2.0420289039611816,"[[-0.31942482-0.05061449j -0.0732084 +0.46201354j]
 [-0.0732084 +0.46201354j  0.66825273+0.10588806j]]",(0.20899638214905367-0.495892246880224j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.32341003+0.j       0.07320898-0.329943j]
 [0.07320898+0.329943j 0.67658997+0.j      ]]"
[0.         4.94316368],0.1964820379167882,0.033559322357177734,"[[0.22873175+0.97348949j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.6753528269926936-0.9701372472282388j),[1.58163380e-09 4.71239641e+00],0.1964820394984342,0.05008220672607422,"[[ 7.43119586e-06+1.00000000e+00j  7.90816902e-10-5.87671529e-15j]
 [ 7.90816902e-10-5.87671529e-15j -4.64740579e-24-6.25391373e-19j]]",(0.9041553745893158-0.997341358757543j),[9.68823929e-06 3.79031777e+00],0.19649561134202673,0.38059496879577637,"[[-7.96854693e-01+6.04171001e-01j  2.92667661e-06+3.86005947e-06j]
 [ 2.92667661e-06+3.86005947e-06j  1.86985899e-11-1.41771717e-11j]]",(1.7011345283036166-0.6032757000318186j),[0.         6.28318531],0.19648203791678842,1.8029286861419678,"[[1.+2.4492936e-16j 0.+0.0000000e+00j]
 [0.+0.0000000e+00j 0.+0.0000000e+00j]]",(0.13893378139231344+1.731912112470987e-16j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.90175898 0.        ]
 [0.         0.09824102]]"
[0.         4.94294918],1.6305317205999033,0.029477596282958984,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.07950246362052803+0.5362108055162181j),[3.14154773 4.71239284],0.3695132027922035,0.03255915641784668,"[[ 1.94896530e-15+5.04546558e-10j  2.24621138e-05-8.67667805e-11j]
 [ 2.24621138e-05-8.67667805e-11j -3.86280566e-06-9.99999999e-01j]]",(0.8236863869661615+0.9897817124279709j),[3.14159265 3.20050523],0.36946827940009663,0.26540684700012207,"[[-3.74289483e-33+2.20759037e-34j  3.60526868e-18+6.11261114e-17j]
 [ 3.60526868e-18+6.11261114e-17j  9.98265156e-01-5.88785057e-02j]]",(0.25672976849510615-0.04196913014754197j),[3.14159265 1.75828404],0.3694682794000967,1.8392143249511719,"[[-6.98855151e-34-3.68369349e-33j -6.01592802e-17+1.14131707e-17j]
 [-6.01592802e-17+1.14131707e-17j  1.86391223e-01+9.82475604e-01j]]",(0.6368517344729367-0.9701692800989166j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.18473414 0.        ]
 [0.         0.81526586]]"
[0.         4.82404974],1.6800299417843076,0.03149604797363281,"[[0.11142887+0.99377241j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.08996336948981622-0.5363712916773259j),[3.14154666 4.71239284],0.3200160511400344,0.03263282775878906,"[[ 2.04287210e-15+5.28857511e-10j  2.29969022e-05-8.88324906e-11j]
 [ 2.29969022e-05-8.88324906e-11j -3.86280247e-06-9.99999999e-01j]]",(0.8463533281234289+0.9925155431503032j),[3.14158565 4.78465956],0.31997754622365765,0.33405327796936035,"[[ 8.84745297e-13+1.22208016e-11j  3.49126061e-06-2.52755630e-07j]
 [ 3.49126061e-06-2.52755630e-07j -7.22076836e-02-9.97389618e-01j]]",(0.9186389727266623+0.9904232588313752j),[3.14159265 5.13238937],0.3199700582156924,1.8034052848815918,"[[ 1.52885815e-33+3.42353458e-33j  5.59105627e-17-2.49681484e-17j]
 [ 5.59105627e-17-2.49681484e-17j -4.07760808e-01-9.13088782e-01j]]",(1.254462231792502+0.9082218953773792j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.15998503 0.        ]
 [0.         0.84001497]]"
[0.         4.94294918],1.970941999913405,0.02900242805480957,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.495749031714957+0.4202354983190877j),[3.14154666 4.71239284],0.029103993010937274,0.03315854072570801,"[[ 2.04287263e-15+5.28857511e-10j  2.29969022e-05-8.88325138e-11j]
 [ 2.29969022e-05-8.88325138e-11j -3.86280348e-06-9.99999999e-01j]]",(0.9855276317868087+0.9999464555217504j),[3.14158756 6.22998255],0.029063356960243144,0.2908823490142822,"[[ 6.47611316e-12+3.44872550e-13j  1.35423473e-07-2.54301984e-06j]
 [ 1.35423473e-07-2.54301984e-06j -9.98585067e-01-5.31776653e-02j]]",(1.9841092250310342+0.053176240610055714j),[3.14159265 0.78752512],0.029058000086595044,1.8361155986785889,"[[ 2.64558074e-33-2.65685883e-33j -4.33897975e-17-4.32056123e-17j]
 [-4.33897975e-17-4.32056123e-17j -7.05601195e-01+7.08609168e-01j]]",(1.6911252865137556-0.7085869219947525j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.014529 0.      ]
 [0.       0.985471]]"
[1.09893199 2.83427332],0.1985068295209536,0.05013680458068848,"[[-0.69319954-0.22000372j -0.13472384+0.4244951j ]
 [-0.13472384+0.4244951j   0.25994837+0.08250093j]]",(1.241045709535304+0.06662793719755283j),[1.09899521 2.83425816],0.19849538737842176,0.03551769256591797,"[[-0.69316936-0.22000572j -0.13473462+0.42450675j]
 [-0.13473462+0.42450675j  0.25997396+0.08251339j]]",(1.2410058073774397+0.06661614928862784j),[1.09902973 2.8343021 ],0.19845886839030902,0.48604702949523926,"[[-0.69316438-0.2199706j  -0.13471834+0.42452015j]
 [-0.13471834+0.42452015j  0.25999223+0.08250662j]]",(1.240988552309679+0.06658261096018243j),[1.09902975 2.8343021 ],0.19845887556084923,1.8216347694396973,"[[-0.69316437-0.2199706j  -0.13471834+0.42452015j]
 [-0.13471834+0.42452015j  0.25999224+0.08250662j]]",(1.2409885430753016+0.06658260526309044j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.72723031+0.j         0.13471833-0.32529072j]
 [0.13471833+0.32529072j 0.27276969+0.j        ]]"
[0.         4.94294918],0.9833820660238106,0.07270693778991699,"[[0.22852294+0.97353853j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.3189203631270353-0.8540767943390001j),[1.55419341 4.71239284],0.9998818153536142,0.028517723083496094,"[[ 1.96346718e-06+5.08301078e-01j  4.99931087e-01-1.93113555e-06j]
 [ 4.99931087e-01-1.93113555e-06j -1.89933631e-06-4.91698922e-01j]]",(0.7073992147024029-0.023480438456151845j),[4.39753758e-06 3.51448019e+00],0.9833877633993198,0.23697590827941895,"[[-9.31279283e-01+3.64306048e-01j  8.01024768e-07+2.04766782e-06j]
 [ 8.01024768e-07+2.04766782e-06j  4.50234809e-12-1.76126826e-12j]]",(1.5169015649742401-0.34573812735103165j),[0.         6.28318531],0.9833820660238108,1.8186125755310059,"[[1.+2.4492936e-16j 0.+0.0000000e+00j]
 [0.+0.0000000e+00j 0.+0.0000000e+00j]]",(0.6953561273826739+1.731912112470987e-16j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.50830897 0.        ]
 [0.         0.49169103]]"
[0.         4.82416065],1.2091033301648664,0.032962799072265625,"[[0.11153909+0.99376005j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.3468254096684789-0.8134861522785046j),[1.78145426 1.57079267],0.9778971238072945,0.0928499698638916,"[[ 1.44464991e-06-3.95448335e-01j -4.88946776e-01-1.78621795e-06j]
 [-4.88946776e-01-1.78621795e-06j -2.20854517e-06+6.04551665e-01j]]",(0.7461123410605485-0.28025738023038127j),[3.14159265 2.92497212],0.7908966698351333,0.3788309097290039,"[[-3.66177365e-33-8.05859805e-34j -1.31606894e-17+5.98013019e-17j]
 [-1.31606894e-17+5.98013019e-17j  9.76629375e-01+2.14930368e-01j]]",(0.5216582956417218+0.1533011165385775j),[3.14159265 3.54632693],0.7908966698351335,2.0606977939605713,"[[-3.44647447e-33+1.47641796e-33j  2.41117351e-17+5.62851995e-17j]
 [ 2.41117351e-17+5.62851995e-17j  9.19207066e-01-3.93774517e-01j]]",(0.4287629084599265-0.28897853808962115j),"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.39544833 0.        ]
 [0.         0.60455167]]"
