Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,direct,time,matrix,degree,Density Matrix
[3.14159265 3.12001819],0.034261465072631836,"[[ 3.74939946e-33-3.35719805e-52j -4.75210007e-35+6.12323400e-17j]
 [-4.75210007e-35-6.12323400e-17j  1.00000000e+00-3.29375882e-19j]]",(0.6334473593667151-0.004939443503403685j),[1.64032437 6.24810867],0.04359269142150879,"[[ 4.65263982e-01-3.39737147e-19j -8.52438305e-19+4.98791950e-01j]
 [-8.52438305e-19-4.98791950e-01j  5.34736018e-01+4.00822938e-19j]]",(0.017486407944800244+0.31985997838809516j),[1.64032341 6.2481206 ],0.33904576301574707,"[[ 4.65264461e-01+4.86942044e-19j -2.01319061e-19+4.98791983e-01j]
 [-2.01319061e-19-4.98791983e-01j  5.34735539e-01-4.58124831e-19j]]",(0.01748640794476129+0.3198600117838064j),[1.64032693 6.24812443],0.7275333404541016,"[[ 4.65262704e-01-6.83384167e-19j -9.05816446e-20+4.98791861e-01j]
 [-9.05816446e-20-4.98791861e-01j  5.34737296e-01+6.48301004e-19j]]",(0.017486407945286418+0.3198598894061581j),"  (0, 0)	(0.46526445967104757+0j)
  (0, 1)	(-0.017486407944761313+0.17893197126911994j)
  (1, 0)	(-0.017486407944761313-0.17893197126911994j)
  (1, 1)	(0.5347355403289523+0j)"
[0.54898375 3.31628372],0.05607748031616211,"[[9.26527631e-01-5.81004419e-18j 1.04811861e-18+2.60910291e-01j]
 [1.04811861e-18-2.60910291e-01j 7.34723688e-02-2.00889319e-20j]]",(0.045348941154582594+0.5177302718155322j),[0.54897447 3.31624773],0.08168411254882812,"[[ 9.26530053e-01+2.87685174e-18j -1.75104365e-18+2.60906332e-01j]
 [-1.75104365e-18-2.60906332e-01j  7.34699469e-02-2.73472614e-19j]]",(0.04534894766688817+0.5177262391738398j),[0.54904421 3.31620126],0.39300966262817383,"[[ 9.26511857e-01-5.50555019e-18j -2.99096866e-18+2.60936077e-01j]
 [-2.99096866e-18-2.60936077e-01j  7.34881435e-02-5.36518482e-21j]]",(0.04534889878973698+0.5177565358823041j),[0.54897668 3.31625268],0.12929606437683105,"[[9.26529477e-01-3.74789656e-18j 3.44692391e-18+2.60907274e-01j]
 [3.44692391e-18-2.60907274e-01j 7.34705233e-02+3.01652118e-19j]]",(0.04534894611694712+0.5177271988378772j),"  (0, 0)	(0.9187124176364789+0j)
  (0, 1)	(-0.04533868990941708-0.2569370418367238j)
  (1, 0)	(-0.04533868990941708+0.2569370418367238j)
  (1, 1)	(0.08128758236352107+0j)"
[3.14159265 3.12001819],0.024019241333007812,"[[ 3.74939946e-33-3.35719805e-52j -4.75210007e-35+6.12323400e-17j]
 [-4.75210007e-35-6.12323400e-17j  1.00000000e+00-3.29375882e-19j]]",(0.21808744894920387-2.3290391956415246e-19j),[3.14159265 4.71251184],0.05993223190307617,"[[ 1.80821949e-20-8.67150299e-38j -3.88079597e-27+1.34470052e-10j]
 [-3.88079597e-27-1.34470052e-10j  1.00000000e+00+2.31663610e-17j]]",(0.21808744894920387+1.6381090993412238e-17j),[3.14159188 2.68251212],0.34806132316589355,"[[1.49914703e-13+4.31332613e-31j 2.59460426e-24+3.87188202e-07j]
 [2.59460426e-24-3.87188202e-07j 1.00000000e+00-8.21067632e-18j]]",(0.21808744894864837-5.8058249015424935e-18j),[3.14156605 3.14159265],0.6952424049377441,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.2180874482934178+2.696191587768829e-33j),"  (0, 0)	(0.15421111404365717+0j)
  (1, 1)	(0.8457888859563429+0j)"
[3.14159265 3.12001819],0.024629592895507812,"[[ 3.74939946e-33-3.35719805e-52j -4.75210007e-35+6.12323400e-17j]
 [-4.75210007e-35-6.12323400e-17j  1.00000000e+00-3.29375882e-19j]]",(0.33145993671425367-2.3290391956415256e-19j),[3.14159265 4.71251184],0.05167055130004883,"[[ 1.33727865e-19+7.94007293e-37j -2.27165458e-26+3.65688208e-10j]
 [-2.27165458e-26-3.65688208e-10j  1.00000000e+00+8.12000772e-18j]]",(0.3314599367142537+5.74171251861209e-18j),[3.14159265 3.365197  ],0.23380398750305176,"[[ 3.74939946e-33-3.70597780e-50j -9.73509161e-34+6.12323400e-17j]
 [-9.73509161e-34-6.12323400e-17j  1.00000000e+00+3.34439021e-18j]]",(0.3314599367142537+2.364840998340927e-18j),[3.14156605 3.14159265],0.7010116577148438,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.3314599361971976+2.6961915832959076e-33j),"  (0, 0)	(0.2343775689423127+0j)
  (1, 1)	(0.7656224310576873+0j)"
[2.60798669 3.01286613],0.026700258255004883,"[[6.95107360e-02-5.83038880e-20j 5.68291954e-19+2.54320651e-01j]
 [5.68291954e-19-2.54320651e-01j 9.30489264e-01-2.02181818e-18j]]",(0.5091868475705715-0.03247145773330613j),[1.41754825 3.07547467],0.03464531898498535,"[[ 5.76324470e-01-5.16913167e-19j -8.76088138e-20+4.94140238e-01j]
 [-8.76088138e-20-4.94140238e-01j  4.23675530e-01-8.07525646e-19j]]",(0.03264184415634742-0.7463485420372967j),[1.41754563 3.0754866 ],0.2990856170654297,"[[ 5.76325764e-01+1.87708422e-19j -7.89410321e-19+4.94140039e-01j]
 [-7.89410321e-19-4.94140039e-01j  4.23674236e-01-2.73657866e-19j]]",(0.03264184415624979-0.7463483421662871j),[1.41754762 3.0754907 ],0.6752655506134033,"[[ 5.76324785e-01+1.54729546e-18j -1.52876143e-18+4.94140190e-01j]
 [-1.52876143e-18-4.94140190e-01j  4.23675215e-01-1.35496585e-20j]]",(0.03264184415630571-0.7463484935107987j),"  (0, 0)	(0.5763257624321435+0j)
  (0, 1)	(0.032641844156249794-0.252208303631198j)
  (1, 0)	(0.032641844156249794+0.252208303631198j)
  (1, 1)	(0.42367423756785655+0j)"
[3.14159265 2.90484452],0.02396535873413086,"[[3.74939946e-33-3.81724350e-50j 4.45123600e-34+6.12323400e-17j]
 [4.45123600e-34-6.12323400e-17j 1.00000000e+00+5.05859884e-18j]]",(0.9029939482694159-0.03742062646164724j),[1.21849944 6.05552066],0.05621647834777832,"[[6.72527265e-01-4.84421669e-18j 1.04346542e-17+4.69291320e-01j]
 [1.04346542e-17-4.69291320e-01j 3.27472735e-01-1.95449270e-18j]]",(0.10592048153242473+0.1502727599305863j),[1.21852667 6.05552298],0.3225431442260742,"[[6.72514486e-01-6.21238530e-18j 9.63641804e-18+4.69296018e-01j]
 [9.63641804e-18-4.69296018e-01j 3.27485514e-01+1.67193869e-18j]]",(0.10592048102045763+0.15027745846863175j),[1.21852646 6.05551722],0.6661498546600342,"[[6.72514584e-01-4.91011708e-18j 3.68130930e-18+4.69295981e-01j]
 [3.68130930e-18-4.69295981e-01j 3.27485416e-01+2.11390481e-18j]]",(0.10592048102048972+0.15027742229230961j),"  (0, 0)	(0.6725144831462815+0j)
  (0, 1)	(-0.10592048102045758+0.31901855910937077j)
  (1, 0)	(-0.10592048102045758-0.31901855910937077j)
  (1, 1)	(0.3274855168537184+0j)"
[3.14159265 3.14915629],0.023000717163085938,"[[3.74939946e-33-5.22958151e-52j 2.25626349e-35+6.12323400e-17j]
 [2.25626349e-35-6.12323400e-17j 1.00000000e+00+3.42131305e-20j]]",(0.09751378272376768+2.4192336554901574e-20j),[3.14159265 4.71239281],0.11110568046569824,"[[5.91978999e-19+1.49973271e-35j 2.98543033e-27+7.69401715e-10j]
 [2.98543033e-27-7.69401715e-10j 1.00000000e+00+1.09252708e-17j]]",(0.09751378272376776+7.725333059275052e-18j),[3.14159265 3.16583817],0.2688288688659668,"[[3.74939946e-33+5.14671184e-53j 8.92212144e-36+6.12323400e-17j]
 [8.92212144e-36-6.12323400e-17j 1.00000000e+00+3.68865176e-20j]]",(0.09751378272376776+2.6082706751798213e-20j),[3.14158379 3.14159265],0.6778993606567383,"[[1.96567701e-11+7.24679436e-44j 1.36098399e-38+4.43359562e-06j]
 [1.36098399e-38-4.43359562e-06j 1.00000000e+00-1.08698824e-33j]]",(0.09751378259517923-7.6861675645296496e-34j),"  (0, 0)	(0.06895265702312776+0j)
  (1, 1)	(0.9310473429768722+0j)"
[2.45051031 2.65215623],0.043462514877319336,"[[1.14721693e-01+1.11107726e-18j 3.80219370e-18+3.18685780e-01j]
 [3.80219370e-18-3.18685780e-01j 8.85278307e-01+5.94247928e-18j]]",(0.500233543083643-0.17966723233376874j),[1.28343889 2.82383709],0.035097599029541016,"[[6.41709505e-01+4.31068325e-18j 1.06983480e-17+4.79498088e-01j]
 [1.06983480e-17-4.79498088e-01j 3.58290495e-01+2.65952984e-18j]]",(0.14980600375041425-0.760758731356231j),[1.2834242  2.82384998],0.37691831588745117,"[[ 6.4171655e-01-2.54044238e-18j -2.2822813e-18+4.79496006e-01j]
 [-2.2822813e-18-4.79496006e-01j  3.5828345e-01+1.77601335e-18j]]",(0.14980600373805197-0.7607566493289164j),[1.28342248 2.82385163],0.6908457279205322,"[[ 6.41717373e-01+4.11408413e-20j -8.03010604e-18+4.79495763e-01j]
 [-8.03010604e-18-4.79495763e-01j  3.58282627e-01+3.05172348e-18j]]",(0.149806003738221-0.7607564063261133j),"  (0, 0)	(0.641716549031534+0j)
  (0, 1)	(0.149806003738052-0.2812606437750479j)
  (1, 0)	(0.149806003738052+0.2812606437750479j)
  (1, 1)	(0.358283450968466+0j)"
[2.35275223 2.32773696],0.03155803680419922,"[[ 1.47665725e-01+1.90328469e-18j -1.36010336e-17+3.54768317e-01j]
 [-1.36010336e-17-3.54768317e-01j  8.52334275e-01+7.52907917e-18j]]",(0.26698358008489925-0.5751331554550471j),[2.05541547 2.51927701],0.03456830978393555,"[[2.67064305e-01+4.56099431e-18j 1.44603351e-17+4.42426222e-01j]
 [1.44603351e-17-4.42426222e-01j 7.32935695e-01-9.77283512e-18j]]",(0.2578895692812659-0.6830720948824683j),[2.0554104  2.14591185],0.38124942779541016,"[[2.67066547e-01+6.23754828e-18j 1.44034438e-17+4.42427403e-01j]
 [1.44034438e-17-4.42427403e-01j 7.32933453e-01+1.42809857e-17j]]",(0.25788956927883483-0.683073275315856j),[2.0554238  2.14591348],0.689530611038208,"[[2.67060620e-01+5.33081932e-18j 1.12466267e-17+4.42424282e-01j]
 [1.12466267e-17-4.42424282e-01j 7.32939380e-01+1.15691990e-17j]]",(0.2578895692958275-0.6830701546882469j),"  (0, 0)	(0.2670665470965369+0j)
  (0, 1)	(0.2578895692788349-0.2406458725961873j)
  (1, 0)	(0.2578895692788349+0.2406458725961873j)
  (1, 1)	(0.7329334529034632+0j)"
[3.14159265 3.12001819],0.023221254348754883,"[[ 3.74939946e-33-3.35719805e-52j -4.75210007e-35+6.12323400e-17j]
 [-4.75210007e-35-6.12323400e-17j  1.00000000e+00-3.29375882e-19j]]",(0.40785542410170156-2.3290391956415256e-19j),[3.14159265 4.71251184],0.048932552337646484,"[[1.33727865e-19-3.86854444e-37j 1.89182207e-26+3.65688208e-10j]
 [1.89182207e-26-3.65688208e-10j 1.00000000e+00+1.69545600e-17j]]",(0.40785542410170156+1.1988684324793762e-17j),[3.14159265 3.3876797 ],0.3027219772338867,"[[3.74939946e-33-1.81643358e-50j 6.11616226e-34+6.12323400e-17j]
 [6.11616226e-34-6.12323400e-17j 1.00000000e+00-4.29015987e-18j]]",(0.40785542410170156-3.033601137815649e-18j),[3.14156605 3.14159265],0.6929333209991455,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.4078554236346324+2.6961915819717757e-33j),"  (0, 0)	(0.28839733612602847+0j)
  (1, 1)	(0.7116026638739714+0j)"
