CG,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,direct,time,matrix,degree,Density Matrix
[1.21471679 5.63500482],0.10911917686462402,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(2.8689600479871394e-17+0.4685367323843284j),[1.2291709  4.71239284],0.05681276321411133,"[[ 6.67509515e-01+2.55312818e-17j -4.45540369e-17+4.71105681e-01j]
 [-4.45540369e-17-4.71105681e-01j  3.32490485e-01-5.17702598e-18j]]",(2.884690318333257e-17-0.4711056804854577j),[9.97178029e-06 2.18510081e-01],0.6909663677215576,"[[ 1.00000000e+00-5.39049097e-18j -4.01851222e-23+4.98589014e-06j]
 [-4.01851222e-23-4.98589014e-06j  2.48591005e-11-1.53756871e-28j]]",(0.47022141596722616-3.811652718924153e-18j),[2.66015737e-05 3.14159265e+00],1.807312250137329,"[[ 1.00000000e+00-3.81299070e-33j -4.41854985e-38+1.33007869e-05j]
 [-4.41854985e-38-1.33007869e-05j  1.76910931e-10-1.11260694e-43j]]",(0.4702214155905112-2.696191579795155e-33j),"  (0, 0)	(0.6675032480668838+0j)
  (1, 1)	(0.33249675193311623+0j)"
[1.21471679 5.63500482],0.0878453254699707,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(0.055376673579085295+0.5210425635712558j),[1.54507756 3.24333515],0.05171513557434082,"[[5.12857964e-01+8.60840793e-19j 2.38172304e-18+4.99834645e-01j]
 [2.38172304e-18-4.99834645e-01j 4.87142036e-01-1.38468210e-19j]]",(0.05075982660413487+0.5996331487380577j),[1.54505858 3.2433213 ],0.7428269386291504,"[[ 5.12867453e-01-1.63736173e-18j -9.08423529e-19+4.99834401e-01j]
 [-9.08423529e-19-4.99834401e-01j  4.87132547e-01+7.49567399e-19j]]",(0.05075982659153819+0.5996329046817717j),[1.54506374 3.24331707],1.5100693702697754,"[[5.12864875e-01-7.82707825e-19j 4.96623588e-19+4.99834468e-01j]
 [4.96623588e-19-4.99834468e-01j 4.87135125e-01+4.92575093e-19j]]",(0.05075982659246317+0.5996329710464815j),"  (0, 0)	(0.5128674434918667+0j)
  (0, 1)	(-0.0507598265915382-0.09979850345687015j)
  (1, 0)	(-0.0507598265915382+0.09979850345687015j)
  (1, 1)	(0.4871325565081333+0j)"
[2.15567048 6.62141039],0.4476749897003174,"[[ 2.23952772e-01-3.39251896e-20j -7.12258641e-18+4.16890786e-01j]
 [-7.12258641e-18-4.16890786e-01j  7.76047228e-01-7.68992769e-18j]]",(0.13588173621316627-0.09257730024583925j),[2.15568261 0.33201181],0.06598734855651855,"[[ 2.23947713e-01-3.14147621e-18j -1.67085784e-17+4.16887437e-01j]
 [-1.67085784e-17-4.16887437e-01j  7.76052287e-01-4.82760865e-18j]]",(0.1358817363416273-0.09257395056388928j),[2.1562537  0.33214001],0.6846580505371094,"[[ 2.23709678e-01-1.59185050e-20j -9.60100177e-18+4.16729718e-01j]
 [-9.60100177e-18-4.16729718e-01j  7.76290322e-01+1.19757459e-17j]]",(0.13588203355790518-0.09241602967681742j),[2.15567035 0.33200537],1.451415777206421,"[[2.23952825e-01-3.07089347e-18j 1.22233237e-17+4.16890822e-01j]
 [1.22233237e-17-4.16890822e-01j 7.76047175e-01+3.48169292e-18j]]",(0.1358817362131825-0.09257733586550708j),"  (0, 0)	(0.22395276848017132+0j)
  (0, 1)	(0.1358817362131662+0.3243134860347321j)
  (1, 0)	(0.1358817362131662-0.3243134860347321j)
  (1, 1)	(0.7760472315198286+0j)"
[1.21471679 5.63500482],0.10047650337219238,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(5.0344179504636805e-17+0.09962800819363857j),[1.18895083e-10 4.71239305e+00],0.29246950149536133,"[[ 1.00000000e+00-2.03648563e-17j -4.48188528e-27+5.94475415e-11j]
 [-4.48188528e-27-5.94475415e-11j  3.53401019e-21+5.57675974e-38j]]",(0.002684799804730573-1.440012802144133e-17j),[1.04592105e-06 1.37192186e+00],0.8460814952850342,"[[1.00000000e+00-4.52618191e-18j 4.25523924e-23+5.22960523e-07j]
 [4.25523924e-23-5.22960523e-07j 2.73487708e-13-1.03924089e-30j]]",(0.0026847997534112226-3.200493974965598e-18j),[9.85243471e-07 3.14159265e+00],0.30251336097717285,"[[ 1.00000000e+00+2.16502499e-33j -1.42292169e-39+4.92621736e-07j]
 [-1.42292169e-39-4.92621736e-07j  2.42676174e-13+9.84540599e-46j]]",(0.0026847997591928994+1.5309038794003242e-33j),"  (0, 0)	(0.9981015598519467+0j)
  (1, 1)	(0.001898440148053319+0j)"
[1.21471679 5.63500482],0.08666229248046875,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(0.1594255986823528-0.3476986947941j),[1.51979806 1.4305947 ],0.043622493743896484,"[[ 5.25488084e-01-9.95269680e-18j -8.14664683e-18+4.99349935e-01j]
 [-8.14664683e-18-4.99349935e-01j  4.74511916e-01-6.05832877e-18j]]",(0.13897744940071685-0.42957117974441666j),[1.51980918 1.43059838],0.9077157974243164,"[[5.25482528e-01+1.69139855e-17j 2.41195148e-17+4.99350219e-01j]
 [2.41195148e-17-4.99350219e-01j 4.74517472e-01+1.06253552e-18j]]",(0.13897744937964548-0.4295714633278688j),[1.51980998 1.43057943],1.5396511554718018,"[[ 5.25482131e-01+1.32835581e-17j -7.18060711e-18+4.99350239e-01j]
 [-7.18060711e-18-4.99350239e-01j  4.74517869e-01-1.21315283e-17j]]",(0.13897744937975096-0.4295714836134851j),"  (0, 0)	(0.5254825241920867+0j)
  (0, 1)	(0.1389774493796455+0.0697787552025272j)
  (1, 0)	(0.1389774493796455-0.0697787552025272j)
  (1, 1)	(0.4745174758079133+0j)"
[2.02995473 4.73954624],0.17754721641540527,"[[ 2.78403080e-01+1.41767404e-18j -1.59782332e-18+4.48212902e-01j]
 [-1.59782332e-18-4.48212902e-01j  7.21596920e-01+9.46677754e-18j]]",(0.32586526890147915+0.31707039567166295j),[2.02996016 5.00932976],0.06364250183105469,"[[ 2.78400650e-01-1.01817187e-17j -1.21060189e-17+4.48211700e-01j]
 [-1.21060189e-17-4.48211700e-01j  7.21599350e-01-2.16647614e-17j]]",(0.3258652689107734+0.317069193854668j),[2.03010393 5.01062635],0.6121110916137695,"[[ 2.78336211e-01+6.14205396e-18j -2.97188849e-17+4.48179835e-01j]
 [-2.97188849e-17-4.48179835e-01j  7.21663789e-01+4.06631234e-18j]]",(0.32586527595034537+0.3170373221903972j),[2.02995722 5.00933052],1.5058491230010986,"[[2.78401965e-01+4.11381029e-18j 2.37528317e-17+4.48212350e-01j]
 [2.37528317e-17-4.48212350e-01j 7.21598035e-01-1.43101590e-18j]]",(0.3258652689034314+0.3170698441559376j),"  (0, 0)	(0.278403077719438+0j)
  (0, 1)	(-0.32586526890147915+0.1311425059844969j)
  (1, 0)	(-0.32586526890147915-0.1311425059844969j)
  (1, 1)	(0.7215969222805619+0j)"
[3.74256325 6.81493138],0.42148923873901367,"[[8.76064064e-02+1.38312738e-18j 6.62446570e-18-2.82721637e-01j]
 [6.62446570e-18+2.82721637e-01j 9.12393594e-01-1.03644682e-17j]]",(0.14386373344366107-0.03896078013745967j),[2.54149265 3.67240044],0.29083824157714844,"[[ 8.73604271e-02-2.07649844e-19j -6.90524783e-18+2.82362503e-01j]
 [-6.90524783e-18-2.82362503e-01j  9.12639573e-01+2.82509290e-19j]]",(0.14300976804643714+0.5256080668573618j),[2.5414386  3.67241053],0.9930870532989502,"[[8.73756893e-02-7.82870538e-19j 7.51900076e-18+2.82384805e-01j]
 [7.51900076e-18-2.82384805e-01j 9.12624311e-01-3.30412899e-19j]]",(0.14300958323096521+0.5256310376528815j),[2.54149563 3.67239454],0.5539536476135254,"[[8.73595852e-02-1.42528208e-18j 3.85934253e-18+2.82361272e-01j]
 [3.85934253e-18-2.82361272e-01j 9.12640415e-01+8.36698840e-18j]]",(0.14300977824833683+0.5256067996796677j),"  (0, 0)	(0.09954697575557775+0j)
  (0, 1)	(-0.14293823763305544-0.24350859371646572j)
  (1, 0)	(-0.14293823763305544+0.24350859371646572j)
  (1, 1)	(0.9004530242444223+0j)"
[1.21471679 5.63500482],0.14835333824157715,"[[6.74301194e-01+5.04054009e-18j 1.44392890e-17+4.68635353e-01j]
 [1.44392890e-17-4.68635353e-01j 3.25698806e-01-2.10187376e-19j]]",(0.09290420010684437+0.29000308309880873j),[1.53493503 4.93051143],0.05141925811767578,"[[ 5.17926806e-01+5.31137154e-18j -1.89108591e-17+4.99678526e-01j]
 [-1.89108591e-17-4.99678526e-01j  4.82073194e-01-8.47537978e-19j]]",(0.07473459887681365+0.3915522934880752j),[1.53495126 6.13305672],1.0255160331726074,"[[ 5.17918696e-01+2.33891366e-18j -3.33296954e-18+4.99678817e-01j]
 [-3.33296954e-18-4.99678817e-01j  4.82081304e-01-1.81305639e-18j]]",(0.07473459884592519+0.39155258454841363j),[1.53495514 6.13306376],1.412064790725708,"[[5.17916757e-01-1.33084090e-18j 4.30998826e-18+4.99678887e-01j]
 [4.30998826e-18-4.99678887e-01j 4.82083243e-01+1.02004562e-18j]]",(0.07473459884770497+0.39155265407137113j),"  (0, 0)	(0.5179187022252335+0j)
  (0, 1)	(-0.07473459884592522+0.10812623262510815j)
  (1, 0)	(-0.07473459884592522-0.10812623262510815j)
  (1, 1)	(0.48208129777476644+0j)"
[1.57997607 5.78253194],0.19618701934814453,"[[ 4.95410191e-01+1.25341167e-18j -1.10475517e-17+4.99978933e-01j]
 [-1.10475517e-17-4.99978933e-01j  5.04589809e-01-5.69227796e-18j]]",(0.05066776632294262+0.5444812598888344j),[1.57999416 4.62323661],0.04538750648498535,"[[ 4.95401151e-01+1.68789739e-18j -5.26536448e-17+4.99978850e-01j]
 [-5.26536448e-17-4.99978850e-01j  5.04598849e-01-2.60161588e-17j]]",(0.050667766336780794+0.5444811766694049j),[1.57997607 3.24310672],0.8201844692230225,"[[4.95410194e-01+1.64087520e-18j 2.67703099e-18+4.99978933e-01j]
 [2.67703099e-18-4.99978933e-01j 5.04589806e-01-7.24015809e-19j]]",(0.050667766322942544+0.5444812599193553j),[1.57998274 4.62326484],1.7000346183776855,"[[ 4.95406860e-01+7.19818901e-18j -1.12434787e-17+4.99978903e-01j]
 [-1.12434787e-17-4.99978903e-01j  5.04593140e-01-2.48605794e-17j]]",(0.05066776632481936+0.5444812292774922j),"  (0, 0)	(0.49541018762036804+0j)
  (0, 1)	(-0.05066776632294257-0.044502326682041994j)
  (1, 0)	(-0.05066776632294257+0.044502326682041994j)
  (1, 1)	(0.504589812379632+0j)"
[1.43477342 5.72388503],0.13993024826049805,"[[5.67801920e-01+6.79179211e-18j 7.13476696e-18+4.95381570e-01j]
 [7.13476696e-18-4.95381570e-01j 4.32198080e-01-1.31148090e-18j]]",(3.033337268553533e-17+0.495381569717156j),[1.4347812  4.71239284],0.06617307662963867,"[[ 5.67798068e-01+4.73449102e-18j -3.11013561e-17+4.95382097e-01j]
 [-3.11013561e-17-4.95382097e-01j  4.32201932e-01+5.25556474e-18j]]",(3.033340496597785e-17-0.49538209689678925j),[0.         3.58109566],0.42920875549316406,"[[1.+9.75068336e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.6112203916023523+6.8947743259778735e-18j),[7.98047212e-05 3.14159265e+00],1.0084075927734375,"[[9.99999998e-01+2.69543420e-33j 6.54377709e-38+3.99023605e-05j]
 [6.54377709e-38-3.99023605e-05j 1.59219838e-09+1.14646145e-42j]]",(0.6112203880481689+1.9059598055662026e-33j),"  (0, 0)	(0.5678019162984795+0j)
  (1, 1)	(0.43219808370152046+0j)"
