Newton-CG,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,direct,time,matrix,degree,Density Matrix
[3.14159265 2.20085177],0.012975215911865234,"[[3.74939946e-33-8.04952069e-50j 1.04997665e-33+6.12323400e-17j]
 [1.04997665e-33-6.12323400e-17j 1.00000000e+00-1.62246176e-17j]]",(0.6897546471506549-0.0086718061802928j),[1.59533198 4.86829861],0.03390216827392578,"[[ 4.87733405e-01-1.34731025e-17j -1.54412340e-17+4.99849508e-01j]
 [-1.54412340e-17-4.99849508e-01j  5.12266595e-01+1.38876224e-17j]]",(0.077060154583036+0.42222938582700487j),[1.5953267  4.86830691],0.27790045738220215,"[[ 4.87736042e-01-1.16262621e-17j -2.37945310e-17+4.99849573e-01j]
 [-2.37945310e-17-4.99849573e-01j  5.12263958e-01+1.43887112e-17j]]",(0.07706015458013223+0.4222294505388103j),[1.59532298 6.12838188],0.6732320785522461,"[[4.87737904e-01-2.25020672e-18j 9.03428624e-19+4.99849618e-01j]
 [9.03428624e-19-4.99849618e-01j 5.12262096e-01+2.17522566e-18j]]",(0.07706015458158608+0.42222949622056904j),"  (0, 0)	(0.4877360397712324+0j)
  (0, 1)	(-0.07706015458013228+0.07762012215829193j)
  (1, 0)	(-0.07706015458013228-0.07762012215829193j)
  (1, 1)	(0.5122639602287677+0j)"
[3.14159265 2.20085179],0.004988431930541992,"[[ 3.74939946e-33-5.71194936e-50j -1.89762533e-33+6.12323400e-17j]
 [-1.89762533e-33-6.12323400e-17j  1.00000000e+00+2.35359869e-18j]]",(0.8635112841348312-0.033244550783843446j),[1.38861906 4.95188703],0.07685017585754395,"[[ 5.90585618e-01-2.77049588e-17j -1.73654571e-17+4.91725783e-01j]
 [-1.73654571e-17-4.91725783e-01j  4.09414382e-01+9.53303452e-18j]]",(0.2461066214837714+0.3750810356108743j),[1.38882835 4.9527837 ],0.3981318473815918,"[[5.90482704e-01-2.44912179e-17j 1.29657631e-17+4.91744731e-01j]
 [1.29657631e-17-4.91744731e-01j 4.09517296e-01-1.07200504e-17j]]",(0.2461066345752508+0.3750999632221892j),[1.38861693 4.95188295],0.7182164192199707,"[[5.90586668e-01+5.29868576e-18j 1.65667407e-17+4.91725590e-01j]
 [1.65667407e-17-4.91725590e-01j 4.09413332e-01+1.27496778e-17j]]",(0.24610662148368273+0.3750808422125573j),"  (0, 0)	(0.5905861773139862+0j)
  (0, 1)	(-0.24610662148338866+0.11664474756840265j)
  (1, 0)	(-0.24610662148338866-0.11664474756840265j)
  (1, 1)	(0.40941382268601373+0j)"
[0.70289018 2.90735263],0.12222862243652344,"[[8.81488546e-01-2.77243059e-18j 4.80660861e-19+3.23212762e-01j]
 [4.80660861e-19-3.23212762e-01j 1.18511454e-01-1.22246357e-19j]]",(0.07501891935305083-0.6144065447478357j),[0.70289147 2.9073633 ],0.029919862747192383,"[[8.81488127e-01-1.82134098e-18j 5.46428810e-18+3.23213256e-01j]
 [5.46428810e-18-3.23213256e-01j 1.18511873e-01+1.39526437e-19j]]",(0.07501891935304386-0.6144070385518499j),[0.64525714 2.88944999],0.4633364677429199,"[[ 8.99472574e-01+4.36316833e-18j -3.34387874e-18+3.00701950e-01j]
 [-3.34387874e-18-3.00701950e-01j  1.00527426e-01+5.22216412e-19j]]",(0.07508717292374636-0.5913577049276239j),[0.64526058 2.88944914],0.25534510612487793,"[[ 8.99471540e-01-7.29249833e-19j -6.77387122e-18+3.00703324e-01j]
 [-6.77387122e-18-3.00703324e-01j  1.00528460e-01+5.93286602e-19j]]",(0.07508716475129802-0.5913591419405549j),"  (0, 0)	(0.8814882933343486+0j)
  (0, 1)	(0.07501891935303842-0.29119378285111597j)
  (1, 0)	(0.07501891935303842+0.29119378285111597j)
  (1, 1)	(0.11851170666565136+0j)"
[2.05822017 2.02295861],0.1172637939453125,"[[2.65824349e-01-3.02327252e-18j 2.20313832e-17+4.41771167e-01j]
 [2.20313832e-17-4.41771167e-01j 7.34175651e-01+1.03540748e-17j]]",(0.259750189417852-0.6236265127346727j),[1.86216644 2.57963097],0.03549003601074219,"[[3.56367572e-01+2.43434992e-18j 2.11607385e-17+4.78925595e-01j]
 [2.11607385e-17-4.78925595e-01j 6.43632428e-01+4.89583379e-19j]]",(0.25518376582997915-0.6719405171880728j),[1.86217446 1.98560788],0.4359283447265625,"[[ 3.56363729e-01-2.32380999e-19j -1.78738148e-17+4.78924443e-01j]
 [-1.78738148e-17-4.78924443e-01j  6.43636271e-01-1.48996926e-17j]]",(0.25518376582268165-0.6719393645639303j),[1.86217223 1.98560649],0.6980650424957275,"[[3.56364797e-01-6.20989170e-18j 5.50020836e-18+4.78924763e-01j]
 [5.50020836e-18-4.78924763e-01j 6.43635203e-01-1.28303727e-17j]]",(0.25518376582324565-0.6719396849191207j),"  (0, 0)	(0.3563637286080533+0j)
  (0, 1)	(0.2551837658226817-0.19301492204940923j)
  (1, 0)	(0.2551837658226817+0.19301492204940923j)
  (1, 1)	(0.6436362713919467+0j)"
[3.14159265 2.20085179],0.004987001419067383,"[[3.74939946e-33-7.77699354e-50j 2.70977515e-34+6.12323400e-17j]
 [2.70977515e-34-6.12323400e-17j 1.00000000e+00+2.29512558e-17j]]",(1.3170191728824607+1.622898859581721e-17j),[6.52162199e-05 4.71239284e+00],0.030919790267944336,"[[9.99999999e-01-1.14455873e-17j 2.85049035e-22+3.26081099e-05j]
 [2.85049035e-22-3.26081099e-05j 1.06328883e-09-4.48723664e-26j]]",(0.09719438251700797-8.093252694228114e-18j),[0.         1.49051148],0.2599680423736572,"[[1.+1.46136754e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.09719438949063423+1.0333428953879961e-17j),[8.86719124e-06 3.14159265e+00],0.6789140701293945,"[[1.00000000e+00+1.08698824e-33j 2.81425972e-38+4.43359562e-06j]
 [2.81425972e-38-4.43359562e-06j 1.96567701e-11-7.87798191e-44j]]",(0.09719438936171447+7.686167583651937e-34j),"  (0, 0)	(0.931273188097886+0j)
  (1, 1)	(0.06872681190211391+0j)"
[3.14159265 2.20085178],0.0049517154693603516,"[[3.74939946e-33-6.93739317e-50j 8.13568801e-34+6.12323400e-17j]
 [8.13568801e-34-6.12323400e-17j 1.00000000e+00-1.33521449e-17j]]",(0.5133189859482085-9.441392234123221e-18j),[1.84839359 4.71239288],0.017951250076293945,"[[3.62977157e-01-3.40906160e-18j 4.10716528e-17+4.80858337e-01j]
 [4.10716528e-17-4.80858337e-01j 6.37022843e-01+2.62534685e-17j]]",(2.944408117321516e-17+0.48085833717469034j),[3.14158893 4.66960944],0.29187917709350586,"[[3.46996531e-12-5.81568871e-29j 5.91702300e-23+1.86278429e-06j]
 [5.91702300e-23-1.86278429e-06j 1.00000000e+00-4.38973369e-18j]]",(0.5133189859399212-3.1040104617762044e-18j),[3.14156605 3.14159265],0.6649389266967773,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.5133189855256979+2.696191580919838e-33j),"  (0, 0)	(0.3629713358757803+0j)
  (1, 1)	(0.6370286641242197+0j)"
[3.14159265 2.20085178],0.00498652458190918,"[[3.74939946e-33-4.07220990e-50j 7.52976618e-34+6.12323400e-17j]
 [7.52976618e-34-6.12323400e-17j 1.00000000e+00+3.26787373e-18j]]",(0.3605972730176679+2.3107356710489107e-18j),[3.14159265 4.71250214],0.054818153381347656,"[[9.59175995e-19-9.17678397e-36j 2.72911629e-27+9.79375309e-10j]
 [2.72911629e-27-9.79375309e-10j 1.00000000e+00+1.46361085e-17j]]",(0.3605972730176681+1.0349291536982628e-17j),[3.14159265 3.33335075],0.24688363075256348,"[[3.74939946e-33-4.52474678e-51j 3.41516447e-34+6.12323400e-17j]
 [3.41516447e-34-6.12323400e-17j 1.00000000e+00+2.21181883e-18j]]",(0.3605972730176679+1.5639920964090547e-18j),[3.14156605 3.14159265],0.6594681739807129,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.3605972725221755+2.696191582706015e-33j),"  (0, 0)	(0.25498077702816985+0j)
  (1, 1)	(0.7450192229718301+0j)"
[2.50797356 3.79456726],0.06438827514648438,"[[9.70549757e-02-6.08793766e-19j 1.12711003e-17+2.96032612e-01j]
 [1.12711003e-17-2.96032612e-01j 9.02945024e-01+1.13750847e-17j]]",(0.6614871207473658+0.18528303607648844j),[1.2466467  3.65007638],0.035860538482666016,"[[ 6.59251405e-01+2.53728831e-18j -9.98658444e-18+4.73960958e-01j]
 [-9.98658444e-18-4.73960958e-01j  3.40748595e-01-6.11484516e-18j]]",(0.23074232108875373+0.709093766910714j),[1.24664627 3.65005855],0.40996360778808594,"[[6.59251609e-01-7.77105967e-18j 4.22233482e-18+4.73960890e-01j]
 [4.22233482e-18-4.73960890e-01j 3.40748391e-01+5.91079990e-18j]]",(0.2307423210887377+0.7090936983026623j),[1.24664728 3.65006105],0.6648643016815186,"[[6.59251130e-01+1.14838878e-17j 2.11025433e-17+4.73961051e-01j]
 [2.11025433e-17-4.73961051e-01j 3.40748870e-01-6.56925802e-18j]]",(0.23074232108883014+0.7090938593374426j),"  (0, 0)	(0.6592516018304238+0j)
  (0, 1)	(-0.2307423210887377-0.23513280868031583j)
  (1, 0)	(-0.2307423210887377+0.23513280868031583j)
  (1, 1)	(0.3407483981695763+0j)"
[2.2550394  0.42926059],0.08035731315612793,"[[1.83956672e-01+3.35272760e-18j 1.19662317e-17+3.87448855e-01j]
 [1.19662317e-17-3.87448855e-01j 8.16043328e-01-7.11241032e-18j]]",(0.8318480138668505-0.014222865946304852j),[1.01633753 0.38908162],0.04687857627868652,"[[7.63241626e-01-8.34902758e-18j 3.26381663e-18+4.25092750e-01j]
 [3.26381663e-18-4.25092750e-01j 2.36758374e-01-1.35117304e-18j]]",(0.16125566639159059-0.11101348966158565j),[1.01633086 0.38908707],0.38211536407470703,"[[ 7.63244462e-01-6.96305830e-19j -3.95310620e-19+4.25090994e-01j]
 [-3.95310620e-19-4.25090994e-01j  2.36755538e-01+3.08721099e-18j]]",(0.16125566635930266-0.11101173353486564j),[1.01633086 0.38908644],0.7012538909912109,"[[7.63244463e-01-1.17729516e-17j 9.15528249e-18+4.25090993e-01j]
 [9.15528249e-18-4.25090993e-01j 2.36755537e-01+2.88443214e-18j]]",(0.1612556663593034-0.1110117327206087j),"  (0, 0)	(0.7632443969224277+0j)
  (0, 1)	(0.16125566635928493+0.31407926064505653j)
  (1, 0)	(0.16125566635928493-0.31407926064505653j)
  (1, 1)	(0.2367556030775722+0j)"
[3.066803  1.2290673],0.045430660247802734,"[[ 1.39772128e-03-5.32241107e-20j -2.19132114e-18+3.73599740e-02j]
 [-2.19132114e-18-3.73599740e-02j  9.98602279e-01-1.73814645e-18j]]",(0.7071352034713307-0.0011350118832600365j),[1.56840522 1.54574494],0.027959346771240234,"[[ 5.01195554e-01-1.99331052e-17j -3.55118960e-17+4.99998571e-01j]
 [-3.55118960e-17-4.99998571e-01j  4.98804446e-01-3.19143667e-18j]]",(0.03231103260574727-0.4874786215904591j),[0.0693657  1.20116306],0.23458456993103027,"[[ 9.98797582e-01-1.75739376e-17j -1.37366664e-18+3.46550424e-02j]
 [-1.37366664e-18-3.46550424e-02j  1.20241777e-03+3.24873577e-20j]]",(0.7040983710127691-0.0010157781292739838j),[1.56838445 1.54574651],0.6754157543182373,"[[ 5.01205937e-01-2.39325440e-17j -1.56465350e-17+4.99998546e-01j]
 [-1.56465350e-17-4.99998546e-01j  4.98794063e-01-1.30204725e-17j]]",(0.032311032597583535-0.4874785967792965j),"  (0, 0)	(0.5012036494927447+0j)
  (0, 1)	(0.03231103259687528+0.012519948924241707j)
  (1, 0)	(0.03231103259687528-0.012519948924241707j)
  (1, 1)	(0.49879635050725524+0j)"
