Nelder-Mead,time,matrix,degree,Powell,time,matrix,degree,differential_evolution,time,matrix,degree,dual_annealing,time,matrix,degree,Density Matrix
[1.14327349 6.21669538],0.08662652969360352,"[[ 7.07308935e-01-1.00210685e-18j -1.30652195e-18+4.54997808e-01j]
 [-1.30652195e-18-4.54997808e-01j  2.92691065e-01-7.10068618e-20j]]",(0.030238795984107045+0.10795123826795562j),[1.03397235 6.19628177],0.061676740646362305,"[[7.55704652e-01-3.31628041e-20j 2.15339207e-19+4.29668629e-01j]
 [2.15339207e-19-4.29668629e-01j 2.44295348e-01+6.29764251e-20j]]",(0.044255036536892674+0.05645440124965653j),[1.1432637  6.21667678],0.33362245559692383,"[[7.07313389e-01+9.28528617e-19j 9.51012611e-19+4.54995779e-01j]
 [9.51012611e-19-4.54995779e-01j 2.92686611e-01-5.76068667e-19j]]",(0.030238795936374473+0.10794920902710521j),[1.03398017 6.196273  ],0.24799871444702148,"[[ 7.55701289e-01+1.59021009e-18j -3.37160545e-19+4.29670631e-01j]
 [-3.37160545e-19-4.29670631e-01j  2.44298711e-01+6.87980355e-19j]]",(0.04425147912622083+0.0564603074059756j),"  (0, 0)	(0.7073133887946206+0j)
  (0, 1)	(-0.03023879593637449+0.34704656988352417j)
  (1, 0)	(-0.03023879593637449-0.34704656988352417j)
  (1, 1)	(0.2926866112053793+0j)"
[1.10534611 0.12738056],0.11398935317993164,"[[ 7.24412583e-01+2.40874832e-19j -5.83331219e-19+4.46809795e-01j]
 [-5.83331219e-19-4.46809795e-01j  2.75587417e-01+8.27743952e-19j]]",(0.05675364533181372-0.09972249728215975j),[1.00283711 0.16207628],0.07028627395629883,"[[ 7.68956395e-01+2.95391342e-18j -5.05006171e-19+4.21500246e-01j]
 [-5.05006171e-19-4.21500246e-01j  2.31043605e-01+3.35722606e-19j]]",(0.07161857385951417-0.05896802843451372j),[1.10534611 0.12736376],0.3462505340576172,"[[7.24412583e-01-9.66170234e-19j 3.03697670e-18+4.46809795e-01j]
 [3.03697670e-18-4.46809795e-01j 2.75587417e-01-9.61051401e-20j]]",(0.056753645331813714-0.09972249730430739j),[1.00284247 0.16207969],0.3391306400299072,"[[7.68954136e-01-2.64639584e-18j 9.70565150e-19+4.21501688e-01j]
 [9.70565150e-19-4.21501688e-01j 2.31045864e-01+7.01354872e-19j]]",(0.07161656709794491-0.058970823115381946j),"  (0, 0)	(0.7244125831144455+0j)
  (0, 1)	(0.056753645331813714+0.3470872972838395j)
  (1, 0)	(0.056753645331813714-0.3470872972838395j)
  (1, 1)	(0.27558741688555466+0j)"
[1.66725286 1.79259158],0.03706073760986328,"[[ 4.51846483e-01-1.19961998e-17j -1.47870968e-17+4.97675837e-01j]
 [-1.47870968e-17-4.97675837e-01j  5.48153517e-01-1.78698550e-17j]]",(0.17757531831023543-0.6071482773300323j),[1.79765699 2.12323693],0.015606403350830078,"[[3.87540132e-01-3.92621501e-18j 1.46506883e-17+4.87188647e-01j]
 [1.46506883e-17-4.87188647e-01j 6.12459868e-01+9.95132012e-18j]]",(0.1794975037152965-0.5902716214576567j),[1.66725588 1.7925774 ],0.15207886695861816,"[[ 4.51844979e-01-1.23375148e-17j -1.80507671e-17+4.97675692e-01j]
 [-1.80507671e-17-4.97675692e-01j  5.48155021e-01-1.53099625e-17j]]",(0.1775753183092314-0.6071481317914974j),[1.79766236 2.12324873],0.10241484642028809,"[[ 3.87537515e-01+8.75884731e-18j -2.03329452e-17+4.87188043e-01j]
 [-2.03329452e-17-4.87188043e-01j  6.12462485e-01+1.91972608e-17j]]",(0.17949766611079707-0.5902704895937303j),"  (0, 0)	(0.45184497907418575+0j)
  (0, 1)	(0.17757531830923132-0.10947244024163419j)
  (1, 0)	(0.17757531830923132+0.10947244024163419j)
  (1, 1)	(0.5481550209258141+0j)"
[0.88711046 4.42489479],0.1256709098815918,"[[ 8.15827387e-01-7.02618731e-18j -4.27702385e-17+3.87624898e-01j]
 [-4.27702385e-17-3.87624898e-01j  1.84172613e-01+5.73062490e-19j]]",(0.32289131824721445+0.4975357122105724j),[0.82385733 4.38430021],0.0577390193939209,"[[ 8.39697934e-01-2.40921654e-17j -5.02627036e-18+3.66885968e-01j]
 [-5.02627036e-18-3.66885968e-01j  1.60302066e-01-6.47545966e-19j]]",(0.32344800370727267+0.47597616831140316j),[0.8871661  4.42490896],0.2929396629333496,"[[ 8.15805819e-01-1.69237953e-17j -9.58739757e-18+3.87642470e-01j]
 [-9.58739757e-18-3.87642470e-01j  1.84194181e-01-1.17619498e-18j]]",(0.3228913178199822+0.4975532850032308j),[0.82386273 4.38429583],0.20022916793823242,"[[ 8.39695954e-01+1.92677431e-17j -2.50089353e-18+3.66887801e-01j]
 [-2.50089353e-18-3.66887801e-01j  1.60304046e-01+6.41398000e-18j]]",(0.32344790837118564+0.47597813867803984j),"  (0, 0)	(0.8158058117124791+0j)
  (0, 1)	(-0.3228913178199821-0.10991081460074285j)
  (1, 0)	(-0.3228913178199821+0.10991081460074285j)
  (1, 1)	(0.18419418828752096+0j)"
[0.80879558 2.92936517],0.03202939033508301,"[[ 8.45185141e-01-4.25714668e-18j -2.10996724e-18+3.61728100e-01j]
 [-2.10996724e-18-3.61728100e-01j  1.54814859e-01-1.22760493e-18j]]",(0.07619046443742802-0.6796659498356951j),[0.75829624 2.90638673],0.033371925354003906,"[[8.63004359e-01-4.21647564e-18j 2.62535440e-18+3.43842748e-01j]
 [2.62535440e-18-3.43842748e-01j 1.36995641e-01-3.35544805e-19j]]",(0.07624519813468547-0.6613055289863293j),[0.80886736 2.92938896],0.3019537925720215,"[[8.45159173e-01-4.62294015e-18j 5.79676632e-18+3.61752879e-01j]
 [5.79676632e-18-3.61752879e-01j 1.54840827e-01-8.65488954e-19j]]",(0.07619046432759076-0.6796907290541037j),[0.75829624 2.90638858],0.15373516082763672,"[[8.63004359e-01-6.86038823e-18j 2.21464980e-18+3.43842748e-01j]
 [2.21464980e-18-3.43842748e-01j 1.36995641e-01+1.54134662e-19j]]",(0.07624519813570697-0.6613055288067672j),"  (0, 0)	(0.8451591730873924+0j)
  (0, 1)	(0.07619046432759083-0.31793785037361233j)
  (1, 0)	(0.07619046432759083+0.31793785037361233j)
  (1, 1)	(0.15484082691260762+0j)"
[1.9856772  1.23578927],0.035666704177856445,"[[2.98459544e-01-1.10085250e-17j 1.14242495e-17+4.57582172e-01j]
 [1.14242495e-17-4.57582172e-01j 7.01540456e-01+8.39873633e-18j]]",(0.31252790625656496-0.307156574414593j),[2.09715743 1.12219601],0.027590513229370117,"[[ 2.48804834e-01+3.56845426e-18j -2.73805834e-17+4.32320470e-01j]
 [-2.73805834e-17-4.32320470e-01j  7.51195166e-01-2.23707525e-17j]]",(0.31690317706856197-0.2780029375691068j),[1.98565699 1.23583023],0.1470201015472412,"[[ 2.98468791e-01-5.53007914e-18j -2.32239700e-17+4.57586245e-01j]
 [-2.32239700e-17-4.57586245e-01j  7.01531209e-01+2.53125762e-17j]]",(0.3125279061173795-0.3071606474692364j),[2.09715864 1.12220496],0.06096220016479492,"[[ 2.48804308e-01-2.79735128e-18j -1.79572795e-17+4.32320164e-01j]
 [-1.79572795e-17-4.32320164e-01j  7.51195692e-01+7.74555024e-19j]]",(0.31690327452098954-0.2780025504503413j),"  (0, 0)	(0.298468791129657+0j)
  (0, 1)	(0.3125279061173795+0.15042559779088738j)
  (1, 0)	(0.3125279061173795-0.15042559779088738j)
  (1, 1)	(0.701531208870343+0j)"
[1.57675043 1.49204223],0.028185606002807617,"[[4.97022964e-01+9.16543438e-18j 2.05640199e-17+4.99991137e-01j]
 [2.05640199e-17-4.99991137e-01j 5.02977036e-01-1.68979877e-17j]]",(0.0375714397991963-0.4606544796007409j),[1.62545476 0.76244593],0.023380041122436523,"[[4.72684389e-01+3.23299607e-18j 1.13966329e-17+4.99253300e-01j]
 [1.13966329e-17-4.99253300e-01j 5.27315611e-01+1.00842134e-17j]]",(0.037676397356587774-0.4586354229596285j),[1.57674978 1.49204023],0.15139389038085938,"[[4.97023293e-01-1.18064901e-17j 2.10769695e-17+4.99991139e-01j]
 [2.10769695e-17-4.99991139e-01j 5.02976707e-01+9.24927479e-18j]]",(0.037571439799177285-0.46065448155524846j),[1.62546415 0.76244989],0.15091919898986816,"[[ 4.72679703e-01-1.12611891e-17j -8.62150429e-18+4.99253043e-01j]
 [-8.62150429e-18-4.99253043e-01j  5.27320297e-01-7.60416427e-19j]]",(0.03767643806136119-0.45863467176293615j),"  (0, 0)	(0.4970232927092658+0j)
  (0, 1)	(0.03757143979917735+0.039336657579941856j)
  (1, 0)	(0.03757143979917735-0.039336657579941856j)
  (1, 1)	(0.5029767072907342+0j)"
[1.955238   0.49904725],0.05178952217102051,"[[3.12479190e-01-3.72898690e-18j 1.58664419e-18+4.63503987e-01j]
 [1.58664419e-18-4.63503987e-01j 6.87520810e-01-6.48220115e-18j]]",(0.2218208724398512-0.2027640350754548j),[2.07190534 0.70491425],0.030080318450927734,"[[2.59800752e-01-6.23798147e-18j 1.08027208e-18+4.38525166e-01j]
 [1.08027208e-18-4.38525166e-01j 7.40199248e-01-6.97324206e-18j]]",(0.2295096400009608-0.17182925875944685j),[1.95521314 0.49902424],0.22866439819335938,"[[ 3.12490713e-01-6.35133098e-18j -1.68473586e-17+4.63508648e-01j]
 [-1.68473586e-17-4.63508648e-01j  6.87509287e-01+9.15836750e-18j]]",(0.22182087211379603-0.202768696719948j),[2.07190604 0.70492122],0.18969249725341797,"[[ 2.59800447e-01-6.47570591e-18j -2.14132296e-17+4.38524999e-01j]
 [-2.14132296e-17-4.38524999e-01j  7.40199553e-01-9.13842517e-18j]]",(0.22950973517625153-0.17182902608688266j),"  (0, 0)	(0.3124907125384955+0j)
  (0, 1)	(0.22182087211379597+0.2607399516520957j)
  (1, 0)	(0.22182087211379597-0.2607399516520957j)
  (1, 1)	(0.6875092874615044+0j)"
[1.76429674 4.71239284],0.030169248580932617,"[[4.03852425e-01+6.03947815e-18j 8.40994293e-18+4.90668568e-01j]
 [8.40994293e-18-4.90668568e-01j 5.96147575e-01+1.98733615e-17j]]",(3.0044784544736506e-17+0.49066856771527684j),[3.14159261 4.12456366],0.07004547119140625,"[[4.14118224e-16-3.55782222e-33j 2.94394565e-25+2.03498949e-08j]
 [2.94394565e-25-2.03498949e-08j 1.00000000e+00+2.22712995e-18j]]",(0.571154754315934+1.5748186881726562e-18j),[1.76426622 4.71238898],0.23375463485717773,"[[ 4.03867400e-01+1.15867051e-17j -2.06662658e-17+4.90671502e-01j]
 [-2.06662658e-17-4.90671502e-01j  5.96132600e-01+1.58494407e-17j]]",(3.0044964237819964e-17-0.49067150232603296j),[3.14159263 4.40069966],0.10007381439208984,"[[1.72358711e-16-5.94468085e-33j 8.96732143e-25+1.31285456e-08j]
 [8.96732143e-25-1.31285456e-08j 1.00000000e+00+8.09935296e-18j]]",(0.5711547543159344+5.7271074016199065e-18j),"  (0, 0)	(0.4038673998837341+0j)
  (1, 1)	(0.5961326001162658+0j)"
[1.56149249 1.66950427],0.03133058547973633,"[[ 5.04651849e-01+6.05715589e-18j -3.59670353e-18+4.99978360e-01j]
 [-3.59670353e-18-4.99978360e-01j  4.95348151e-01-5.54629321e-18j]]",(0.04661822003745721-0.549246075846593j),[1.50245043 2.38381687],0.014316558837890625,"[[5.34146349e-01+1.05758408e-17j 2.49192634e-17+4.98832664e-01j]
 [2.49192634e-17-4.98832664e-01j 4.65853651e-01+2.36628014e-18j]]",(0.04675289532863185-0.5465215351038049j),[1.56150881 1.66949618],0.15891313552856445,"[[ 5.04643694e-01+6.78575871e-18j -1.56443734e-17+4.99978436e-01j]
 [-1.56443734e-17-4.99978436e-01j  4.95356306e-01+9.56457789e-18j]]",(0.046618220027253306-0.5492461517768557j),[1.50243967 2.3838192 ],0.12273049354553223,"[[ 5.34151715e-01-9.20386551e-19j -2.68747873e-17+4.98832297e-01j]
 [-2.68747873e-17-4.98832297e-01j  4.65848285e-01-8.47830261e-18j]]",(0.0467529447127715-0.5465205915449022j),"  (0, 0)	(0.5046436940812665+0j)
  (0, 1)	(0.04661822002725323-0.04926771613659762j)
  (1, 0)	(0.04661822002725323+0.04926771613659762j)
  (1, 1)	(0.4953563059187335+0j)"
