differential_evolution,fun,time,3
[1.50557224 4.87533851],0.6753771535520428,0.37291979789733887,(0.9086959712053667-0.0975771968352294j)
[1.31532121 4.75205407],0.35341588781786565,0.43379688262939453,(1.1322685275814726-0.2311666414747443j)
[3.14159265 2.39247999],0.8683436517380284,0.26065707206726074,(0.20992779595516117+0.540000157012062j)
[0.       3.860172],0.13497789864287102,0.26987791061401367,(1.6864250341165452-0.6578583477502997j)
[0.         4.73867736],0.48503350580906557,0.21535921096801758,(0.7454311157899691-0.9805671292969355j)
[2.87640953e-06 1.96397829e+00],0.6961606439364941,0.24459028244018555,(1.0680089154864163+0.8951902040624058j)
[0.         4.57880134],0.36947233644421495,0.3181345462799072,(0.957096838722618-0.9821411392535332j)
[6.90478789e-06 1.44872901e+00],0.8814243963564312,0.2951676845550537,(0.47741149782265746+0.9096379635227615j)
[3.14159079 4.90133206],0.7327749399005624,0.2817802429199219,(0.855978658511911+0.9425651898124385j)
[9.46494207e-06 5.82429818e+00],0.3932817353384615,0.3114752769470215,(0.1033359370368863+0.3994193720105948j)
