differential_evolution,fun,time,3,4
[3.14159265 2.84623423],0.9526407054370873,0.3188455104827881,"[[-3.58704248e-33-1.09138560e-33j -1.78236794e-17+5.85808493e-17j]
 [-1.78236794e-17+5.85808493e-17j  9.56697872e-01+2.91082775e-01j]]",(0.610185670847793+0.2065668735842754j)
[3.14159265 2.67443241],0.6879519044206569,0.2404499053955078,"[[-3.34765423e-33-1.68855188e-33j -2.75761450e-17+5.46713424e-17j]
 [-2.75761450e-17+5.46713424e-17j  8.92850779e-01+4.50352624e-01j]]",(0.30560079104729254+0.34900282684044914j)
[1.93176425 2.98444282],0.26414091094793074,0.3589823246002197,"[[-0.31942476-0.0506149j  -0.07320899+0.46201345j]
 [-0.07320899+0.46201345j  0.6682526 +0.1058889j ]]",(0.20899693436526223-0.4958922649754595j)
[9.68823929e-06 3.79031777e+00],0.19649561134202673,0.38059496879577637,"[[-7.96854693e-01+6.04171001e-01j  2.92667661e-06+3.86005947e-06j]
 [ 2.92667661e-06+3.86005947e-06j  1.86985899e-11-1.41771717e-11j]]",(1.7011345283036166-0.6032757000318186j)
[3.14159265 3.20050523],0.36946827940009663,0.26540684700012207,"[[-3.74289483e-33+2.20759037e-34j  3.60526868e-18+6.11261114e-17j]
 [ 3.60526868e-18+6.11261114e-17j  9.98265156e-01-5.88785057e-02j]]",(0.25672976849510615-0.04196913014754197j)
[3.14158565 4.78465956],0.31997754622365765,0.33405327796936035,"[[ 8.84745297e-13+1.22208016e-11j  3.49126061e-06-2.52755630e-07j]
 [ 3.49126061e-06-2.52755630e-07j -7.22076836e-02-9.97389618e-01j]]",(0.9186389727266623+0.9904232588313752j)
[3.14158756 6.22998255],0.029063356960243144,0.2908823490142822,"[[ 6.47611316e-12+3.44872550e-13j  1.35423473e-07-2.54301984e-06j]
 [ 1.35423473e-07-2.54301984e-06j -9.98585067e-01-5.31776653e-02j]]",(1.9841092250310342+0.053176240610055714j)
[1.09902973 2.8343021 ],0.19845886839030902,0.48604702949523926,"[[-0.69316438-0.2199706j  -0.13471834+0.42452015j]
 [-0.13471834+0.42452015j  0.25999223+0.08250662j]]",(1.240988552309679+0.06658261096018243j)
[4.39753758e-06 3.51448019e+00],0.9833877633993198,0.23697590827941895,"[[-9.31279283e-01+3.64306048e-01j  8.01024768e-07+2.04766782e-06j]
 [ 8.01024768e-07+2.04766782e-06j  4.50234809e-12-1.76126826e-12j]]",(1.5169015649742401-0.34573812735103165j)
[3.14159265 2.92497212],0.7908966698351333,0.3788309097290039,"[[-3.66177365e-33-8.05859805e-34j -1.31606894e-17+5.98013019e-17j]
 [-1.31606894e-17+5.98013019e-17j  9.76629375e-01+2.14930368e-01j]]",(0.5216582956417218+0.1533011165385775j)
