differential_evolution,time,matrix,degree
[1.9670172  0.10740629],0.30019354820251465,"[[ 3.07032620e-01-4.74673159e-19j -5.30792864e-19+4.61263038e-01j]
 [-5.30792864e-19-4.61263038e-01j  6.92967380e-01+1.38155086e-18j]]",(0.049447352648863-0.12060262208104876j)
[2.42229831 4.27110814],0.38588809967041016,"[[1.23864580e-01+1.74812809e-18j 1.52437897e-17+3.29426997e-01j]
 [1.52437897e-17-3.29426997e-01j 8.76135420e-01+1.85025576e-17j]]",(0.29897662186983714+0.46820347619882446j)
[3.14159265 2.5882752 ],0.18546748161315918,"[[ 3.74939946e-33+2.40296252e-50j -2.85241338e-34+6.12323400e-17j]
 [-2.85241338e-34-6.12323400e-17j  1.00000000e+00-2.08636346e-17j]]",(0.5393381904159459-1.4752817503695623e-17j)
[2.01369036 1.42939104],0.28289008140563965,"[[ 2.85721973e-01-6.95544683e-18j -3.07417540e-18+4.51757598e-01j]
 [-3.07417540e-18-4.51757598e-01j  7.14278027e-01+1.37385649e-17j]]",(0.3440845796520676-0.38808905390453047j)
[3.14159265 2.95119426],0.1815502643585205,"[[ 3.74939946e-33+2.05287069e-50j -1.78398517e-34+6.12323400e-17j]
 [-1.78398517e-34-6.12323400e-17j  1.00000000e+00+1.80667331e-18j]]",(0.41069922705706535+1.277510951923053e-18j)
[2.21811109e-06 3.06659785e+00],0.29311656951904297,"[[1.00000000e+00+7.89792339e-19j 2.54224911e-24+1.10905554e-06j]
 [2.54224911e-24-1.10905554e-06j 1.23000420e-12-5.15543307e-31j]]",(0.02862020150060077+5.584675188574162e-19j)
[3.14159265 3.44311019],0.24956870079040527,"[[ 3.74939946e-33+2.80326057e-50j -7.33211107e-34+6.12323400e-17j]
 [-7.33211107e-34-6.12323400e-17j  1.00000000e+00+8.66725746e-18j]]",(0.10936741004571242+6.128676526467294e-18j)
[3.14158532 3.21979019],0.2690262794494629,"[[ 1.34541180e-11-1.82174693e-29j -6.01915788e-24+3.66798556e-06j]
 [-6.01915788e-24-3.66798556e-06j  1.00000000e+00-1.35906133e-18j]]",(0.11553860877381765-9.610014798255238e-19j)
[1.12329698 3.43675029],0.3612825870513916,"[[ 7.16356235e-01+2.59150759e-19j -7.77255132e-18+4.50765992e-01j]
 [-7.77255132e-18-4.50765992e-01j  2.83643765e-01+9.38475783e-19j]]",(0.13118762401782735+0.7756252970683051j)
[3.14159265 5.78360201],0.22764205932617188,"[[ 3.74939946e-33+3.15653513e-50j -7.45710253e-34+6.12323400e-17j]
 [-7.45710253e-34-6.12323400e-17j  1.00000000e+00-4.95474845e-18j]]",(0.4275155362396055-3.50353623011872e-18j)
