dual_annealing,fun,time
[1.57079633 1.57079632],3.4451681509819397e-09,6.019817352294922
[1.57079632 1.57079632],1.4456888013072781e-08,4.695247173309326
[1.57079632 1.57079633],6.361467681208427e-09,5.495935678482056
[1.57079632 1.57079633],7.671872556082695e-09,5.909219264984131
[1.57079632 1.57079633],7.47598461013846e-09,7.7303242683410645
[1.57079632 1.57079631],3.065317780169714e-08,7.145951509475708
[1.57079632 1.57079632],1.0097114477888363e-08,6.218937158584595
[1.57079632 1.57079633],4.209012447190104e-09,6.764663457870483
[1.57079632 1.57079633],7.914944262074547e-09,6.836853504180908
[1.57079633 1.57079632],2.9101214221288382e-09,3.637786865234375
