dual_annealing,fun,time,3,4
[3.14159265 3.2922063 ],0.9526407054370875,1.891819953918457,"[[-3.70695322e-33+5.62578121e-34j  9.18759796e-18+6.05391402e-17j]
 [ 9.18759796e-18+6.05391402e-17j  9.88679189e-01-1.50044861e-01j]]",(0.6571637315891693-0.10616957153642789j)
[3.14159265 3.9619343 ],0.6879519044206572,1.78128981590271,"[[-2.55698310e-33+2.74223152e-33j  4.47840393e-17+4.17587030e-17j]
 [ 4.47840393e-17+4.17587030e-17j  6.81971374e-01-7.31378866e-01j]]",(0.02939532341559934-0.6455899710194709j)
[1.93176425 2.98444409],0.26414224870776876,2.0420289039611816,"[[-0.31942482-0.05061449j -0.0732084 +0.46201354j]
 [-0.0732084 +0.46201354j  0.66825273+0.10588806j]]",(0.20899638214905367-0.495892246880224j)
[0.         6.28318531],0.19648203791678842,1.8029286861419678,"[[1.+2.4492936e-16j 0.+0.0000000e+00j]
 [0.+0.0000000e+00j 0.+0.0000000e+00j]]",(0.13893378139231344+1.731912112470987e-16j)
[3.14159265 1.75828404],0.3694682794000967,1.8392143249511719,"[[-6.98855151e-34-3.68369349e-33j -6.01592802e-17+1.14131707e-17j]
 [-6.01592802e-17+1.14131707e-17j  1.86391223e-01+9.82475604e-01j]]",(0.6368517344729367-0.9701692800989166j)
[3.14159265 5.13238937],0.3199700582156924,1.8034052848815918,"[[ 1.52885815e-33+3.42353458e-33j  5.59105627e-17-2.49681484e-17j]
 [ 5.59105627e-17-2.49681484e-17j -4.07760808e-01-9.13088782e-01j]]",(1.254462231792502+0.9082218953773792j)
[3.14159265 0.78752512],0.029058000086595044,1.8361155986785889,"[[ 2.64558074e-33-2.65685883e-33j -4.33897975e-17-4.32056123e-17j]
 [-4.33897975e-17-4.32056123e-17j -7.05601195e-01+7.08609168e-01j]]",(1.6911252865137556-0.7085869219947525j)
[1.09902975 2.8343021 ],0.19845887556084923,1.8216347694396973,"[[-0.69316437-0.2199706j  -0.13471834+0.42452015j]
 [-0.13471834+0.42452015j  0.25999224+0.08250662j]]",(1.2409885430753016+0.06658260526309044j)
[0.         6.28318531],0.9833820660238108,1.8186125755310059,"[[1.+2.4492936e-16j 0.+0.0000000e+00j]
 [0.+0.0000000e+00j 0.+0.0000000e+00j]]",(0.6953561273826739+1.731912112470987e-16j)
[3.14159265 3.54632693],0.7908966698351335,2.0606977939605713,"[[-3.44647447e-33+1.47641796e-33j  2.41117351e-17+5.62851995e-17j]
 [ 2.41117351e-17+5.62851995e-17j  9.19207066e-01-3.93774517e-01j]]",(0.4287629084599265-0.28897853808962115j)
