dual_annealing,time,matrix,degree
[2.17063666 3.60207039],2.1177573204040527,"[[ 2.17744657e-01-2.06860563e-18j -2.30535866e-19+4.12712880e-01j]
 [-2.30535866e-19-4.12712880e-01j  7.82255343e-01-3.41329236e-19j]]",(0.1833997523247438+0.7115208569162347j)
[0.         4.67905466],1.9168834686279297,"[[1.+1.64530867e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.19915508461635995+1.1634089146062442e-17j)
[3.14159265 3.09041068],1.8209645748138428,"[[ 3.74939946e-33+4.49574001e-51j -1.69027588e-34+6.12323400e-17j]
 [-1.69027588e-34-6.12323400e-17j  1.00000000e+00+1.03009071e-18j]]",(0.17288379303731272+7.283841261264497e-19j)
[1.55967036 3.23008113],2.229518413543701,"[[5.05562869e-01+1.03013954e-18j 6.75347941e-19+4.99969054e-01j]
 [6.75347941e-19-4.99969054e-01j 4.94437131e-01-4.13094681e-19j]]",(0.04418378657610264+0.5595405914781766j)
[1.57449869 0.01341817],2.3569905757904053,"[[4.98148823e-01-1.54405820e-19j 4.39561213e-19+4.99996573e-01j]
 [4.39561213e-19-4.99996573e-01j 5.01851177e-01-1.01781884e-19j]]",(0.0067088404663694185-0.45757817720721033j)
[0.55783975 5.07494763],1.9218382835388184,"[[9.24200314e-01-1.04911208e-17j 1.54335208e-17+2.64677338e-01j]
 [1.54335208e-17-2.64677338e-01j 7.57996858e-02-9.55030334e-19j]]",(0.24766676038985702+0.1706718127737778j)
[3.14159265 4.9569338 ],1.8992533683776855,"[[3.74939946e-33+3.95055208e-50j 3.02705828e-33+6.12323400e-17j]
 [3.02705828e-33-6.12323400e-17j 1.00000000e+00-5.47142117e-18j]]",(0.6717249090161421-3.868879012215745e-18j)
[1.3157871  0.13715883],1.9734528064727783,"[[6.26127169e-01+1.72692849e-18j 1.39471457e-18+4.83830484e-01j]
 [1.39471457e-18-4.83830484e-01j 3.73872831e-01-1.04776845e-18j]]",(0.06615372054673324-0.18393929040398296j)
[0.53046575 3.9901007 ],2.0189335346221924,"[[ 9.31285762e-01-1.17268127e-17j -1.12782359e-17+2.52967570e-01j]
 [-1.12782359e-17-2.52967570e-01j  6.87142382e-02+9.46776582e-19j]]",(0.18983956252026216+0.4201183073182229j)
[3.14159265 1.65789622],1.785376787185669,"[[ 3.74939946e-33+1.68357495e-49j -5.92916815e-33+6.12323400e-17j]
 [-5.92916815e-33-6.12323400e-17j  1.00000000e+00+2.36360335e-17j]]",(0.004609720673804963+1.6713199593310737e-17j)
