direct,time,matrix,degree
[3.14159167 3.14159265],0.1569380760192871,"[[ 2.42676175e-13-1.18777887e-45j -1.29632871e-39+4.92621736e-07j]
 [-1.29632871e-39-4.92621736e-07j  1.00000000e+00-2.16502499e-33j]]",(0.0035174315112905014-1.5309038690863512e-33j)
[1.2711562  3.04879454],0.6969492435455322,"[[6.47588194e-01-1.46012375e-18j 1.77987246e-18+4.77721389e-01j]
 [1.77987246e-18-4.77721389e-01j 3.52411806e-01-5.20862276e-19j]]",(0.04426989865940482-0.7971962567664028j)
[1.80254924 1.38280301],0.6846210956573486,"[[3.85158039e-01+7.55424921e-19j 8.65276426e-18+4.86632638e-01j]
 [8.65276426e-18-4.86632638e-01j 6.14841961e-01+2.42702589e-17j]]",(0.2831844383440579-0.3956878706600738j)
[1.56333015 4.63163547],0.7045435905456543,"[[ 5.03733053e-01+2.08542579e-17j -4.39349292e-17+4.99986064e-01j]
 [-4.39349292e-17-4.99986064e-01j  4.96266947e-01-8.48865986e-18j]]",(0.04556704973008824+0.5403142213179928j)
[3.14158379 3.14159265],0.7347860336303711,"[[1.96567701e-11+7.24679436e-44j 1.36098399e-38+4.43359562e-06j]
 [1.36098399e-38-4.43359562e-06j 1.00000000e+00-1.08698824e-33j]]",(0.10038649293886552-7.686167564258541e-34j)
[3.14151285 3.14159265],0.8522350788116455,"[[ 1.59219838e-09-4.91702631e-42j -1.48546158e-37+3.99023605e-05j]
 [-1.48546158e-37-3.99023605e-05j  9.99999998e-01-2.69543420e-33j]]",(0.692920681430621-1.9059598062808792e-33j)
[3.14159167 3.14159265],0.4308314323425293,"[[ 2.42676175e-13-1.18777887e-45j -1.29632871e-39+4.92621736e-07j]
 [-1.29632871e-39-4.92621736e-07j  1.00000000e+00-2.16502499e-33j]]",(0.018956055219266927-1.5309038544415244e-33j)
[1.41985309 2.98798926],0.7410836219787598,"[[5.75185358e-01+1.26418794e-18j 6.74976278e-18+4.94314841e-01j]
 [6.74976278e-18-4.94314841e-01j 4.24814642e-01+7.77634906e-19j]]",(0.07562911624836822-0.7354779576442427j)
[1.69195172 0.13669071],0.853370189666748,"[[4.39570396e-01-5.52529355e-19j 5.54858084e-18+4.96334829e-01j]
 [5.54858084e-18-4.96334829e-01j 5.60429604e-01-2.69965648e-18j]]",(0.0676348547264753-0.2759885542868139j)
[3.14156605 3.14159265],0.7818117141723633,"[[1.76910931e-10-6.30044713e-43j 7.81070160e-38+1.33007869e-05j]
 [7.81070160e-38-1.33007869e-05j 1.00000000e+00+3.81299070e-33j]]",(0.40814915408588986+2.696191581967879e-33j)
