nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
1,3,1,0,0,0,2.7153644149524876,[-0.11410815  0.16307535],[-0.04116148  0.1456249 ],"[array([2.25801336, 5.34805682])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([ 0.07294667, -0.01745045])]",tr_interior_point,[2.25801336 5.34805682],0.1456249024355221,0.0,0.005692720413208008,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,2.7153644149524876,[-0.11410815  0.16307535],[-0.04116148  0.1456249 ],"[array([2.25801336, 5.34805682])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([ 0.07294667, -0.01745045])]",tr_interior_point,[2.25801336 5.34805682],0.1456249024355221,0.0,0.00449371337890625,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
34,114,38,0,26,4,2.4135478353016593,[0.04339104 0.72846933],[0.01615197 0.50228303],"[array([2.32550749, 4.71238911])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02723907, -0.2261863 ])]",tr_interior_point,[2.32550749 4.71238911],0.5022830301643677,0.0,0.20639276504516602,0.1,1.0,2.048000000000001e-09,2.048000000000001e-09,2,34,True,`xtol` termination condition is satisfied.
49,180,60,0,50,4,2.413564674427996,[0.0428363  0.32180387],[0.01593727 0.22188529],"[array([2.32589999, 4.71238896])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02689903, -0.09991858])]",tr_interior_point,[2.32589999 4.71238896],0.22188529046815825,0.0,0.2868235111236572,0.010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,49,True,`xtol` termination condition is satisfied.
64,234,78,0,86,1,2.4135654004355613,[0.04281202 0.7281887 ],[0.01592787 0.50208955],"[array([2.32591717, 4.71238899])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02688415, -0.22609915])]",tr_interior_point,[2.32591717 4.71238899],0.5020895500878386,0.0,0.3818700313568115,0.0010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,64,True,`xtol` termination condition is satisfied.
61,228,76,0,78,4,2.413565400029013,[0.04281206 0.72818872],[0.01592789 0.50208957],"[array([2.32591715, 4.71238899])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02688417, -0.22609915])]",tr_interior_point,[2.32591715 4.71238899],0.5020895674067251,0.0,0.34425973892211914,0.0010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,61,True,`xtol` termination condition is satisfied.
77,276,92,0,92,4,2.41356480414719,[0.04283225 0.11766633],[0.0159357  0.08113149],"[array([2.32590286, 4.71238895])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02689655, -0.03653484])]",tr_interior_point,[2.32590286 4.71238895],0.08113149439646551,0.0,0.3974165916442871,0.00010000000000000003,1.0,2.048000000000001e-09,2.048000000000001e-09,2,77,True,`xtol` termination condition is satisfied.
79,279,93,0,105,4,2.4135653847235843,[0.04281241 0.71486142],[0.01592802 0.49290033],"[array([2.3259169 , 4.71238898])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02688439, -0.22196109])]",tr_interior_point,[2.3259169  4.71238898],0.4929003329807795,0.0,0.41117119789123535,0.00010000000000000003,1.0,2.048000000000001e-09,2.048000000000001e-09,2,79,True,`xtol` termination condition is satisfied.
93,348,116,0,137,1,2.4135651449593545,[0.04282058 0.48828555],[0.01593118 0.3366752 ],"[array([2.32591112, 4.71238897])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02688939, -0.15161035])]",tr_interior_point,[2.32591112 4.71238897],0.3366751980643403,0.0,0.4942433834075928,1.0000000000000004e-05,1.0,2.048000000000001e-09,2.048000000000001e-09,2,93,True,`xtol` termination condition is satisfied.
109,402,134,0,160,1,2.4135651428789417,[0.04282056 0.56210873],[0.01593118 0.38757663],"[array([2.32591113, 4.71238897])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.02688939, -0.1745321 ])]",tr_interior_point,[2.32591113 4.71238897],0.3875766313560554,0.0,0.5702667236328125,1.0000000000000004e-06,1.0,2.048000000000001e-09,2.048000000000001e-09,2,109,True,`xtol` termination condition is satisfied.
