Case,Theta,Phi,timeErr,init,trace,cost
Case1,2.3071071049800045,0.39269908169872414,1.3867186322486198,"[(0.6455494716563377-6.938893903907228e-18j), (0.11545989659785233+0j), (-0.7549403234175773-7.33015236761281e-19j)]","[(0.7248853567890128+0j), (0.1534594072634387+0j), (-0.6715589548470184+9.148871524577273e-18j)]",0.11223443440561898
Case2,2.6261751088602177,5.056000676871073,3.607922813107028,"[(0.3835192484449829-2.7755575615628914e-17j), (0.4093888134496738+0j), (-0.827836810908082+3.5187547633379256e-18j)]","[(0.339873287970041+0j), (0.3569800779144724+0j), (-0.8700869911087113+7.534378492326643e-20j)]",0.03631131692851708
Case3,1.5707963267948966,1.1780972450961724,1.2885438618239387,"[(0.7804794014977154+0j), (0.6245902649810592+0j), (0.027182802075178536+1.359682773280994e-17j)]","[(0.6248594881423866+5.551115123125783e-17j), (0.7807372285720946+0j), 0j]",0.13587830025446035
Case4,1.718058482431918,4.123340357836604,2.8961557275280905,"[(0.5308566978252747+0j), (-0.8208312379768585+0j), (-0.21077771498766895-1.4857993125796275e-17j)]","[(0.6642903431911698+0j), (-0.7329314482330958+0j), (-0.14673047445536164+7.13113909895296e-18j)]",0.20416019081206654
Case5,2.1353012567368124,1.030835089459151,1.5830681730979816,"[(0.5517553348260578+0j), (0.658370806844237+0j), (-0.5119706350819873-1.9994298580699678e-18j)]","[(0.4254161987307477+0j), (0.7299305477732949+0j), (-0.534997619887097+3.945927518391264e-18j)]",0.0355448965176306
Case6,2.454369260617026,1.9634954084936207,2.2089323345553233,"[(-0.7027568716187093+0j), (0.26572045530572014+0j), (-0.6599434968425748-4.801771505116474e-18j)]","[(-0.5441372698191912+0j), (0.3261433282862805+0j), (-0.7730104533627371-2.877958371874295e-17j)]",0.01882219078219599
Case7,1.7426021750380885,0.6381360077604268,1.227184630308513,"[(0.9281664726565747+0j), (0.31982426976350087+0j), (-0.19031404442787514+5.3063790085997294e-18j)]","[(0.9428519178971128+0j), (0.2860110024269114+0j), (-0.17096188876030127+9.213878729414426e-18j)]",0.06058692577548516
Case8,1.9144080232812801,1.6689710972195777,1.7794177213979243,"[(-0.34548306992253514+5.551115123125783e-17j), (0.8978725751892702+0j), (-0.2728851170728972-6.851947034428818e-18j)]","[(-0.284351915918973+0j), (0.8975796424800297+0j), (-0.33688985339221994+2.3110411291769942e-18j)]",0.11130808735366815
Case9,0.4663301595172349,0.8344855486097889,0.6504078615140925,"[(0.4879869497039503+6.938893903907228e-18j), (-0.04505159392683518+0j), (0.8716874960691392-1.860922147130914e-18j)]","[(0.4479534386025627+3.469446951953614e-18j), (-0.03857544034646199+0j), (0.8932243011955154-8.596918333989404e-18j)]",0.05082742719352634
Case10,1.4726215563702154,5.890486225480862,3.6815538909255388,"[(-0.1145796788917491+0j), (0.9882965643314329-1.3877787807814457e-17j), (0.10070450891469385-9.400287710666596e-18j)]","[(-0.14602392711534007+0j), (0.9844133546998582+0j), (0.09801714032956088-2.4594117630162937e-18j)]",0.021480116910055677
Case11,2.3071071049800045,2.061670178918302,2.172116795646068,"[(-0.7247394236814809+2.7755575615628914e-17j), (0.3088520250246163+0j), (-0.6159246661727621-2.033699806388584e-18j)]","[(-0.6576975756471435-2.7755575615628914e-17j), (0.3412366761540302+0j), (-0.6715589548470186+2.792330399287998e-17j)]",0.0647329434816788
