Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19,20
Case1,1.2026409377023426,2.5034566458293663,1.853048799216435,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),(-0.879952855447503+5.5621177706946096e-18j),(0.3338707629234227-2.1103727228969997e-18j),(0.3379545618196588+1.6567295720340623e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),0.030884033503825625,0.03616142525272714,1.2026409377023426,4.356505445045801,0.9998825000196135
Case1,1.2026409377023426,2.5034566458293663,1.853048799216435,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),(-0.8776336922652997+5.647652874610476e-18j),(0.3368723420533682-2.1678042533482758e-18j),(0.3409928552920957+1.667731054377794e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),0.030884033503825625,0.03380554772803246,1.2026409377023426,4.356505445045801,0.9998825000196135
Case1,1.2026409377023426,2.5034566458293663,1.8530487917658545,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8745305481813018+2.7755575615628914e-17j),(0.32507211965222615+0j),(0.3598950365349882-1.738253339613351e-17j),(-0.860798415880197+6.244920973455632e-18j),(0.357685014811251-2.5949335055426617e-18j),(0.3620601019135062+1.741088531239987e-17j),(-0.8745305497959525+9.25185853854297e-18j),(0.32507211530838587+0j),(0.3598950365349883-1.2378716509428614e-17j),0.03088403213923091,0.0485100928386476,1.2026409377023426,4.356505442562274,0.9998824943382603
Case1,1.3008157081270237,2.5034566458293663,1.9021361844287756,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.9187735472402051+0j),(0.29106609883630663+0j),(0.2667127574748984+1.1743316798443627e-17j),(-0.9195747079378003+3.9761857660138996e-18j),(0.2761390497757466-1.1940086538713223e-18j),(0.27951669307942373+1.4260730676504085e-17j),(-0.8855912991570156+6.938893903907228e-18j),(0.3165706111903661+0j),(0.3365994667699658-6.348208182460554e-18j),0.04292504490281018,0.02853215437668838,1.2271846303085128,4.368777289486241,0.997382521166243
Case1,1.3008157081270237,2.5034566458293663,1.902136176978195,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.9187735450715938-2.7755575615628914e-17j),(0.2910661056817031+0j),(0.2667127574748983-8.257728892160278e-18j),(-0.9089512912232939+4.424775408101697e-18j),(0.29299709354131676-1.426310019761449e-18j),(0.2965809389691923+1.4969977592886597e-17j),(-0.8922277483399313+0j),(0.31146971008863356+0j),(0.3226221249109523-6.7301123244004994e-18j),0.06863973704647197,0.041621423202207575,1.241910845872215,4.376140396150506,0.9973825179552422
Case1,1.1290098598838318,2.454369260617026,1.791689560250429,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8074652046384158+2.7755575615628914e-17j),(0.40644382807475865+0j),(0.42755509343028214+1.4680510747629728e-17j),(-0.7946420195691759+8.202437418079815e-18j),(0.4266519172127767-4.403977595016822e-18j),(0.4318705850989198+1.944324806850515e-17j),(-0.878100657723012+4.625929269271485e-18j),(0.3272987297529877+0j),(0.34011095299750727-3.1616751457287947e-18j),0.0211947986786436,0.03734676587589553,1.2230940148741511,4.35446013360333,0.9960666927319166
Case1,1.1044661672776617,2.405281875404685,1.754874028791754,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.7604511509217885+0j),(0.4685762470590504+0j),(0.4496113296546066-1.2488600612229063e-17j),(-0.748468472777395+9.219465164961934e-18j),(0.46607317740917387-5.740983862021632e-18j),(0.4717740333655411+2.0298271894186288e-17j),(-0.8612935853228373+3.96508223080413e-18j),(0.3474812322252824+0j),(0.35575386394852143-4.494093069514547e-18j),0.03143768714484002,0.036648453679841764,1.2061471795032241,4.326702386545203,0.9898848139708102
Case1,1.2026409377023426,2.5034566458293663,1.853048799216435,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),(-0.8714048306676955+5.8734644786058634e-18j),(0.34476660603430276-2.3238044393217167e-18j),(0.3489836793498985+1.6961639868292547e-17j),(-0.8629482059828923+3.469446951953614e-18j),(0.3446800923391803+0j),(0.3562715105218298-5.1669324440847495e-18j),0.027499573171991254,0.03373156108077269,1.205708899278114,4.330427768857778,0.9998825000196135
Case1,1.1044661672776617,2.405281875404685,1.754874028791754,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.7604511509217885+0j),(0.4685762470590504+0j),(0.4496113296546066-1.2488600612229063e-17j),(-0.7657036413457972+8.872092205152292e-18j),(0.45203354956324004-5.2376443247658285e-18j),(0.45756267734491246+2.0021266412008614e-17j),(-0.8515596443094363+3.0839528461809902e-18j),(0.3584463317524991+0j),(0.3666426015365828-5.980451129434117e-18j),0.0630254652735191,0.02974654476709243,1.1944597068336194,4.311508672784296,0.9898848139708102
Case1,1.2517283229146832,2.5034566458293663,1.8775924843720246,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.897880803224014+0j),(0.3088912898450231+0j),(0.3136817403988915+2.090951651153293e-17j),(-0.8934641556223927+5.047914112420341e-18j),(0.3156497236054227-1.7833649893424543e-18j),(0.3195106486578889+1.587755840811873e-17j),(-0.8561917602008942+2.7755575615628915e-18j),(0.3534908275617516+0j),(0.3613465154228137-3.2914543653374125e-18j),0.048141759077544644,0.01700398962101829,1.2001865684417257,4.318462718526005,0.9993750538660676
