Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,1.9144080232812801,1.0799224746714913,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9234525599825264-1.3877787807814457e-17j),(-0.18368613486893015+0j),(-0.3368898533922199+3.533113849305637e-18j),(0.9234525599825264-1.3877787807814457e-17j),(-0.18368613486893015+0j),(-0.3368898533922199+3.533113849305637e-18j),0.1194856904695138,0.1391549050231427,1.9144080232812801,1.3744467859455343,0.9987554042585266
Case1,1.9389517158874505,1.030835089459151,0.29697868053466014,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9055858498566796+0j),(-0.22447679438381868+0j),(-0.3598950365349883+1.3691601953145487e-17j),(0.9145192049196029-6.938893903907228e-18j),(-0.20408146462637441+0j),(-0.3483924449636041+8.612357901225562e-18j),0.07865441407776183,0.07222056658306455,1.9266798695843654,1.3511302779696726,0.9998577151910673
Case1,1.9880391010997909,1.030835089459151,0.29697868053466014,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8873545643653937+0j),(-0.21995761983484827+0j),(-0.40524131400498964+1.0114934214660383e-17j),(0.9054643247348665-4.625929269271485e-18j),(-0.20937351636253235+0j),(-0.3673420679773992+9.113216672370503e-18j),0.04535785914307236,0.13096492511522972,1.9471329467561738,1.3433581086443853,0.999791582089717
Case1,1.9389517158874505,1.1290098598838318,0.29154865497268506,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9224831124659559+0j),(-0.13964408291296182+0j),(-0.35989503653498817-1.7583617712830028e-17j),(0.9097190216676388-3.469446951953614e-18j),(-0.19194115800013972+0j),(-0.3654803101167965+2.43900807607037e-18j),0.06890667229884007,0.20763339780889983,1.9450876390389928,1.3626582101974183,0.9975893812338453
Case1,2.0371264863121317,1.030835089459151,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8664554882725064+1.3877787807814457e-17j),(-0.21703580139845347+0j),(-0.44961132965460676+2.062615733764367e-17j),(0.9010663149886124+0j),(-0.19696008667980247+0j),(-0.38230651402435856+6.076437928385031e-18j),0.04267129369986106,0.13777031546231533,1.9634954084936205,1.3551984483045734,0.9985306896173732
Case1,1.9880391010997909,0.9326603190344698,0.28961557424292517,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8592465734401957+0j),(-0.312209550550254+0j),(-0.40524131400498975-1.7005416578453927e-18j),(0.8940963580638762+0j),(-0.21616833065821106+0j),(-0.38612898068779705+4.780274664013293e-18j),0.02290391772426692,0.15352373219452406,1.967586023927982,1.333044689133377,0.9979008837566715
Case1,1.9880391010997909,0.8344855486097889,0.29943304979527713,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.828344569712553+0j),(-0.386813587211249+0j),(-0.4052413140049897-3.657060083748424e-17j),(0.8847032454422586+0j),(-0.2405462244515022+0j),(-0.38885931401882456-1.1269932647720684e-18j),0.02809317427993069,0.2680424757996906,1.9705078920953834,1.3045981047436184,0.9927137350984783
Case1,1.9389517158874505,1.1290098598838318,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9238775322840646-2.7755575615628914e-17j),(-0.13009945433470116+0j),(-0.3598950365349883-3.725129042228998e-17j),(0.8896000312974844-3.469446951953614e-18j),(-0.22674037818690207+0j),(-0.38523877933334505-5.642530409461807e-18j),0.015937995607515687,0.20763339780889983,1.9665633700693916,1.3203855015181318,0.9971073131846501
Case1,1.9144080232812801,0.9817477042468103,0.2896155727528091,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8996490082455907+0j),(-0.27773528519814245+0j),(-0.33688985339222005+9.330255894890725e-18j),(0.8907165842917184-3.0839528461809902e-18j),(-0.23240647896592875+0j),(-0.3798666764509978-3.97888748675597e-18j),0.0055646668565200175,0.11818012126846011,1.9607683315373794,1.3149385876827415,0.9990001156022131
Case1,1.9389517158874505,0.9326603190344698,0.2969786820247763,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8792226334771329+0j),(-0.3121588112788342+0j),(-0.35989503653498817+1.5440129626861953e-17j),(0.8895671892102599-2.7755575615628915e-18j),(-0.2403817121972193+0j),(-0.37786951245939693-2.036985775394178e-18j),0.016686459160869943,0.1475394720570296,1.9585866699723866,1.306408629020392,0.9982184238051539
Case1,1.9880391010997909,0.9326603190344698,0.3043417883165112,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.863750904927703+2.7755575615628914e-17j),(-0.2995227064181998+0j),(-0.4052413140049896-2.0043984734326918e-17j),(0.8872202542754819+0j),(-0.24575816621730842+0j),(-0.38035785805445077-3.6739856807517e-18j),0.02228665124813986,0.153523732194524,1.9612641637112416,1.3000989452322635,0.9984468914702586
Case1,1.9389517158874505,0.9326603190344698,0.3043417883165112,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8814972376491168+0j),(-0.30567659821199267+0j),(-0.3598950365349882-1.6677455715263273e-18j),(0.8867433362232848+0j),(-0.2507513688835321+0j),(-0.37865262292782886-3.506799004982919e-18j),0.029096858365725897,0.14753947205702958,1.959404793059259,1.2948408754088234,0.9984853848965726
Case1,1.9880391010997909,0.9326603190344698,0.2920699435035422,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.860010262175956+2.7755575615628914e-17j),(-0.31009970392690256+0j),(-0.40524131400498975-5.277538635420119e-18j),(0.884686945911952+2.135044278125301e-18j),(-0.25531662542532985+0j),(-0.3806979068568413-3.64300974578578e-18j),0.03471846762208175,0.153523732194524,1.9616074321392998,1.2894477513418379,0.9979982368743209
