Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1,1.7671458676442586,3.9269908169872414,0,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610735+0j),(0.6935199226610737+0j),(-0.19509032201612808-5.28600991279815e-18j),0.9997250811740268
Case1Fin,1.7671458676442584,3.9269908169872414,X,(-0.7166713641254832-5.551115123125783e-17j),(0.6728732095566505+0j),(-0.18336793531981233+7.68833987366903e-18j),(-0.6935199226610738+0j),(0.6935199226610738+0j),(-0.19509032201612797+1.8492382136590216e-17j),0.9997250802259247
