Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19
Case1,2.1353012567368124,1.030835089459151,0.3166136361097125,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.8238686165586532+1.3877787807814457e-17j),(-0.187131102077854+0j),(-0.5349976198870972+4.206275743940013e-18j),(0.5728424975663233+0j),(2.39884804269472+0j),(0.8137617927012029+0j),(0.8238686165586532+1.3877787807814457e-17j),(-0.187131102077854+0j),(-0.5349976198870972+4.206275743940013e-18j),0.40888356889291627,2.1353012567368124,1.3474487255688634,0.9795457645917863
Case1,1.718058482431918,0.2945243112740431,0.20125828086071224,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.4705712098886592+0j),(-0.8700763784231982+0j),(-0.1467304744553617+6.8755238311303525e-18j),(0.180077146227242+0j),(0.5124124309139022+0j),(2.8438697286679466+0j),(0.6472199132236562+6.938893903907228e-18j),(-0.5286037402505261+0j),(-0.3408640471712294+5.540899787535183e-18j),0.30337134533062055,1.9266798695843652,0.9216156588518094,0.9112349675076716
Case1,2.2089323345553233,6.283185307179586,0.8492117626833748,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.6030160449356473+0j),(-0.5305789179541537+0j),(-0.5956993044924332+1.6821365813924957e-17j),(0.6552525609053742+0j),(0.8396582015604517+0j),(0.6065613121221892+0j),(0.6324852904609866+4.625929269271485e-18j),(-0.529262132818402+0j),(-0.42580913294496403+9.301055129665106e-18j),0.23790536672735546,2.0207640245746847,0.8974810267956647,0.9824301214255481
Case1,2.2334760271614935,0.7363107781851077,0.29697868202477623,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.6771799824424356+0j),(-0.40363022846523117+0j),(-0.6152315905806267-3.5212724681420143e-19j),(1.1401709657232493+0j),(0.46301550442847994+0j),(0.6884310138430835+0j),(0.6436589634563489+3.469446951953614e-18j),(-0.4978541567301093+0j),(-0.4731647473538797+6.887759535545281e-18j),0.24267933205261616,2.073942025221387,0.9314331351492194,0.9873165573602057
Case1,2.086213871524472,0.7363107781851077,0.2822524664610741,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.7407530790138827+0j),(-0.45643865746457457+0j),(-0.49289819222978404-7.482391068564335e-18j),(0.5018562695453134+0j),(0.3078461378149282+0j),(0.33805518309830374+0j),(0.6630777865678557+2.7755575615628915e-18j),(-0.48957105687700236+0j),(-0.47711143632906056+4.013729414723358e-18j),0.2189240980631833,2.0763963944820043,0.9488591570486118,0.9982490628000729
Case1,2.650718801466388,0.6872233929727672,0.33379422093403166,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.4019317915303232+1.3877787807814457e-17j),(-0.24630411780444073+0j),(-0.8819212643483549+1.6073546876196632e-17j),(1.9471098804189506+0j),(1.8958022884600325+0j),(0.8927936213742289+0j),(0.6195534540616002+4.625929269271485e-18j),(-0.4490265670315754+0j),(-0.5445797409989429+6.0236989916355694e-18j),0.2893722453938941,2.172116795646068,0.9608855665249764,0.9002418130608809
Case1,1.8162332528565992,0.09817477042468103,0.19144080232812805,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.277025239468174+0j),(-0.9296330721697557+0j),(-0.24298017990326387-6.125081526506895e-18j),(2.922706030297525+0j),(1.5063288809489581+0j),(1.8444892062372569+0j),(0.570620851976825+3.96508223080413e-18j),(-0.5176846391941725+0j),(-0.5014940894138459+4.2881589176152174e-18j),0.36387726805616943,2.121276289533287,0.8649898531289525,0.868794914459732
Case1,1.9389517158874505,0.6381360077604268,0.25770877385490387,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.7284222129086777+0j),(-0.5829894016349737+0j),(-0.35989503653498817-7.549109080059213e-18j),(0.7753651175761277+0j),(0.7351744653130875+0j),(1.1408035157831473+0j),(0.5903460220933067+3.469446951953614e-18j),(-0.5258477344992727+0j),(-0.48379420780398874+2.808500417905914e-18j),0.3346153116349308,2.0984857178275576,0.8688467191897498,0.9935675630797499
Case1,2.380738182798515,0.44178646691106466,0.2822524664610741,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.45676253689168916+0j),(-0.5165599168814393+0j),(-0.7242470829514671-1.0438273412916832e-17j),(1.7512332524807621+0j),(0.8807334050601499+0j),(0.1636743730870422+0j),(0.5755034126264602+3.0839528461809902e-18j),(-0.5248157547639578+0j),(-0.5105111939314864+1.336636658925609e-18j),0.37514292749396,2.1298471028243307,0.8527569652100152,0.948962992415832
Case1,2.184388641949153,6.234097921967246,0.84184865639164,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.5823608138421525+0j),(-0.5738473744796746+0j),(-0.5758081914178454-1.755000301987903e-17j),(0.6822800973706132+0j),(0.7760825855061678+0j),(0.6782890569725125+0j),(0.5761891527480295+2.7755575615628915e-18j),(-0.5297189167355295+0j),(-0.5170408936801223-5.520273089548549e-19j),0.38589004909259833,2.135301256736813,0.8467573958069436,0.9797799306733188
Case1,1.7426021750380885,0.04908738521234052,0.17916895751515904,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.22294807054369833+0j),(-0.9597219339122934+0j),(-0.17096188876030127+2.9319453006446394e-18j),(3.242560221548741+0j),(0.7163248006214006+0j),(2.501165400868251+0j),(0.5440763270930903+2.523234146875356e-18j),(-0.5688101001152354+0j),(-0.4855791659601385-2.353025262639918e-19j),0.4256323304072596,2.099601340218747,0.7905300273451761,0.8389926501749341
Case1,2.5770877236478773,0.6381360077604268,0.32152237314083043,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.43816069408868813+0j),(-0.306981529477879+0j),(-0.8448535652497071-6.360742956652133e-18j),(0.33085534727329313+0j),(1.4407594367823355+0j),(0.45859951012738054+0j),(0.5352500243427234+2.3129646346357427e-18j),(-0.5469910525621222+0j),(-0.5155186992342692-7.457558954630035e-19j),0.44257911887864404,2.1393918721711747,0.8046240568081827,0.9202413578321844
Case1,1.7916895602504288,0.8344855486097889,0.26261751088602175,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.8682671599749319+2.7755575615628914e-17j),(-0.4450918843011945+0j),(-0.21910124015686966+8.98908906564746e-18j),(0.8561791439969358+0j),(1.0016258994017937+0j),(0.2982991818016603+0j),(0.5608667270836626+4.270088556250602e-18j),(-0.5391526550035894+0j),(-0.4927173562283154+3.07833231472436e-21j),0.3863226755732183,2.112645540484963,0.8271224416303079,0.9878817684074159
Case1,2.086213871524472,0.6381360077604268,0.272434989418606,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.6872417407911166+0j),(-0.5336198663946147+0j),(-0.49289819222978387+6.65736264111392e-18j),(1.036801857920833+0j),(0.8140830050970753+0j),(0.8482511378020838+0j),(0.5698935137770521+3.96508223080413e-18j),(-0.538757455817234+0j),(-0.4927302730855631+4.7838435437180975e-19j),0.37691360655072104,2.1107575641306426,0.8330830527409311,0.9944796846434472
Case1,1.6689710972195777,0.2945243112740431,0.1963495423394782,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.46912683400018296+0j),(-0.8776745717078624+0j),(-0.09801714032956077+2.4628947373398318e-18j),(1.6658704702177896+0j),(1.1714603953473215+0j),(4.522603040202307+0j),(0.5631757351252609+3.7007434154171884e-18j),(-0.5613519302099427+0j),(-0.46641606423516296+6.106850465696779e-19j),0.3799116507448208,2.081305133003238,0.8102691061324372,0.9020472770320737
Case1,2.454369260617026,0.09817477042468103,0.25525440459428683,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.21957433743133745-5.551115123125783e-17j),(-0.5951822824425514+0j),(-0.7730104533627371-1.8783304721981173e-18j),(3.670080446422109+0j),(0.7512640977348075+0j),(0.4696013910481674+0j),(0.5417006477693906+0j),(-0.5634663272244806+0j),(-0.48557821355563635+4.551215766466907e-19j),0.4226632844357024,2.1046216409791,0.7817166104378453,0.8835559439663028
Case1,1.8162332528565992,1.0799224746714913,0.28961557424292517,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.950451968580685+1.3877787807814457e-17j),(-0.19391154580188852+0j),(-0.24298017990326376+1.9413633184062426e-17j),(1.1510463372403212+0j),(2.417230523910267+0j),(1.9378375480168089+0j),(0.5657448431112315+8.163404592832033e-19j),(-0.5417278106702106+0j),(-0.47130774098784967+1.5703281417887928e-18j),0.36261009997180477,2.0876576181483646,0.8162943421129377,0.9690127861072311
Case1,2.061670178918302,0.8835729338221293,0.29452431276415925,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.8147890059208303+0j),(-0.3374966553024581+0j),(-0.47139673682599775+7.99633909229508e-18j),(0.7117495745608955+0j),(1.4066150243089288+0j),(0.8750531591610072+0j),(0.579580629933987+7.709882115452476e-19j),(-0.530381635372002+0j),(-0.4713126852010801+1.927328750150253e-18j),0.3374330820640712,2.086213871524472,0.8363945034725684,0.996184609691434
Case1,2.6261751088602177,0.7363107781851077,0.33624858870453256,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.43297480625461343-1.3877787807814457e-17j),(-0.23554499581219962+0j),(-0.8700869911087112+1.3109935742596855e-17j),(1.79810824982581+0j),(1.8608465863552122+0j),(0.5891098025666833+0j),(0.571864533950862+0j),(-0.5148639175004335+0j),(-0.4923008065646396+2.5158870129106004e-18j),0.3506195815391871,2.114632884015827,0.8488242331260984,0.9075419133089934
Case1,1.9880391010997909,6.135923151542564,0.8123962267543517,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.564217925616186+0j),(-0.7193313630288043+0j),(-0.40524131400498975-9.773972603992103e-18j),(1.3820375930086959+0j),(0.2593663208948304+0j),(0.9999096135886496+0j),(0.5714822035341283+0j),(-0.525087289776852+0j),(-0.48794783193665714+1.9013940320654655e-18j),0.35687230960435695,2.1083031948700253,0.83963972502566,0.9690936484298355
Case1,2.429825568010856,6.135923151542564,0.8565748719553421,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.4254195767733694+0j),(-0.49563388349696835+0j),(-0.7572088465064847+2.5279516395849758e-17j),(0.281789931153729+0j),(0.3437457472905044+0j),(0.5069596848591869+0j),(0.5645268403550445+0j),(-0.523684746620667+0j),(-0.5007697850114108+3.014637954150432e-18j),0.3752470827020093,2.123613784067208,0.8334336769919771,0.9389225308908179
Case1,2.7979809571034093,6.086835766330224,0.8884816738334795,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.2149964115108634+2.7755575615628914e-17j),(-0.2593671458687148+0j),(-0.9415440651830208+1.922638077197927e-17j),(3.7240104341225453+0j),(1.761192588809802+0j),(0.6660185770664926+0j),(0.5486390935894+1.261617073437678e-18j),(-0.511670310222851+0j),(-0.5208049795646658+3.7515353549608344e-18j),0.39915558762309283,2.154266837387035,0.8270108795370743,0.8422263591904787
Case1,2.5034566458293663,5.890486225480862,0.839394288621139,(0.7871724108890424-2.7755575615628914e-17j),(-0.4480869324390644+0j),(-0.423766087025002-1.3503708902548757e-17j),(0.25733457759040207+0j),(-0.537249082408838+0j),(-0.8032075314806448-2.486906796777801e-18j),(3.0389399766159118+0j),(0.8279809840751676+0j),(0.32496518663163+0j),(0.5359736798503131+1.206764157201257e-18j),(-0.5127824307526766+0j),(-0.5330833513870996+3.48029873966785e-18j),0.42521149371443917,2.169449002971484,0.81047541551035,0.891836549773326
