Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case1,2.454369260617026,5.890486225480862,(-0.24277179945310606+0j),(-0.5861029708014086+0j),(-0.7730104533627371+9.627029434769e-18j),1.1129198057154692,2.454369260617026,5.890486225480862,0.8351828385852832,8537
Case1,1.6444274046134073,5.743224069843841,(-0.37774077999466604+0j),(-0.720753763987479+0j),(-0.42328750848120233+5.96109293895032e-18j),0.763515048189424,2.0493983326152168,5.816855147662351,0.9765624668776317,8348
Case1,1.6198837120072371,5.890486225480862,(-0.3792346778001946+0j),(-0.7880914023760633+0j),(-0.29854756376327424+6.310712653979726e-18j),0.5729313628884402,1.9062267924125569,5.841398840268521,0.9935751430332199,8354
Case1,1.6198837120072371,6.086835766330224,(-0.3331398401449743+0j),(-0.8359695221769631+0j),(-0.23617759140431016+4.207148970263858e-18j),0.416588433073356,1.8346410223112268,5.902758071783947,0.9996564765194544,8375
Case1,1.6198837120072371,5.792311455056181,(-0.3606776558783299+0j),(-0.844947408053942+0j),(-0.19875560798893177+4.325535817438847e-18j),0.39772637951435436,1.791689560250429,5.880668748438394,0.9833989256344466,8333
Case1Fin,1.6444274046134073,6.037748381117884,(-0.3606776558783299+0j),(-0.844947408053942+0j),(-0.19875560798893177+4.325535817438847e-18j),0.39772637951435436,1.791689560250429,5.880668748438394,0.9863794690793184,8420
Case2,1.4726215563702154,4.417864669110647,(-0.9523324064572587+0j),(0.2888868771906091+0j),(0.09801714032956077-1.5000742699749786e-17j),0.11696128798596545,1.4726215563702154,4.417864669110647,0.9978542387011353,8375
Case2,1.4726215563702154,4.516039439535327,(-0.9641974688297308-6.938893903907228e-18j),(0.2415188929913105+0j),(0.09801714032956088-1.9899638342111202e-18j),0.13977371571914401,1.4726215563702154,4.466952054322987,0.9962339300461006,8378
Case2,1.423534171157875,4.221515128261284,(-0.9335902453304313-1.3877787807814457e-17j),(0.31644412164164926+0j),(0.11425491837149448+7.75734596225882e-18j),0.1304377316457253,1.4562590946327685,4.385139745635753,0.9887138064685947,8345
Case2,0.44178646691106466,4.417864669110647,(-0.8024788626606211-1.214306433183765e-17j),(0.2683612643074647+0j),(0.3116885120594818+4.0943391883262855e-18j),0.2670892404237376,1.2026409377023426,4.3933209765044765,0.7951115800676424,8606
Case2,1.4971652489763858,4.270602513473625,(-0.822291069122842-9.71445146547012e-18j),(0.29996833432244907+0j),(0.26406372236751896+7.838492006489622e-18j),0.22662870735684143,1.2615457999571513,4.368777283898306,0.990185125131157,8450
Case2Fin,1.3744467859455345,4.417864669110647,(-0.822291069122842-9.71445146547012e-18j),(0.29996833432244907+0j),(0.26406372236751896+7.838492006489622e-18j),0.22662870735684143,1.2615457999571513,4.368777283898306,0.9954567357351655,8363
Case3,2.5770877236478773,0.6381360077604268,(0.318697710071851+0j),(-0.42971411761753564+0j),(-0.8448535652497071+2.4926696250686915e-17j),0.9156583722665452,2.5770877236478773,0.6381360077604268,0.9002021209447808,8501
Case3,2.5034566458293663,1.0799224746714913,(0.42202879693062684+1.3877787807814457e-17j),(-0.35526241294239264+0j),(-0.824030548365176+2.0731407670774263e-17j),0.8659559731983812,2.5402721847386216,0.859029241215959,0.9389012605182105,8399
Case3,2.429825568010856,0.9326603190344698,(0.4562303135601171+0j),(-0.3665398113818985+0j),(-0.8017566477456122+1.736646576963882e-17j),0.7982031575098213,2.5034566458293663,0.8835729338221293,0.9535039170279961,8387
Case3,2.454369260617026,1.2762720155208536,(0.49394186575354226+3.469446951953614e-18j),(-0.3209435209728845+0j),(-0.7945700991498934+1.8427671157175312e-17j),0.7989013471296914,2.4911847995262812,0.9817477042468103,0.9427522605495796,8480
Case3,1.9144080232812801,0.5890486225480862,(0.49977226374122474+2.7755575615628915e-18j),(-0.4133278725470053+0j),(-0.7030340499983587+1.5486509477331582e-17j),0.6091505484163534,2.375829444277281,0.9032078879070655,0.9538686185505182,8411
Case3Fin,1.9880391010997909,1.030835089459151,(0.49977226374122474+2.7755575615628915e-18j),(-0.4133278725470053+0j),(-0.7030340499983587+1.5486509477331582e-17j),0.6091505484163534,2.375829444277281,0.9032078879070655,0.9626589574953411,8351
Case4,0.5645049299419159,2.6016314162540475,(0.27504374452079877+0j),(0.4588827648592137+0j),(0.844853565249707-1.5411710436105953e-17j),0.41275298135476685,0.5645049299419159,2.6016314162540475,0.9844393693201947,8417
Case4,1.1780972450961724,3.043417883165112,(0.1827998871532833+0j),(0.6891567824497478+0j),(0.6137684988073984-6.734055958377394e-18j),0.2818013538132981,0.8713010875190441,2.82252464970958,0.9421529817499636,8474
Case4,1.1535535524900022,1.9144080232812801,(0.40878951470721514-9.25185853854297e-18j),(0.5621005184893983+0j),(0.5442594372065954-1.4312603878993097e-17j),0.5887788771433908,0.9653852425093635,2.5198191075668133,0.8010414034573552,8453
Case4,0.39269908169872414,2.650718801466388,(0.3516910663439803-6.938893903907228e-18j),(0.5059495529961958+0j),(0.6391644610327682-7.665149540454535e-18j),0.49292637044718574,0.8222137023067037,2.552544031041707,0.9711226055802217,8495
Case4,0.39269908169872414,2.945243112740431,(0.2962844198852528-5.551115123125783e-18j),(0.4798256979005297+0j),(0.696107475328472-7.04639268134156e-18j),0.40670056478842065,0.7363107781851077,2.631083847381452,0.9771276240443394,8501
Case4Fin,0.6872233929727672,2.945243112740431,(0.2962844198852528-5.551115123125783e-18j),(0.4798256979005297+0j),(0.696107475328472-7.04639268134156e-18j),0.40670056478842065,0.7363107781851077,2.631083847381452,0.9876663711767396,8462
Case5,0.9081166264282996,3.9760782021995817,(-0.5841261727194956+0j),(0.5294211029943044+0j),(0.6152315905806269+1.585695597088232e-17j),0.12376059880758727,0.9081166264282996,3.9760782021995817,0.998442619838533,8351
Case5,0.6381360077604268,4.319689898685965,(-0.5672402838356317-6.938893903907228e-18j),(0.3786926787474829+0j),(0.7092195610306358+4.284199522048729e-18j),0.1992119298514028,0.7731263170943632,4.147884050442773,0.9787159245207255,8378
Case5,0.760854470791278,3.77972866135022,(-0.5150797968634893-4.625929269271485e-18j),(0.4370765054296815+0j),(0.7142287350042462+9.674724695237328e-18j),0.19799776411495712,0.7690357016600015,4.025165587411922,0.9856577366450017,8507
Case5,0.44178646691106466,4.123340357836604,(-0.47518461459073075-3.469446951953614e-18j),(0.38719159979370604+0j),(0.7616688745340455+6.188522715546682e-18j),0.3352179915534904,0.6872233929727672,4.049709280018092,0.9532680213488536,8558
Case5,0.7853981633974483,3.8288160465625602,(-0.4698644503068482-2.7755575615628915e-18j),(0.4190734665351406+0j),(0.750756455864546+7.197343438041005e-18j),0.29774387042643885,0.7068583470577035,4.005530633326986,0.9901316929303482,8396
Case5Fin,0.859029241215959,4.074252972624263,(-0.4698644503068482-2.7755575615628915e-18j),(0.4190734665351406+0j),(0.750756455864546+7.197343438041005e-18j),0.29774387042643885,0.7068583470577035,4.005530633326986,0.9923265681095832,8357
Case6,1.055378782065321,3.9760782021995817,(-0.6446919352187098+0j),(0.5843147103749533+0j),(0.49289819222978387-2.1081686044498055e-17j),0.5332879506129486,1.055378782065321,3.9760782021995817,0.9743258768842037,8330
Case6,0.5890486225480862,4.123340357836604,(-0.5533158507371766+0j),(0.44648649709620414+0j),(0.6621839022661645-1.5020214529125696e-17j),0.1403638021088799,0.8222137023067037,4.049709280018092,0.992795964053857,8483
Case6,0.5890486225480862,4.025165587411922,(-0.5120310997252256+0j),(0.41514100630042516+0j),(0.7186124722782914-1.1994485647441566e-17j),0.07399597188058105,0.7444920090538312,4.0415280491493695,0.9945725592676745,8384
Case6,0.7853981633974483,3.5342917352885173,(-0.4516728373121939-1.3877787807814457e-17j),(0.474676125334866+0j),(0.7157360495053554-9.930112831016662e-18j),0.09718177400654376,0.7547185476397354,3.9147189706841563,0.9765330220944355,8420
Case6,0.5645049299419159,3.9760782021995817,(-0.44061968755326897-1.665334536937735e-17j),(0.45159738875929706+0j),(0.7415595526542258-4.073350035371922e-18j),0.05933268404102937,0.7166758241001715,3.9269908169872414,0.9928746805108188,8411
Case6Fin,0.7117670855789375,3.9760782021995817,(-0.44061968755326897-1.665334536937735e-17j),(0.45159738875929706+0j),(0.7415595526542258-4.073350035371922e-18j),0.05933268404102937,0.7166758241001715,3.9269908169872414,0.9996567760225088,8363
Case7,1.4971652489763858,3.2888548092268146,(-0.14633290187826842+0j),(0.9864962933586092+0j),(0.07356456359966751-2.39583041358465e-18j),0.31930503593233506,1.4971652489763858,3.2888548092268146,0.9902947258918621,8390
Case7,1.4480778637640452,3.5833791205008576,(-0.2853362910106313+2.7755575615628914e-17j),(0.9418435831399906+0j),(0.09798761939944184+1.724188359493233e-18j),0.11122588078157924,1.4726215563702154,3.436116964863836,0.9933600849635172,8411
Case7,1.2517283229146832,3.2888548092268146,(-0.23666576748947168+1.850371707708594e-17j),(0.9409793793574031+0j),(0.16988565973259168+1.586247516684018e-18j),0.08713416018700146,1.3989904785517047,3.3870295796514953,0.9913771720680651,8498
Case7,1.3989904785517047,3.5833791205008576,(-0.28281444422869667+1.3877787807814457e-17j),(0.9284046443864303+0j),(0.17015471698951912-2.8965161351981018e-18j),0.04401744944276864,1.3989904785517047,3.436116964863836,0.9947645066151415,8399
