Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case1,1.325359400733194,0.6872233929727672,(0.6153813124554635+0j),(-0.7498442988079382+0j),(0.24298017990326382-3.8863654643501295e-18j),0.42492825359295916,1.325359400733194,0.6872233929727672,0.9812229848185465,8378
Case1,1.1044661672776617,1.030835089459151,(0.6907626753691787+0j),(-0.6045266816163128+0j),(0.3462957547789352-4.561149545499145e-18j),0.22004194829627527,1.2149127840054277,0.859029241215959,0.9914877653602497,8378
Case1,1.3008157081270237,1.1290098598838318,(0.7509228650620234+9.25185853854297e-18j),(-0.5403735763632216+0j),(0.31976808901092296-1.0205034415909956e-17j),0.07391952401686158,1.2435470920459597,0.9490227807719167,0.9939587889077981,8429
Case1,1.2517283229146832,0.9326603190344698,(0.7538591952978778+2.0816681711721685e-17j),(-0.5466885014662257+0j),(0.31824650185791503-1.3891851102774102e-17j),0.07105799529646883,1.2455923997631406,0.944932165337555,0.9995080459022505,8378
Case1,1.3008157081270237,0.8344855486097889,(0.7459095483465635+1.665334536937735e-17j),(-0.566797290663412+0j),(0.3079397529813117-1.3289017591348768e-17j),0.08880968256836608,1.2566370614359172,0.9228428419920018,0.9957509236093371,8357
Case1Fin,1.2762720155208536,0.9817477042468103,(0.7459095483465635+1.665334536937735e-17j),(-0.566797290663412+0j),(0.3079397529813117-1.3289017591348768e-17j),0.08880968256836608,1.2566370614359172,0.9228428419920018,0.9993886293753407,8360
Case2,1.4480778637640452,3.77972866135022,(-0.5912193684834254+0j),(0.7971670370300893+0j),(0.12241067519921622+1.2316191492788618e-17j),0.12343980592407411,1.4480778637640452,3.77972866135022,0.998519748050161,8369
Case2,1.3989904785517047,3.485204350076177,(-0.461574704489234+0j),(0.8624246768894578+0j),(0.14668628197975886+2.3588174932472105e-18j),0.1676926630462673,1.423534171157875,3.6324665057131984,0.9852655427933994,8465
Case2,1.3499030933393643,3.77972866135022,(-0.5014581630780683-1.850371707708594e-17j),(0.836180217702523+0j),(0.1708246013721292+2.7983965733631196e-18j),0.07742642587812784,1.3989904785517047,3.6815538909255388,0.9991124340829876,8345
Case2,1.3744467859455345,3.8288160465625602,(-0.531644521082143-1.3877787807814457e-17j),(0.8166744818408924+0j),(0.17689103153312902+5.920348838322254e-18j),0.021667901851422755,1.3928545554001621,3.718369429834794,0.997711312411183,8336
Case2,1.423534171157875,3.6324665057131984,(-0.5185745326541797-1.1102230246251566e-17j),(0.8278147451390805+0j),(0.1708589201175756+2.5859186804608014e-18j),0.05191026499312748,1.3989904785517049,3.701188845010475,0.9972519225052893,8381
Case2Fin,1.3744467859455345,3.730641276137879,(-0.5185745326541797-1.1102230246251566e-17j),(0.8278147451390805+0j),(0.1708589201175756+2.5859186804608014e-18j),0.05191026499312748,1.3989904785517049,3.701188845010475,0.9997318256562288,8345
Case3,1.227184630308513,0.9817477042468103,(0.7828652788434887-5.551115123125783e-17j),(-0.5230938556919544+0j),(0.33688985339221994-2.592488160167037e-17j),0.10326825062321326,1.227184630308513,0.9817477042468103,0.9985910852392155,8372
Case3,1.227184630308513,0.7853981633974483,(0.7243187360601757-2.7755575615628914e-17j),(-0.5944330244844085+0j),(0.33688985339222005-2.1195352247386308e-17j),0.16469254325548727,1.227184630308513,0.8835729338221293,0.9923835991294777,8360
Case3,1.227184630308513,0.6872233929727672,(0.6819822346055325-1.850371707708594e-17j),(-0.6388964845523126+0j),(0.33688985339222005-1.120800490985047e-17j),0.2514925047780346,1.227184630308513,0.818123086872342,0.9827988273110376,8408
Case3,1.3008157081270237,0.6381360077604268,(0.6550168589743488+0j),(-0.6727004120911553+0j),(0.31934557941288966-8.587442653381088e-18j),0.29471753396873057,1.2455923997631406,0.7731263170943632,0.977116818672137,8420
Case3,1.3499030933393643,0.7363107781851077,(0.6550617877176159+0j),(-0.6827498479255799+0j),(0.2992967115616857-9.370212582633713e-18j),0.2846731732086841,1.2664545384783854,0.7657632093125122,0.9882739764281914,8348
Case3Fin,1.3008157081270237,0.9326603190344698,(0.6550617877176159+0j),(-0.6827498479255799+0j),(0.2992967115616857-9.370212582633713e-18j),0.2846731732086841,1.2664545384783854,0.7657632093125122,0.991693217566661,8348
Case4,2.405281875404685,4.025165587411922,(-0.5191220921460994+0j),(0.4260324908749057+0j),(-0.740951125354959-2.7576148482441378e-17j),0.117364718998474,2.405281875404685,4.025165587411922,0.9987574002277655,8378
Case4,2.3071071049800045,4.025165587411922,(-0.5459425287381832+0j),(0.44804345434679377+0j),(-0.7062550401009887-1.0975036583795137e-17j),0.033837233680531875,2.356194490192345,4.025165587411922,0.999768070019276,8351
Case4,2.2334760271614935,3.9760782021995817,(-0.5586704100652873+0j),(0.4751693372292974+0j),(-0.6759138902608681-1.0349312746613585e-17j),0.04812330443907403,2.3152883358487277,4.008803125674476,0.9968151858606233,8336
Case4,2.086213871524472,3.77972866135022,(-0.5485803614118088-1.3877787807814457e-17j),(0.5310921089974355+0j),(-0.6301599657530971-4.946093959434481e-18j),0.15989004936846174,2.258019719767664,3.9515345095934116,0.9739581816454673,8411
Case4,2.552544031041707,3.9269908169872414,(-0.5174337849681573-1.1102230246251566e-17j),(0.5034431830366587+0j),(-0.6704218950629868-3.1017438778773507e-18j),0.12312577054144669,2.3169245820224726,3.9466257710721777,0.9869922161109883,8417
Case4Fin,2.356194490192345,4.025165587411922,(-0.5174337849681573-1.1102230246251566e-17j),(0.5034431830366587+0j),(-0.6704218950629868-3.1017438778773507e-18j),0.12312577054144669,2.3169245820224726,3.9466257710721777,0.9987565408399466,8354
Case5,1.6935147898257479,3.2888548092268146,(-0.14562699299890516+5.551115123125783e-17j),(0.981737442245822+0j),(-0.12241067519921606-1.514530459291861e-18j),0.02472192828112521,1.6935147898257479,3.2888548092268146,0.999919626841405,8408
Case5,1.718058482431918,3.3379421944391554,(-0.16930287842936217+2.7755575615628914e-17j),(0.9759536014699595+0j),(-0.13457057482728882-1.5120008869399116e-18j),0.0290100096350539,1.705786636128833,3.3133985018329852,0.9995121342659344,8390
Case5,1.6935147898257479,3.2888548092268146,(-0.16141091661920984+3.700743415417188e-17j),(0.977881548395247+0j),(-0.13051727495126456-1.5128440777238947e-18j),0.01710820460218032,1.7016960206944713,3.3052172709642615,0.999919626841405,8420
