Case,Theta,Phi,timeErr,init,trace,cost
Case1,2.356194490192345,4.71238898038469,"[(-0.4548742789317622+2.6037688399260878e-18j), (-0.5187143399878321+2.9691989585670882e-18j), (-0.7250267987145342-3.7449256681783725e-18j)]","[(-0.7071067811865476+1.3191209727469754e-17j), (1.218179769604469e-16+0j), (-0.7071067811865474-3.243067178385697e-17j)]","[(-0.4548742789317622+2.6037688399260878e-18j), (-0.5187143399878321+2.9691989585670882e-18j), (-0.7250267987145342-3.7449256681783725e-18j)]",0.19560986241246503
Case1,2.356194490192345,4.71238898038469,"[(-0.4548742789317622+2.6037688399260878e-18j), (-0.5187143399878321+2.9691989585670882e-18j), (-0.7250267987145342-3.7449256681783725e-18j)]","[(-0.7071067811865476+1.3191209727469754e-17j), (1.218179769604469e-16+0j), (-0.7071067811865474-3.243067178385697e-17j)]","[(-0.4548742789317622+2.6037688399260878e-18j), (-0.5187143399878321+2.9691989585670882e-18j), (-0.7250267987145342-3.7449256681783725e-18j)]",0.14694590035640054
Case1,2.356194490192345,4.71238898038469,"[(-0.4548742789317622+2.6037688399260878e-18j), (-0.5187143399878321+2.9691989585670882e-18j), (-0.7250267987145342-3.7449256681783725e-18j)]","[(-0.7071067811865476+1.3191209727469754e-17j), (1.218179769604469e-16+0j), (-0.7071067811865474-3.243067178385697e-17j)]","[(-0.4548742789317622+2.6037688399260878e-18j), (-0.5187143399878321+2.9691989585670882e-18j), (-0.7250267987145342-3.7449256681783725e-18j)]",0.16021917431190152
Case2,1.9634954084936207,3.9269908169872414,"[(-1.0178337489918203+6.904846184711268e-19j), (-0.055804548488922516+2.209847346397253e-18j), (-0.20211165146855095-3.819086569608191e-18j)]","[(-0.6532814824381883+0j), (0.6532814824381883+0j), (-0.38268343236508967-6.422196719547878e-19j)]","[(-1.0178337489918203+6.904846184711268e-19j), (-0.055804548488922516+2.209847346397253e-18j), (-0.20211165146855095-3.819086569608191e-18j)]",0.503009072004618
Case2,1.9634954084936207,3.9269908169872414,"[(-1.0178337489918203+6.904846184711268e-19j), (-0.055804548488922516+2.209847346397253e-18j), (-0.20211165146855095-3.819086569608191e-18j)]","[(-0.6532814824381883+0j), (0.6532814824381883+0j), (-0.38268343236508967-6.422196719547878e-19j)]","[(-1.0178337489918203+6.904846184711268e-19j), (-0.055804548488922516+2.209847346397253e-18j), (-0.20211165146855095-3.819086569608191e-18j)]",0.489491135046382
Case2,1.9634954084936207,3.9269908169872414,"[(-1.0178337489918203+6.904846184711268e-19j), (-0.055804548488922516+2.209847346397253e-18j), (-0.20211165146855095-3.819086569608191e-18j)]","[(-0.6532814824381883+0j), (0.6532814824381883+0j), (-0.38268343236508967-6.422196719547878e-19j)]","[(-1.0178337489918203+6.904846184711268e-19j), (-0.055804548488922516+2.209847346397253e-18j), (-0.20211165146855095-3.819086569608191e-18j)]",0.5283225875261311
Case3,3.141592653589793,3.141592653589793,"[(-0.05442288716620532+1.906078994613208e-21j), (0.15701367077656694-5.499165430535452e-21j), (-0.9857854605818805-1.002863968628959e-21j)]","[(1.4997597826618576e-32+0j), (1.2246467991473532e-16+0j), (-1+4.8100872182186e-66j)]","[(-0.05442288716620532+1.906078994613208e-21j), (0.15701367077656694-5.499165430535452e-21j), (-0.9857854605818805-1.002863968628959e-21j)]",0.21954842835431135
Case3,3.141592653589793,3.141592653589793,"[(-0.05442288716620532+1.906078994613208e-21j), (0.15701367077656694-5.499165430535452e-21j), (-0.9857854605818805-1.002863968628959e-21j)]","[(1.4997597826618576e-32+0j), (1.2246467991473532e-16+0j), (-1+4.8100872182186e-66j)]","[(-0.05442288716620532+1.906078994613208e-21j), (0.15701367077656694-5.499165430535452e-21j), (-0.9857854605818805-1.002863968628959e-21j)]",0.22037041928760226
Case3,3.141592653589793,3.141592653589793,"[(-0.05442288716620532+1.906078994613208e-21j), (0.15701367077656694-5.499165430535452e-21j), (-0.9857854605818805-1.002863968628959e-21j)]","[(1.4997597826618576e-32+0j), (1.2246467991473532e-16+0j), (-1+4.8100872182186e-66j)]","[(-0.05442288716620532+1.906078994613208e-21j), (0.15701367077656694-5.499165430535452e-21j), (-0.9857854605818805-1.002863968628959e-21j)]",0.22565109736089153
Case4,2.356194490192345,3.141592653589793,"[(-0.26191500699598164-1.6393416596238327e-18j), (0.7504217027049437+4.6969342216764945e-18j), (-0.6136467368271024+6.358925137227364e-18j)]","[(8.659560562354934e-17+0j), (0.7071067811865477+0j), (-0.7071067811865475-4.504812383116985e-34j)]","[(-0.26191500699598164-1.6393416596238327e-18j), (0.7504217027049437+4.6969342216764945e-18j), (-0.6136467368271024+6.358925137227364e-18j)]",0.3312515178284026
Case4,2.356194490192345,3.141592653589793,"[(-0.26191500699598164-1.6393416596238327e-18j), (0.7504217027049437+4.6969342216764945e-18j), (-0.6136467368271024+6.358925137227364e-18j)]","[(8.659560562354934e-17+0j), (0.7071067811865477+0j), (-0.7071067811865475-4.504812383116985e-34j)]","[(-0.26191500699598164-1.6393416596238327e-18j), (0.7504217027049437+4.6969342216764945e-18j), (-0.6136467368271024+6.358925137227364e-18j)]",0.3322852468432996
Case4,2.356194490192345,3.141592653589793,"[(-0.26191500699598164-1.6393416596238327e-18j), (0.7504217027049437+4.6969342216764945e-18j), (-0.6136467368271024+6.358925137227364e-18j)]","[(8.659560562354934e-17+0j), (0.7071067811865477+0j), (-0.7071067811865475-4.504812383116985e-34j)]","[(-0.26191500699598164-1.6393416596238327e-18j), (0.7504217027049437+4.6969342216764945e-18j), (-0.6136467368271024+6.358925137227364e-18j)]",0.34852137621250157
Case5,1.5707963267948966,1.5707963267948966,"[(1.0471630218645944+1.6253981269399675e-19j), (-0.12518506040010874+2.612523468930596e-18j), (0.06459310914015207+2.7078709745912805e-18j)]","[(1.0000000000000004+2.465190328815662e-32j), 0j, 0j]","[(1.0471630218645944+1.6253981269399675e-19j), (-0.12518506040010874+2.612523468930596e-18j), (0.06459310914015207+2.7078709745912805e-18j)]",0.510404719076093
Case5,1.5707963267948966,1.5707963267948966,"[(1.0471630218645944+1.6253981269399675e-19j), (-0.12518506040010874+2.612523468930596e-18j), (0.06459310914015207+2.7078709745912805e-18j)]","[(1.0000000000000004+2.465190328815662e-32j), 0j, 0j]","[(1.0471630218645944+1.6253981269399675e-19j), (-0.12518506040010874+2.612523468930596e-18j), (0.06459310914015207+2.7078709745912805e-18j)]",0.49903599461645104
Case5,1.5707963267948966,1.5707963267948966,"[(1.0471630218645944+1.6253981269399675e-19j), (-0.12518506040010874+2.612523468930596e-18j), (0.06459310914015207+2.7078709745912805e-18j)]","[(1.0000000000000004+2.465190328815662e-32j), 0j, 0j]","[(1.0471630218645944+1.6253981269399675e-19j), (-0.12518506040010874+2.612523468930596e-18j), (0.06459310914015207+2.7078709745912805e-18j)]",0.594901669484649
