Case,Theta,Phi,timeErr,init,trace,noise,cost
Case1,1.3744467859455345,5.890486225480862,0.0,"[(-0.0027131099530803573+7.545985402049023e-18j), (0.1072381033101499-4.2522769265695497e-19j), (0.9942292463051298+6.879034733259717e-20j)]","[(-0.3753302775178659+0j), (-0.9061274463528878+0j), (0.19509032201612841-5.823896825452823e-18j)]","[(-0.0026717913478209484+7.431065827514765e-18j), (0.10723810371079852-4.25229922897304e-19j), (0.9942292500196358+6.876968524476328e-20j)]",1.761425332609541
Case1,1.3744467859455345,5.890486225480862,0.0,"[(-0.0027131099530803573+7.545985402049023e-18j), (0.1072381033101499-4.2522769265695497e-19j), (0.9942292463051298+6.879034733259717e-20j)]","[(-0.3753302775178659+0j), (-0.9061274463528878+0j), (0.19509032201612841-5.823896825452823e-18j)]","[(-0.0026354393273144484+7.329970261841823e-18j), (0.10723818037063622-4.2565665606631953e-19j), (0.9942299607507128+6.481621079935366e-20j)]",1.761462318701287
Case1,1.3744467859455345,5.890486225480862,0.0,"[(-0.0027131099530803573+7.545985402049023e-18j), (0.1072381033101499-4.2522769265695497e-19j), (0.9942292463051298+6.879034733259717e-20j)]","[(-0.3753302775178659+0j), (-0.9061274463528878+0j), (0.19509032201612841-5.823896825452823e-18j)]","[(-0.0027253449056389334+7.580016443510701e-18j), (0.10723811682584598-4.253029288018999e-19j), (0.9942293716122726+6.80933211864836e-20j)]",1.7613718875293125
Case1,1.3744467859455345,5.890486225480862,0.0,"[(-0.0027131099530803573+7.545985402049023e-18j), (0.1072381033101499-4.2522769265695497e-19j), (0.9942292463051298+6.879034733259717e-20j)]","[(-0.3753302775178659+0j), (-0.9061274463528878+0j), (0.19509032201612841-5.823896825452823e-18j)]","[(-0.002571349304573601+7.151722362595543e-18j), (0.1072382271313242-4.259169536562698e-19j), (0.9942303942798608+6.240468072370467e-20j)]",1.7615267954924878
Case1,1.3744467859455345,5.890486225480862,0.0,"[(-0.0027131099530803573+7.545985402049023e-18j), (0.1072381033101499-4.2522769265695497e-19j), (0.9942292463051298+6.879034733259717e-20j)]","[(-0.3753302775178659+0j), (-0.9061274463528878+0j), (0.19509032201612841-5.823896825452823e-18j)]","[(-0.0027131099530803573+7.545985402049023e-18j), (0.1072381033101499-4.2522769265695497e-19j), (0.9942292463051298+6.879034733259717e-20j)]",1.7613840106904242
Case2,1.1780972450961724,3.9269908169872414,2.5525440384922877,"[(0.19468499441236242+4.612790784786009e-17j), (-0.9494859437344895+9.153949245157913e-18j), (0.25309527799354636+2.1193160856743386e-18j)]","[(0.18023996225291253+0j), (-0.9061274450099953+0j), (0.3826834323650898+1.204792918653542e-18j)]","[(0.2165839744568616+5.0856777201529364e-17j), (-0.9452227345992392+1.1119478488653508e-17j), (0.2519588755977542+1.574912209821287e-18j)]",0.20616386396881156
Case2,1.1780972450961724,3.9269908169872414,2.5525440384922877,"[(0.19468499441236242+4.612790784786009e-17j), (-0.9494859437344895+9.153949245157913e-18j), (0.25309527799354636+2.1193160856743386e-18j)]","[(0.18023996225291253+0j), (-0.9061274450099953+0j), (0.3826834323650898+1.204792918653542e-18j)]","[(0.22870088413838002+5.2789637938142395e-17j), (-0.9371590867651189+1.476319975166659e-17j), (0.2498094270422636+5.649193669914215e-19j)]",0.2123665743717003
Case2,1.1780972450961724,3.9269908169872414,2.5525440384922877,"[(0.19468499441236242+4.612790784786009e-17j), (-0.9494859437344895+9.153949245157913e-18j), (0.25309527799354636+2.1193160856743386e-18j)]","[(0.18023996225291253+0j), (-0.9061274450099953+0j), (0.3826834323650898+1.204792918653542e-18j)]","[(0.2224457701915923+5.2064225525122443e-17j), (-0.9436925593159857+1.1818344384290012e-17j), (0.25155099158298866+1.381274448240565e-18j)]",0.21090336843505433
Case2,1.1780972450961724,3.9269908169872414,2.5525440384922877,"[(0.19468499441236242+4.612790784786009e-17j), (-0.9494859437344895+9.153949245157913e-18j), (0.25309527799354636+2.1193160856743386e-18j)]","[(0.18023996225291253+0j), (-0.9061274450099953+0j), (0.3826834323650898+1.204792918653542e-18j)]","[(0.2042615998087244+4.83796375476867e-17j), (-0.9493160887719208+9.232779637131035e-18j), (0.25305000140019224+2.097487393949615e-18j)]",0.19684371769091788
Case2,1.1780972450961724,3.9269908169872414,2.5525440384922877,"[(0.19468499441236242+4.612790784786009e-17j), (-0.9494859437344895+9.153949245157913e-18j), (0.25309527799354636+2.1193160856743386e-18j)]","[(0.18023996225291253+0j), (-0.9061274450099953+0j), (0.3826834323650898+1.204792918653542e-18j)]","[(0.19468499441236242+4.612790784786009e-17j), (-0.9494859437344895+9.153949245157913e-18j), (0.25309527799354636+2.1193160856743386e-18j)]",0.18739169066377048
