Case,Theta,Phi,timeErr,init,trace,cost,7
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.3581989996165881-4.606661599539132e-19j), (0.8995921960413256-1.1569314345334485e-18j), (0.24985467275042245+4.825911936089072e-18j)]",0.021404036989037034
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.35953647705937714-4.618770348029389e-19j), (0.8990967203142928-1.1550208495568895e-18j), (0.24971705825556764+4.823607598429056e-18j)]",0.02309937566400408
Case1,1.325359400733194,5.595961914206819,3.460660664920587,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3491094265655155+0j), (0.9050321764762148+0j), (0.24298017990326382-5.856450545287118e-19j)]","[(0.34039421390438857-4.440146671148346e-19j), (0.9059876588170389-1.181782158179656e-18j), (0.2516309623469142+4.8556030740407434e-18j)]",0.018321486789684593
Case1,1.325359400733194,5.595961914206819,3.460660664920587,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3491094265655155+0j), (0.9050321764762148+0j), (0.24298017990326382-5.856450545287118e-19j)]","[(0.3489181739540603-4.521087536039059e-19j), (0.9029721810814648-1.1700211046659094e-18j), (0.2507934370703238+4.84161580826041e-18j)]",0.010064509315212133
Case1,1.3008157081270237,1.423534171157875,1.36217494709303,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3357975781696976+0j), (0.9033849077195732+0j), (0.2667127574748984-5.4951781741860005e-18j)]","[(0.32701024341663687-4.3086600725965425e-19j), (0.9105528246133012-1.199736912951313e-18j), (0.25289890132092474+4.876737013695163e-18j)]",0.029769117033391412
Case1,1.3008157081270237,1.423534171157875,1.36217494709303,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3357975781696976+0j), (0.9033849077195732+0j), (0.2667127574748984-5.4951781741860005e-18j)]","[(0.33370150959693495-4.375057744133714e-19j), (0.9082962419880947-1.1908392360218627e-18j), (0.2522721532056828+4.866296674721908e-18j)]",0.021448016343128706
Case1,1.325359400733194,5.595961914206819,3.460660664920587,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3491094265655155+0j), (0.9050321764762148+0j), (0.24298017990326382-5.856450545287118e-19j)]","[(0.3419939343165988-4.455505656636954e-19j), (0.9054281783047109-1.179594128818832e-18j), (0.2514755710252319+4.853009575078091e-18j)]",0.016006894543464045
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.3598173309468051-4.621305811179898e-19j), (0.89899240709851-1.1546188795850824e-18j), (0.24968808607849935+4.8231223884175925e-18j)]",0.023455570590146524
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.3593503580445601-4.617088739192625e-19j), (0.8991657960861298-1.1552870837161223e-18j), (0.24973624350911172+4.823928888194852e-18j)]",0.022863366130894125
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.35205416709186316-4.550304158765021e-19j), (0.9018414191128292-1.165631071443864e-18j), (0.25047937680737875+4.836365169605939e-18j)]",0.01363468544976476
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.3552399535702308-4.579670845519348e-19j), (0.900680869712103-1.1611368255969703e-18j), (0.2501570433189324+4.8309730389865506e-18j)]",0.017658687840412246
Case1,1.325359400733194,5.595961914206819,3.460660664920587,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3491094265655155+0j), (0.9050321764762148+0j), (0.24298017990326382-5.856450545287118e-19j)]","[(0.34505013076099106-4.484632636925073e-19j), (0.9043510490485214-1.1753892748441563e-18j), (0.25117640682727704+4.848014377248646e-18j)]",0.01293665429817803
Case1,1.3008157081270237,5.64504929941916,3.4729325112236724,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.2910660988363069+0j), (0.918773547240205+0j), (0.2667127574748986+2.6268603906902325e-18j)]","[(0.30723555462158963-4.104961237930967e-19j), (0.9169243418072099-1.2250987311250035e-18j), (0.2546685402199872+4.906149188548913e-18j)]",0.03006286945918135
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.3594124888827073-4.617650221726066e-19j), (0.899142741560587-1.1551982216415385e-18j), (0.24972984029556644+4.823821656734985e-18j)]",0.0229421482810388
Case1,1.3008157081270237,1.423534171157875,1.36217494709303,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3357975781696976+0j), (0.9033849077195732+0j), (0.2667127574748984-5.4951781741860005e-18j)]","[(0.323713056141016-4.275463641934296e-19j), (0.9116459545386335-1.2040629993151998e-18j), (0.25320250957916607+4.8817900919892666e-18j)]",0.03385582597610326
Case1,1.325359400733194,5.595961914206819,3.4606606574700063,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.34910943330853067+0j), (0.9050321738751467+0j), (0.24298017990326393+9.76196329704997e-18j)]","[(0.3610518240223429-4.632420619277471e-19j), (0.8985327884118995-1.1528488541519139e-18j), (0.24956043059522773+4.820984176425257e-18j)]",0.02502202686902319
Case1,1.325359400733194,5.595961914206819,3.460660664920587,"[(0.3331639454228795+0j), (0.9084794290491945+0j), (0.2523230319743122+5.198091077563049e-18j)]","[(0.3491094265655155+0j), (0.9050321764762148+0j), (0.24298017990326382-5.856450545287118e-19j)]","[(0.3391623232361234-4.428266661964255e-19j), (0.9064164741232624-1.1834610094414292e-18j), (0.251750062433018+4.8575903597390984e-18j)]",0.02010129285027712
