Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16
Case1,0.5645049299419159,3.3870295796514958,1.9757672622472864,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708473704745+0j),(-0.3239469691389116+0j),(0.844853565249707+7.387185910238122e-18j),(-0.4358029480179556-5.683463127911381e-19j),(-0.31395529325139554-4.0944039986929917e-19j),(0.843509255632853-4.460330184962514e-19j),(-0.4257708473704745+0j),(-0.3239469691389116+0j),(0.844853565249707+7.387185910238122e-18j),0.021368080566018244
Case1,0.5890486225480862,3.3379421944391554,1.9634954159442013,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.46193976395596+0j),(-0.30865828725917444+0j),(0.8314696123025451+2.6265590886000644e-17j),(-0.4663573815519887-5.874980388641866e-19j),(-0.3085674781112495-3.887207438302718e-19j),(0.8290337171213463-4.751684021401589e-19j),(-0.44385530566321724+0j),(-0.316302628199043+0j),(0.838161588776126+1.6826388398119383e-17j),0.006944316183749466
Case1,0.5890486225480862,3.3379421944391554,1.9634954159442013,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.46193976395596+0j),(-0.30865828725917444+0j),(0.8314696123025451+2.6265590886000644e-17j),(-0.4620835089703466-5.85065833084363e-19j),(-0.3093488470201306-3.91681238092257e-19j),(0.8311330348295436-4.710622681648484e-19j),(-0.4498834584274648+0j),(-0.3137545145524201+0j),(0.8359309299515989+1.9972789227413136e-17j),0.0011708833903804061
Case1,0.5890486225480862,3.3379421944391554,1.9634954159442013,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.46193976395596+0j),(-0.30865828725917444+0j),(0.8314696123025451+2.6265590886000644e-17j),(-0.4444571296079134-5.741816939780131e-19j),(-0.3124755927768374-4.0367845003558657e-19j),(0.8395337181194444-4.542269146725647e-19j),(-0.4528975348095886+0j),(-0.3124804577291087+0j),(0.8348156005393355+2.1545989642060014e-17j),0.029364051424011828
Case1,0.5645049299419159,3.3870295796514958,1.9757672547967058,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708497840675+0j),(-0.3239469659666716+0j),(0.844853565249707-1.939331475178277e-17j),(-0.41212143098948284-5.507849964451741e-19j),(-0.3178226315204515-4.2475815089716845e-19j),(0.8538997019630562-4.239233874285658e-19j),(-0.44747219780448444+0j),(-0.31477375937662133+0j),(0.8368231934814099+1.3358128763291457e-17j),0.028819889954153965
Case1,0.5645049299419159,3.3870295796514958,1.9757672547967058,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708497840675+0j),(-0.3239469659666716+0j),(0.844853565249707-1.939331475178277e-17j),(-0.41528260680219653-5.532611230114106e-19j),(-0.31732155514785887-4.2275230669714395e-19j),(0.8525534511842155-4.2684495652969954e-19j),(-0.44385530646774823+0j),(-0.31630262714162966+0j),(0.838161588776126+7.899554844112418e-18j),0.024813539735192236
Case1,0.5399612373357456,3.436116964863836,1.9880391010997909,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.38928314591636765+0j),(-0.33579795099502485+0j),(0.8577286100002719+6.883786561505597e-18j),(-0.4022159103106694-5.427698534904144e-19j),(-0.3193630036359885-4.309640823503895e-19j),(0.8580382470505373-4.148354175737799e-19j),(-0.4360592835318367+0j),(-0.3190876734064004+0j),(0.8409568775224325+7.754445089454302e-18j),0.02967734880360351
Case1,0.5890486225480862,3.3379421944391554,1.9634954159442013,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.46193976395596+0j),(-0.30865828725917444+0j),(0.8314696123025451+2.6265590886000644e-17j),(-0.45708111017421904-5.821155271712115e-19j),(-0.3102518095042461-3.9512111007289027e-19j),(0.833559040153272-4.662669733760471e-19j),(-0.43929434358485214+0j),(-0.3177840001379972+0j),(0.8397709693699467+1.0068338314022594e-17j),0.008541609618942403
Case1,0.5645049299419159,3.3870295796514958,1.9757672622472864,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.4257708473704745+0j),(-0.3239469691389116+0j),(0.844853565249707+7.387185910238122e-18j),(-0.43533176617323066-5.680194955214834e-19j),(-0.3140348232593373-4.0975163253527756e-19j),(0.8437229303159732-4.45588472472642e-19j),(-0.43779173289436574+0j),(-0.3184687744714321+0j),(0.8403357022454756+9.770432491379875e-18j),0.020603694030231268
Case1,0.5890486225480862,3.3379421944391554,1.9634954159442013,(-0.4330093376304729+0j),(-0.3144252728556005+0j),(0.8447719581724408-1.5483982348611832e-18j),(-0.46193976395596+0j),(-0.30865828725917444+0j),(0.8314696123025451+2.6265590886000644e-17j),(-0.4428905363999473-5.731490159757515e-19j),(-0.31274612933359147-4.047278538277532e-19j),(0.8402605734855247-4.527397296087436e-19j),(-0.4402065360005252+0j),(-0.3174877257502064+0j),(0.8394490932511826+1.1419948330841954e-17j),0.0319280365548123
