Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,1.6935147898257479,2.2089323345553233,1.9512235621905356,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8449526058313086+0j),(0.5206445241200114+0j),(-0.12241067519921611-1.0687248465716171e-17j),(-0.8477171971346018-7.586899063419599e-19j),(0.5226749468999011+4.677836050172878e-19j),(-0.09047902279224643+9.810597245836325e-18j),(-0.8449526058313086+0j),(0.5206445241200114+0j),(-0.12241067519921611-1.0687248465716171e-17j),0.06845427878750149,0.03672666649015263
Case1,1.6689710972195777,2.1598449493429825,1.9144080307318607,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.7993398720945492-5.551115123125783e-17j),(0.5928308435645744+0j),(-0.09801714032956071-1.5993635450831752e-17j),(-0.8039464641525736-9.043830280547825e-19j),(0.5859865724529926+6.591935339290266e-19j),(-0.10143874842173864+1.0975629278721372e-17j),(-0.8221462389629288-2.7755575615628914e-17j),(0.5567376838422928+0j),(-0.11021390776438841-1.3340441958273962e-17j),0.03341736005802867,0.014872481634264384
Case1,1.6689710972195777,2.1598449493429825,1.9144080307318607,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.7993398720945492-5.551115123125783e-17j),(0.5928308435645744+0j),(-0.09801714032956071-1.5993635450831752e-17j),(-0.8176933605440005-8.61867547000761e-19j),(0.5672180672644801+5.978608459319194e-19j),(-0.0981897769169823+1.0631054241584056e-17j),(-0.8145441166734689-3.700743415417188e-17j),(0.5687687370830533+0j),(-0.10614831861944585-1.4224839789126557e-17j),0.048984946443306476,0.04413891170944742
Case1,1.6689710972195777,2.1598449493429825,1.9144080307318607,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.7993398720945492-5.551115123125783e-17j),(0.5928308435645744+0j),(-0.09801714032956071-1.5993635450831752e-17j),(-0.8066261973741635-8.963243894718483e-19j),(0.5824001431204957+6.47164020224166e-19j),(-0.1008179101297133+1.090983884192039e-17j),(-0.810743055528739-4.163336342344337e-17j),(0.5747842637034336+0j),(-0.10411552404697456-1.4667038704552857e-17j),0.05676873963594538,0.02051780589632579
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8254095742536641-8.367143171258285e-19j),(0.5562613385728608+5.638798489444883e-19j),(-0.09629308354972331+1.0429581552659551e-17j),(-0.8157851451138161-3.33066907387547e-17j),(0.568596891065424+0j),(-0.09800533195751314-9.328962284092178e-18j),0.039429085323397325,0.0456863769296728
Case1,1.6689710972195777,2.1598449493429825,1.9144080307318607,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.7993398720945492-5.551115123125783e-17j),(0.5928308435645744+0j),(-0.09801714032956071-1.5993635450831752e-17j),(-0.8154849152042856-8.688952115753041e-19j),(0.5702965750648791+6.07648227469095e-19j),(-0.09872269011492776+1.0687620441404725e-17j),(-0.8130442662772716-3.700743415417188e-17j),(0.5726358831486157+0j),(-0.09800730001952107-1.043974114521544e-17j),0.046210924305141454,0.03938487176727892
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8278141309839496-8.28684704926237e-19j),(0.5527812087200316+5.53362543222652e-19j),(-0.09569064650899327+1.036554104875853e-17j),(-0.8163170144453933-3.172065784643304e-17j),(0.5685232427721543+0j),(-0.09451548053097053-7.230729067648871e-18j),0.03595522591880229,0.03919925330582806
Case1,1.6689710972195777,2.1598449493429825,1.9144080307318607,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.7993398720945492-5.551115123125783e-17j),(0.5928308435645744+0j),(-0.09801714032956071-1.5993635450831752e-17j),(-0.8106553941173889-8.839993934649733e-19j),(0.5769429522661779+6.29141832112867e-19j),(-0.0998732287390745+1.0809681797138566e-17j),(-0.8141948716515378-3.469446951953614e-17j),(0.5715616928712068+0j),(-0.0949531880057943-8.326092365546731e-18j),0.04093201663973958,0.029059512103230156
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.840752913634598-7.839029933339558e-19j),(0.5334847364475163+4.974116354724163e-19j),(-0.09235027987211823+1.0010042657027549e-17j),(-0.8166124974073806-3.0839528461809905e-17j),(0.5684823270536711+0j),(-0.0925766741828913-6.0650439474025895e-18j),0.037557633586410996,0.033947800799112235
Case1,1.6444274046134073,2.2089323345553233,1.926679877034946,(-0.831225961943801+0j),(0.547787719175157+0j),(-0.0948262353543678+1.0366831009225223e-17j),(-0.8359535034541237+0j),(0.5438474005133856+0j),(-0.0735645635996674+1.2023343397750542e-17j),(-0.8326255308181862-8.123433299257662e-19j),(0.5457201314947492+5.324267541860593e-19j),(-0.09446832014536426+1.0235534971976974e-17j),(-0.8185465980120551-2.7755575615628914e-17j),(0.5660188343996426+0j),(-0.09067546312456892-4.256205212887277e-18j),0.035061251386030445,0.026104449882680056
