Al,Ap,tau,N,x,z,6
3.4849927315271847,0.888483272074073,1.76,13.0,1.7528849838868326,1.0855508900772144,0.03239033009338085
3.3902582685309097,1.7635034903522686,3.185,9.0,3.1843245306663985,2.548,0.09420016003517849
1.0339542912722013,1.3586034917605854,1.445,9.0,1.4638107135840042,1.1384406446834767,0.04075772267211904
4.255130463072981,0.6053559052312287,2.92,17.0,2.92,1.7885,0.04655969918147841
4.746023849649935,1.0838211545059027,2.775,13.0,2.7705248902454236,1.185844087180035,0.02630731646953379
3.124308842176169,1.4958148612825042,0.365,15.0,0.3758373471924836,0.12237827347060697,0.05519086717384128
0.6172347159120081,0.9936277744715823,2.585,9.0,2.575621319882922,1.6023575366162006,0.06976602355732858
2.543809723455848,0.582384729065321,2.7600000000000002,17.0,2.754299476870223,1.17962154535208,0.03049479023571762
2.8617621200056904,1.015020057856283,4.16,9.0,4.152448798722578,1.0056425694835285,0.032708661410255344
0.48070668252649745,1.7023112284641182,0.545,5.0,0.4910928337857282,0.34511624877503533,0.09145230271501517
4.038891163320243,0.6824664298925971,2.985,17.0,2.9856232531932267,1.8298706329830687,0.07559102378746105
2.7895098614445097,1.4805361323562054,4.945,9.0,4.953651635130109,3.9465898568937003,0.057754348195889246
4.724398506994047,0.7691064627770747,4.0200000000000005,17.0,4.0200000000000005,3.2160000000000006,0.06489896805366614
1.743940192561198,1.0023963193200067,3.055,9.0,3.0690579674383796,1.2815030472260536,0.08869129527647907
2.8570223946260453,1.0369358976413159,4.16,13.0,4.1503187938553205,1.7835124090727652,0.02953378143113305
3.5612207411951524,0.7878843064705804,1.745,13.0,1.7410704528255785,1.0734042681517053,0.016392406637329028
1.2407902405938047,1.1961745363570675,1.405,9.0,1.4120647669623434,1.120896771686838,0.043900150382869166
4.084014947765471,0.9952641000238546,2.97,13.0,2.9760372185490938,2.3681330029238827,0.021002189150782016
2.963030099335511,0.7161737441387706,4.115,13.0,4.109723744064833,1.7546214737931223,0.02082466392091392
2.742797565495283,1.185150316340163,1.915,9.0,1.9057459242529247,0.4697316576252679,0.042859361146119046
4.002809965128628,0.6261336786548208,1.665,15.0,1.6650000000000027,0.393899401825461,0.048700349133818925
1.9161063193567773,1.277747763922106,3.83,9.0,3.8426724863330057,2.3332477926460675,0.0850714951017945
3.0239226020938132,1.4446618827474613,0.37,15.0,0.38041681595546284,0.12398585036458838,0.05397195933758252
3.7249632689629295,1.7517443257626177,3.75,9.0,3.7430962471628106,0.192494184453161,0.0069042831560248655
0.5557201909165443,0.9259709045770833,2.615,9.0,2.602910939303467,1.6216198778213167,0.0675627562760986
2.35160434131808,0.6543273889516477,2.825,13.0,2.8278518189028037,1.7261747120117559,0.03946658286168775
3.1780936155985917,1.7084785048355304,2.54,9.0,2.533537609160049,1.0843281739373936,0.052996860021154016
3.106677970764255,1.2103965587970011,1.835,9.0,1.823531388003048,0.4519722431960773,0.033050444687951264
2.397696627880785,1.4824565810831059,1.995,9.0,1.9805893561557475,0.4940246928047336,0.0747096222660273
0.3400315873930629,0.5275422297477902,0.545,15.0,0.5590824759271101,0.18622117348368644,0.02536191150595478
1.980903255057882,1.3066343200208446,3.795,13.0,3.7810664120883737,0.20909693227833245,0.0515401709765685
1.5431411140419815,0.7749110845807013,4.045,13.0,4.034173901539489,0.21900620765522374,0.01809797927701051
4.29742317736764,1.1455477928147852,2.9,13.0,2.893921830032878,0.15359906374420282,0.013686825708050897
2.2511281265304235,1.3567982453270766,2.035,9.0,2.0242891839361636,0.4972009924380391,0.06672577167987001
1.5020328297912025,0.4194335930597708,4.08,17.0,4.08,2.499,0.046189147822792036
0.7162597672775461,1.183894902603689,2.54,9.0,2.529643275390739,1.5707249953400946,0.08066455819352664
2.4389966446102154,0.9766622999139487,2.79,9.0,2.7839027991741703,1.1909499785500661,0.06126594155006983
0.97650257263067,0.8867039076417352,1.465,13.0,1.4514357207306756,0.08716505319995908,0.025554704775318487
4.32207466323018,0.8993970674717516,2.895,13.0,2.8933980521146934,0.14719431101852057,0.019484496819826978
4.305218900774156,1.3026110115076632,4.1850000000000005,9.0,4.1789622181001915,1.7864032522375597,0.03725033514622373
1.0937709143589929,1.789049919611646,3.325,9.0,3.312519956510455,2.053038097553999,0.031947022794642836
4.246353991760017,0.9578845580055706,2.92,13.0,2.9143429525639286,1.7962566279887882,0.017348982944110608
1.4887810718028622,1.446575827820874,1.35,13.0,1.337481808770553,0.08012829543606265,0.06278867829689683
2.029518005817563,1.4666401118887078,2.09,9.0,2.082988997848814,0.5079369424164873,0.07878179260804924
2.9157277069058867,1.7053853199605764,4.86,9.0,4.856928720824829,0.24429829838201453,0.08313463613662672
4.996358702164551,1.8135247653359858,2.7,13.0,2.6913421940537985,0.14624549063941938,0.04652306350247197
3.77874952484222,1.7916802725553787,3.73,9.0,3.721226650338561,2.299791394000982,0.008840321416094723
1.4928129477230379,1.8831148542043485,1.34,7.0,1.327932216978749,0.3231066457242652,0.010339485806189059
4.177427041519171,0.5277487496685519,2.945,17.0,2.945,0.14725,0.09063282146184921
2.286891909259282,0.8551152511689817,2.845,9.0,2.843343932269127,1.211365991987655,0.09107704361847739
1.9505503694477446,1.1261386960935227,3.815,13.0,3.802850834563475,0.2081944643623809,0.03403331253844461
4.435025333761895,1.472497224343585,4.125,9.0,4.1159907476318125,0.21673234097075902,0.030457463512108447
3.500461248432547,1.2190133255812694,1.7550000000000001,9.0,1.7455556722202576,1.0925888659424492,0.035884881691446886
3.226904298388016,1.2991985387602643,3.98,9.0,3.988010859823431,2.4282522134922346,0.03230432713979193
4.1288470432435185,0.597329035969406,2.96,17.0,2.96,0.148,0.052788961070755334
1.5421235303293956,0.8690124077038105,0.45,9.0,0.4420312748645353,0.19818242641571415,0.03643383330404516
0.6524649786582226,0.633989746207695,0.515,9.0,0.508898210746602,0.2248958490584928,0.029070935157061
4.491150651487525,1.5175835252951633,2.84,13.0,2.8313684227228553,0.15418567934067667,0.022432508479331995
4.532376264354092,1.8174044351058742,0.315,9.0,0.3088954249546526,0.13795208402549652,0.05689972804618334
4.9166399684847235,1.7084454648343843,3.93,9.0,3.919777698321755,0.2086625469002004,0.0041453539720818795
2.6341415900387806,1.1011056973375315,2.72,9.0,2.7137075722207307,1.162999762038094,0.05101332728801073
3.7462055175308993,1.6775682800016922,0.34,9.0,0.3327426930712511,0.1534201774904485,0.05832922088057849
1.4618472641464502,0.7527545547536745,4.095,13.0,4.082192743488207,0.22122356139817562,0.024048226723954926
1.7103997351934965,1.4383407647719644,4.805,13.0,4.797376831489634,2.051603462609096,0.08710271909118926
4.083302763641983,1.3747438214170673,1.645,9.0,1.6362241723266164,0.40563269369055893,0.014856416123647522
1.9924397824898947,1.456215637439656,2.1,9.0,2.0946426083010565,0.5086989012528634,0.08028774907461787
3.291531118481176,1.075879718070866,1.795,9.0,1.789863874194202,0.4380683234033909,0.03093596882298111
0.798533264060495,0.35226401502321136,0.505,15.0,0.5053125667734307,0.1927541179551478,0.024851072583701655
0.5685958312400692,0.6134247050460597,0.525,9.0,0.5165119668060859,0.2275048495920555,0.028382607456891584
4.488757873166275,0.986015736213943,2.85,13.0,2.8541956806977584,2.27322698003987,0.012805522830949921
2.6345673262892557,1.8153687898144353,1.93,13.0,1.9402694501225712,1.1576961397763885,0.07288907168272082
1.9123810091866407,0.9954127349432359,3.84,9.0,3.836733803677136,3.0719999999999885,0.048823960372066565
2.3094626818883177,1.0119811487288306,2.835,9.0,2.827416210179147,1.2135220870427657,0.0562675522461823
4.604141901181225,1.304947160581102,4.0600000000000005,9.0,4.054851859379879,0.9699603975370593,0.02311895006765543
3.014311673232811,1.4234147329139,0.37,15.0,0.3809350173505156,0.12427701534252439,0.05339867574086932
0.6500905091348086,0.8121244487449827,1.545,9.0,1.560424685096919,1.2247217917254853,0.03484176058396718
2.1826076526262637,0.9849394184563983,2.88,9.0,2.8751597723357034,1.2332384624000012,0.06411718408133804
1.637710005489538,1.4917755863925235,4.8500000000000005,13.0,4.864275161478493,2.1080254551632054,0.08621359930043719
0.42349500821698755,0.3376717721835734,0.54,13.0,0.538355592154876,0.2360271584985958,0.04552604075203474
0.7261962130980225,1.1200797595704441,2.535,9.0,2.529060501425185,1.5677607721012223,0.07255699491017936
1.0505205124608297,0.3396589088987704,0.485,17.0,0.48603133644530766,0.3855191869714936,0.036651127028123336
3.836210432036398,1.32031649503621,1.69,9.0,1.6797948766202995,0.41684585684655673,0.01775059786606526
2.8572886345595405,1.1019554745256757,4.16,9.0,4.150817405733438,1.008156669883558,0.035923656493196864
3.4809474021560343,0.8566094320500456,1.76,13.0,1.7546715401623647,1.085043437227722,0.027114089231075358
1.5665071232463732,1.1453664322658217,3.13,9.0,3.1441968687026507,1.30935808896936,0.09059237754586302
4.501285760388086,1.4261165234795734,4.1,9.0,4.09326330554399,1.7523777184463256,0.039303099794303464
4.854299084814398,1.7848017214809457,1.52,9.0,1.5115990519494547,0.3741235114410296,0.00678650058067322
2.7675453279473987,1.3805987404960318,4.96,9.0,4.969795618053102,3.961272090190382,0.05316919807665024
4.744705001882881,1.6380934177619217,2.77,9.0,2.7623828153144148,1.7090388169038175,0.04556244951811243
3.739732738708174,1.3844768718452518,3.075,9.0,3.0678044075077158,1.894862449390098,0.014774511250321674
4.744942260538071,1.2056773144199502,4.005,15.0,4.01444840460042,2.8185718869245693,0.016738909608383
3.4863838474197957,1.7187526202594292,3.1550000000000002,9.0,3.1439635576950944,1.9477271145293304,0.011810222213595714
2.7663883091930703,1.8526347744739025,4.94,9.0,4.955451427903867,3.9360965231670764,0.06287826342989605
4.956974686194132,1.6077920933841834,2.715,9.0,2.7078048470496663,1.6731843579356305,0.04519556457733303
4.48292059346059,1.7762743218014172,0.315,9.0,0.31086495837364464,0.13815311227219298,0.05603262967294327
1.1847443086122287,0.6153115887902494,0.47500000000000003,15.0,0.4641688415492566,0.32409240582135507,0.0279044646590401
3.0687777198645754,1.2270012155912104,0.37,9.0,0.36555069658499184,0.15826127024184197,0.04531821378086736
2.0473637067763506,0.5616547116300298,2.94,13.0,2.9450553101246606,2.344844680375447,0.029356779099053085
3.640652237111546,1.1175605720750446,1.73,9.0,1.7221189699229613,1.072800754353548,0.02228310474965991
4.814565479858232,1.3026188310335096,2.755,9.0,2.757275884437294,2.1978297282752766,0.052315989928052156
3.447679561579797,1.6691574229196762,3.17,9.0,3.1700275284456008,1.9416938211140018,0.08716653686147574
1.5618938259225554,1.2455341431629667,4.915,13.0,4.929663212232121,2.1350682495177145,0.0657783275263384
0.7949087927321413,0.8118683240843582,1.51,9.0,1.5196021352404077,1.203086810940366,0.03324788606165662
1.5128578022810644,0.32913815986695627,4.075,17.0,4.075,2.4959375,0.08968985903819118
2.3017149601965157,1.3014514009515477,2.02,9.0,2.0127018623339734,0.4935316524145749,0.0612461881853599
3.7322219578089473,1.620224708418403,0.34,9.0,0.3341942830723674,0.15250715659646302,0.055212526831326984
0.6092003895810063,1.7913761404309556,0.53,15.0,0.5491125068322332,0.27532093783678974,0.09127563866677285
4.259455725749385,1.0287568627391555,2.915,13.0,2.908925082527122,1.24665465238879,0.03650182741266074
3.2102798116064863,1.244131625800531,1.81,9.0,1.8009004962529487,0.44743569445300596,0.030402908016600182
4.8817054957661465,1.0031455090738797,3.955,13.0,3.9520271713719133,1.685587244183589,0.01264201499917985
0.6001826910252241,1.6751721542716127,3.585,9.0,3.575230145263038,0.8534696759710462,0.030490818305632612
4.349281260977179,1.1272949511962196,2.8850000000000002,13.0,2.879047935502086,0.15241312999453646,0.01574197242252271
3.4010867964216214,1.511903797300419,0.355,9.0,0.34635738187599463,0.15887382564429636,0.053564333666195375
1.2946341353978141,0.38982633811109946,0.47000000000000003,17.0,0.46961480260160676,0.37503700650401706,0.023261359183881704
2.555349691856628,1.508479638990403,4.3,17.0,4.310416916051169,1.8090402110947483,0.06391841900216969
2.418826219500874,0.9821768223190631,2.795,9.0,2.7903003599352654,1.194730299711863,0.059379093452585116
4.813360680079095,1.2375223770259691,3.98,9.0,3.979969292587738,1.691423231469346,0.05616074902623269
4.292343194718261,1.4049812014824152,2.9,13.0,2.8906187341874983,0.1567760625448662,0.012905449298392581
1.9708130151843712,1.3031725887149084,3.8000000000000003,13.0,3.786255959435961,0.20953145324294675,0.050771020280474685
