nfev,nlfev,nljev,nlhev,xl,funl,x,fun,nit,message,success
671,482,101,0,"[[ 0.68272976 11.          0.51543242]
 [ 0.73007692 11.          0.51564251]
 [ 0.77478914  7.          0.5151172 ]
 [ 0.77729761 11.          0.51580181]
 [ 0.84946293  7.          0.51512547]
 [ 0.76375768  3.          0.50931023]
 [ 0.66393332 15.          0.52454821]
 [ 0.6504915   1.          0.54694959]
 [ 0.6965422  13.          0.30920713]
 [ 0.83732996 15.          0.52451821]
 [ 0.70053792  7.          0.13132813]
 [ 0.69131712 13.          0.03743144]
 [ 0.8170488  13.          0.34860368]
 [ 0.63633447  1.          0.03743144]
 [ 0.77073483  3.          0.13548556]
 [ 0.80477595 17.          0.17779934]
 [ 0.81612263 13.          0.07000936]
 [ 0.85624834 13.          0.18946203]]","[0.76018643 0.79173185 0.7938178  0.81165189 0.8160962  0.87166253
 0.89437051 0.91475761 0.92309641 0.92879857 0.93221989 0.94342271
 0.94943997 0.95063142 0.95204783 0.95848978 0.95868381 0.9611338 ]",[ 0.68272976 11.          0.51543242],0.7601864282942509,4,Optimization terminated successfully.,True
453,264,59,0,"[[1.91567351e-01 1.50000000e+01 2.44283783e-02]
 [1.91461384e-01 1.50000000e+01 5.90415682e-02]
 [1.96014424e-01 9.00000000e+00 1.06728714e-01]
 [1.91894508e-01 7.00000000e+00 4.85034974e-02]
 [1.83230874e-01 7.00000000e+00 5.72652347e-02]
 [1.96014424e-01 1.00000000e+00 8.52236625e-03]
 [1.76839100e-01 1.69980467e+01 1.22974684e-01]
 [1.70447325e-01 1.10000000e+01 2.97457849e-02]
 [1.67632326e-01 1.10000000e+01 7.94556396e-02]
 [1.64055550e-01 5.00000000e+00 6.79868898e-02]
 [1.57250554e-01 1.50000000e+01 2.41617412e-02]
 [1.66777625e-01 1.10000000e+01 1.27032288e-01]
 [1.48957970e-01 9.00000000e+00 3.79985698e-02]
 [1.48582056e-01 9.00000000e+00 9.50862551e-02]]","[0.99968722 0.99969944 0.9997043  0.99971288 0.99975069 0.99981083
 0.99982425 0.99983892 0.99985132 0.99986655 0.99987329 0.99988394
 0.99990741 0.9999272 ]",[ 0.19156735 15.          0.02442838],0.9996872238000467,4,Optimization terminated successfully.,True
464,275,60,0,"[[ 0.69978496  7.          0.51492576]
 [ 0.84946481  7.          0.51512457]
 [ 0.69835539 13.          0.46947914]
 [ 0.75878544  3.          0.51403485]
 [ 0.81871479 13.          0.46924575]
 [ 0.69615116 13.          0.18981438]
 [ 0.7872399   1.          0.39361995]
 [ 0.64496763  1.          0.03793927]
 [ 0.77072461  3.          0.13549292]
 [ 0.77551135  7.          0.13055391]
 [ 0.87260326 17.          0.32248381]
 [ 0.81090668 13.          0.03793927]]","[0.75154997 0.8160962  0.86495593 0.87239672 0.90589498 0.92875836
 0.93928814 0.95203407 0.95204783 0.95246617 0.96494284 0.96800113]",[0.69978496 7.         0.51492576],0.751549966173798,4,Optimization terminated successfully.,True
555,366,79,0,"[[ 0.62351234  7.          0.51461584]
 [ 0.63516123 11.          0.51507222]
 [ 0.69978435  7.          0.51492569]
 [ 0.68272832 11.          0.51543359]
 [ 0.61551543 13.          0.30997332]
 [ 0.64542086 15.          0.51084287]
 [ 0.6137938   3.          0.11869458]
 [ 0.76375307  3.          0.50931566]
 [ 0.6137938  13.          0.03610552]
 [ 0.77626863  3.          0.49774399]
 [ 0.74949    15.          0.51111219]
 [ 0.64087294  1.          0.55670083]
 [ 0.77675635 13.          0.30892655]
 [ 0.7747624   5.          0.18321834]
 [ 0.77626863 17.          0.17150121]
 [ 0.83042691 17.          0.57768829]]","[0.64691364 0.70442272 0.75154997 0.76018643 0.83882445 0.84726803
 0.84956202 0.87166254 0.87485846 0.87610785 0.89462547 0.91488685
 0.94670568 0.95154656 0.96738515 0.97265692]",[0.62351234 7.         0.51461584],0.6469136426996218,4,Optimization terminated successfully.,True
499,310,67,0,"[[ 0.52989728  9.          0.11482951]
 [ 0.50488797 15.          0.27186056]
 [ 0.50484326 15.          0.16814271]
 [ 0.53468381 11.          0.27223307]
 [ 0.50487342 11.          0.26598329]
 [ 0.51982567  9.          0.41663916]
 [ 0.55985888 17.          0.02603995]
 [ 0.55985888 17.          0.41663916]
 [ 0.55985888  3.          0.17326748]
 [ 0.47125139 15.          0.16126467]
 [ 0.48173903  3.          0.0805071 ]
 [ 0.48173903  7.          0.41663916]
 [ 0.48173903  3.          0.25231887]
 [ 0.44267911 17.          0.02603995]
 [ 0.5989188   1.          0.0484653 ]]","[0.02900815 0.0295641  0.0296822  0.03039851 0.0306608  0.03433852
 0.55874073 0.67205938 0.72006696 0.75956446 0.81129531 0.81672763
 0.82010243 0.92226275 0.95270664]",[0.52989728 9.         0.11482951],0.02900814635789237,4,Optimization terminated successfully.,True
676,487,103,0,"[[ 0.62924352  7.          0.50976752]
 [ 0.69978274  7.          0.51492687]
 [ 0.73007863 11.          0.51564067]
 [ 0.77479001  7.          0.51511301]
 [ 0.77730093 11.          0.51579963]
 [ 0.84946486  7.          0.5151251 ]
 [ 0.82441405 11.          0.5159653 ]
 [ 0.76375691  3.          0.50930914]
 [ 0.68476501 17.          0.45342548]
 [ 0.62924352 13.          0.46140087]
 [ 0.66817093  5.          0.18585165]
 [ 0.65051722  1.          0.54690324]
 [ 0.69680245 13.          0.34896631]
 [ 0.76813247 15.          0.52450631]
 [ 0.68476501 17.          0.17581804]
 [ 0.69598402 13.          0.0703259 ]
 [ 0.62924352  1.          0.03701432]
 [ 0.77643481 15.          0.23333633]
 [ 0.77623176 15.          0.09523863]
 [ 0.62924352 13.          0.17671869]
 [ 0.85132947 13.          0.31382898]
 [ 0.85132947 13.          0.03701432]]","[0.6576273  0.75154997 0.79173185 0.7938178  0.81165189 0.8160962
 0.8252195  0.87166253 0.89253469 0.90268492 0.91439452 0.91475761
 0.91906725 0.92063676 0.92366984 0.93064316 0.95006457 0.950302
 0.95290086 0.9616808  0.96435819 0.96935271]",[0.62924352 7.         0.50976752],0.657627303775931,4,Optimization terminated successfully.,True
687,498,102,0,"[[ 0.94300183  3.          0.50623503]
 [ 0.80155155  1.          0.39190041]
 [ 1.0844521  13.          0.56666937]
 [ 0.93587301  9.          0.58780507]
 [ 0.82377326 11.          0.27095194]
 [ 0.84597999 15.          0.30221928]
 [ 1.0844521   5.          0.39252172]
 [ 0.85002461  7.          0.13017046]
 [ 0.94938392  9.          0.21609422]
 [ 0.80155155 17.          0.57758862]
 [ 0.83331893  7.          0.67661783]
 [ 0.90636559 15.          0.66199951]
 [ 0.87227669 17.          0.04715009]
 [ 1.05864414 11.          0.12962618]
 [ 1.05496591  7.          0.67679972]
 [ 1.0844521  17.          0.04715009]
 [ 1.01372696 17.          0.57758862]
 [ 1.0844521   1.          0.66660921]]","[0.90223005 0.94350899 0.94532175 0.95467301 0.95552999 0.95624232
 0.95928869 0.96156359 0.96661728 0.96754938 0.97043076 0.97157675
 0.9728919  0.97562136 0.97580415 0.97874975 0.98144182 0.9875261 ]",[0.94300183 3.         0.50623503],0.902230048745179,4,Optimization terminated successfully.,True
627,438,93,0,"[[ 0.62350881  7.          0.51461968]
 [ 0.63516079 11.          0.51507264]
 [ 0.69978363  7.          0.51492563]
 [ 0.68273214 11.          0.51542999]
 [ 0.73007876 11.          0.51563993]
 [ 0.77478923  7.          0.51511739]
 [ 0.6093555   3.          0.12314084]
 [ 0.6093555   9.          0.03661688]
 [ 0.63779372 15.          0.37186621]
 [ 0.76375746  3.          0.50931017]
 [ 0.77065549  3.          0.50286658]
 [ 0.63724662 15.          0.23383994]
 [ 0.66896575  5.          0.28884765]
 [ 0.63623883  1.          0.56141824]
 [ 0.74249145 15.          0.37131251]
 [ 0.77073511  3.          0.13548177]
 [ 0.77598362  9.          0.1588786 ]
 [ 0.71688883 17.          0.1702611 ]
 [ 0.77235816 13.          0.03584444]]","[0.64691365 0.70442272 0.75154997 0.76018643 0.79173185 0.7938178
 0.83523895 0.85328962 0.86691889 0.87166253 0.87303907 0.88113599
 0.9102118  0.9150403  0.93245375 0.95204783 0.95207565 0.95432519
 0.95894165]",[0.62350881 7.         0.51461968],0.6469136466849269,4,Optimization terminated successfully.,True
1152,963,192,0,"[[ 0.84946489  7.          0.51512452]
 [ 0.92418971  7.          0.51488333]
 [ 0.87140016 11.          0.51618886]
 [ 1.07230986  7.          0.51463767]
 [ 0.99796717  7.          0.51531669]
 [ 1.01261892 11.          0.51682352]
 [ 1.1189728   3.          0.50321826]
 [ 0.93876792  3.          0.51009628]
 [ 1.09558983 15.          0.51125852]
 [ 0.98178885  3.          0.47568061]
 [ 0.85146213  7.          0.35149306]
 [ 0.83452052  1.          0.35797016]
 [ 0.92547691  7.          0.3516025 ]
 [ 1.12340249  3.          0.30215071]
 [ 0.94847746  3.          0.30443085]
 [ 0.88014923 15.          0.12965792]
 [ 1.07312255  7.          0.35160254]
 [ 1.12197032  3.          0.12976062]
 [ 0.94640273  3.          0.13285575]
 [ 0.94932187 15.          0.12967847]
 [ 0.83452052  9.          0.04908944]
 [ 1.12905718 13.          0.23537563]
 [ 0.87215176 15.          0.69524452]
 [ 0.94113819 15.          0.69582766]
 [ 1.06032452  9.          0.04908944]
 [ 0.83512722  9.          0.78543108]
 [ 0.83452052  1.          0.78543108]
 [ 1.05476967 13.          0.78543108]
 [ 0.98924544  5.          0.78543108]]","[0.8160962  0.83085162 0.83513883 0.85091679 0.85815055 0.89126993
 0.90117949 0.90186263 0.92471916 0.94099502 0.95303369 0.9550275
 0.9587184  0.96272265 0.96363341 0.96387275 0.96443324 0.96721914
 0.96790219 0.96799472 0.96977292 0.97307293 0.9732399  0.97506375
 0.97595618 0.98439001 0.99039077 0.99157129 0.99234414]",[0.84946489 7.         0.51512452],0.8160962015687891,4,Optimization terminated successfully.,True
413,224,51,0,"[[ 0.36426311  5.          0.07658882]
 [ 0.36426311  5.          0.1800732 ]
 [ 0.35611628 11.          0.0329382 ]
 [ 0.35543936 11.          0.22195499]
 [ 0.32939666 15.          0.16321325]
 [ 0.3027743  13.          0.10492361]
 [ 0.30748745 11.          0.22256942]
 [ 0.31675053  7.          0.14706374]
 [ 0.28855399  3.          0.09855928]
 [ 0.29299424  3.          0.09415459]
 [ 0.30210387  3.          0.07522825]]","[0.98780796 0.98854921 0.98992172 0.99132163 0.99460646 0.99701172
 0.99704272 0.99736191 0.99819274 0.99820979 0.99846757]",[0.36426311 5.         0.07658882],0.9878079596909908,4,Optimization terminated successfully.,True
