nfev,nlfev,nljev,nlhev,xl,funl,x,fun,nit,message,success
552,363,74,0,"[[ 0.7718967   5.          0.51361944]
 [ 0.70226549 13.          0.51216786]
 [ 0.87674641  5.          0.51372183]
 [ 0.82041426 13.          0.5137684 ]
 [ 0.72918431 11.          0.27114905]
 [ 0.72872421 11.          0.1301173 ]
 [ 0.85061112  7.          0.27789184]
 [ 0.85002236  7.          0.13017287]
 [ 0.91806165 11.          0.27099503]
 [ 0.92466651  7.          0.27796089]
 [ 0.94898018  9.          0.04361979]]","[0.82326526 0.82595653 0.84920225 0.86455277 0.93790727 0.94191609
 0.95797366 0.96156359 0.96312718 0.96326745 0.96855304]",[0.7718967  5.         0.51361944],0.8232652609592662,4,Optimization terminated successfully.,True
317,128,31,0,"[[1.67647656e-01 1.10000000e+01 7.94249049e-02]
 [1.69848643e-01 5.00000000e+00 6.22044769e-02]
 [1.57276818e-01 1.50000000e+01 2.41507940e-02]
 [1.71046030e-01 1.30000000e+01 3.84784958e-02]
 [1.71046030e-01 1.00000000e+00 7.43678392e-03]
 [1.71046030e-01 1.30000000e+01 1.18988543e-01]
 [1.54313266e-01 5.00000000e+00 7.81216232e-02]
 [1.48974274e-01 9.00000000e+00 3.79824237e-02]
 [1.59890854e-01 1.70000000e+01 9.11006030e-02]
 [1.32002915e-01 9.00000000e+00 5.58261706e-02]]","[0.99985132 0.99986103 0.99987329 0.99988175 0.99988244 0.99988503
 0.9998932  0.99990741 0.99993365 0.99996198]",[ 0.16764766 11.          0.0794249 ],0.9998513164220937,4,Optimization terminated successfully.,True
326,137,33,0,"[[1.72823422e-01 1.30000000e+01 3.66085050e-02]
 [1.67702549e-01 1.10000000e+01 7.93499128e-02]
 [1.70099134e-01 5.00000000e+00 6.18888915e-02]
 [1.72823422e-01 1.30000000e+01 1.17255476e-01]
 [1.57244665e-01 1.50000000e+01 2.41663495e-02]
 [1.72823422e-01 1.00000000e+00 7.51406182e-03]
 [1.55916783e-01 5.00000000e+00 7.79583913e-02]
 [1.48970410e-01 9.00000000e+00 3.79490365e-02]
 [1.61552329e-01 1.70000000e+01 9.20472572e-02]
 [1.50281236e-01 1.50000000e+01 1.00995651e-01]]","[0.99985087 0.99985132 0.99986103 0.99986185 0.99987329 0.9998772
 0.99988832 0.99990741 0.9999105  0.99992313]",[ 0.17282342 13.          0.03660851],0.9998508695910767,4,Optimization terminated successfully.,True
589,400,81,0,"[[ 0.7718967   5.          0.51361944]
 [ 0.702497   13.          0.51198974]
 [ 0.87675116  5.          0.51371488]
 [ 0.82041484 13.          0.51376767]
 [ 0.72918447 11.          0.27114887]
 [ 0.74187731 15.          0.26788429]
 [ 0.72872422 11.          0.13011729]
 [ 0.85061133  7.          0.27789204]
 [ 0.85002194  7.          0.13017332]
 [ 0.91806159 11.          0.2709951 ]
 [ 0.92466645  7.          0.2779612 ]
 [ 0.94898044  9.          0.04361929]]","[0.82326526 0.82636338 0.84920225 0.86455277 0.93790727 0.94157193
 0.94191609 0.95797366 0.96156359 0.96312718 0.96326745 0.96855304]",[0.7718967  5.         0.51361944],0.8232652609592608,4,Optimization terminated successfully.,True
1047,858,164,0,"[[ 0.8494643   7.          0.51512257]
 [ 0.92418852  7.          0.51488401]
 [ 0.87139781 11.          0.51619118]
 [ 1.10613525 11.          0.51671323]
 [ 1.07230986  7.          0.51677827]
 [ 0.99796728  7.          0.51531615]
 [ 1.11896775  3.          0.50324064]
 [ 0.93877213  3.          0.51009601]
 [ 0.95730181 15.          0.51131514]
 [ 1.09558967 15.          0.51125862]
 [ 1.02528709 11.          0.5172258 ]
 [ 0.83921943 17.          0.41960972]
 [ 0.85146211  7.          0.35149296]
 [ 0.83921943  1.          0.35314375]
 [ 0.92547694  7.          0.35159921]
 [ 1.12340179  3.          0.30214851]
 [ 1.10651238 11.          0.31800973]
 [ 0.94847589  3.          0.30443143]
 [ 1.12196353  3.          0.12977094]
 [ 0.94639909  3.          0.1328562 ]
 [ 0.96489196 11.          0.12986129]
 [ 1.06013287  9.          0.04936585]
 [ 0.98731698 17.          0.78985358]
 [ 1.13541452 17.          0.78985358]
 [ 0.83921943  9.          0.04936585]
 [ 1.06304504  9.          0.78985358]
 [ 0.83921943  1.          0.78985358]
 [ 0.9866889   5.          0.78985358]]","[0.8160962  0.83085162 0.83513883 0.84774218 0.85188035 0.85815055
 0.90117949 0.90186263 0.92292568 0.92471916 0.93316857 0.94061035
 0.95303369 0.95670169 0.95871841 0.96272265 0.96281392 0.96363341
 0.96721914 0.96790219 0.96898133 0.97610288 0.9830544  0.98443601
 0.98841469 0.98941674 0.99035747 0.99087481]",[0.8494643  7.         0.51512257],0.8160962032214399,4,Optimization terminated successfully.,True
502,313,70,0,"[[ 0.46157589 13.          0.02838897]
 [ 0.46157589  5.          0.08441046]
 [ 0.46157589  3.          0.27245222]
 [ 0.45300416 11.          0.12546544]
 [ 0.45280743 11.          0.26699438]
 [ 0.43147311  3.          0.13081003]
 [ 0.37968604 13.          0.30850793]
 [ 0.37498048  5.          0.16905853]
 [ 0.36437093 15.          0.12837814]
 [ 0.3641255  15.          0.19772256]
 [ 0.46157589 17.          0.24583933]
 [ 0.35621617  5.          0.08468356]
 [ 0.35621617  5.          0.2926656 ]
 [ 0.34116479 13.          0.02790851]]","[0.82648323 0.83093223 0.8746331  0.88149528 0.88822638 0.93614281
 0.9868768  0.987269   0.98821253 0.98892253 0.98908835 0.99017994
 0.99207749 0.99262733]",[ 0.46157589 13.          0.02838897],0.8264832308501666,4,Optimization terminated successfully.,True
1097,908,172,0,"[[ 0.84946556  7.          0.51512386]
 [ 0.92418954  7.          0.51488337]
 [ 1.07230986  7.          0.51464103]
 [ 0.99796959  7.          0.51531486]
 [ 1.05864424 11.          0.51691813]
 [ 0.93877298  3.          0.51009995]
 [ 0.95858779  3.          0.49245193]
 [ 0.81479962  1.          0.37822623]
 [ 0.88219561 16.99819996  0.58928766]
 [ 0.81635409 13.          0.22935156]
 [ 1.10237595 17.          0.58713502]
 [ 0.91839542 11.          0.31792273]
 [ 0.94847779  3.          0.30443075]
 [ 0.88844124  9.          0.04792939]
 [ 1.09522752 13.          0.22936674]
 [ 0.94639868  3.          0.13285676]
 [ 1.10237595  3.          0.32166403]
 [ 0.95976849 17.          0.05339047]
 [ 1.07230987  7.          0.12965804]
 [ 0.95858779 15.          0.39944597]
 [ 0.99648579  7.          0.13220542]
 [ 1.00047638 11.          0.66813496]
 [ 0.91030598  3.          0.71276539]
 [ 0.88773041 13.          0.76027659]
 [ 1.10237595  1.          0.64475019]
 [ 0.83792464  1.          0.76687023]]","[0.8160962  0.83085162 0.85091679 0.85815055 0.88315898 0.90186263
 0.91182082 0.94806195 0.95287211 0.9561796  0.95994119 0.96080628
 0.96363341 0.96648834 0.96708252 0.96790219 0.96885444 0.96925085
 0.97136348 0.9724847  0.9724925  0.97459178 0.97530305 0.97603872
 0.98216633 0.99253431]",[0.84946556 7.         0.51512386],0.8160962016496093,4,Optimization terminated successfully.,True
489,300,72,0,"[[7.92983225e-02 1.70000000e+01 1.98780895e-02]
 [7.94215380e-02 9.00000000e+00 5.06422294e-02]
 [7.68317053e-02 1.69980463e+01 2.85467471e-02]
 [7.67204885e-02 1.10000000e+01 2.85744238e-02]
 [7.42418725e-02 1.10000000e+01 3.06689590e-02]
 [7.42418725e-02 1.70000000e+01 5.52497656e-02]
 [6.90622070e-02 1.10000000e+01 3.67715197e-02]
 [7.64463156e-02 9.00000000e+00 3.45311035e-03]
 [6.76115218e-02 1.10000000e+01 4.23006018e-02]
 [6.38825415e-02 1.10000000e+01 4.25753504e-02]
 [6.52534329e-02 3.00000000e+00 3.45311035e-03]
 [5.89863559e-02 1.50000000e+01 1.64022742e-02]
 [6.12927087e-02 3.00000000e+00 9.92769226e-03]
 [5.99354310e-02 1.50000000e+01 4.83798867e-02]
 [6.12927087e-02 7.00000000e+00 2.28768561e-02]
 [6.64723742e-02 7.00000000e+00 2.28768561e-02]]","[0.99999365 0.99999439 0.99999477 0.99999511 0.9999953  0.99999581
 0.9999964  0.99999699 0.99999721 0.99999781 0.99999829 0.99999881
 0.99999891 0.99999948 0.99999955 0.99999972]",[ 0.07929832 17.          0.01987809],0.9999936504724745,4,Optimization terminated successfully.,True
495,306,68,0,"[[ 0.42024891 13.          0.22842629]
 [ 0.41521461  7.          0.04821441]
 [ 0.41517891  7.          0.12222657]
 [ 0.41520278 17.          0.01827169]
 [ 0.40385594 11.          0.12680604]
 [ 0.3791376  13.          0.06984395]
 [ 0.37808784  9.          0.21243791]
 [ 0.37505026  5.          0.06579004]
 [ 0.42024891  1.          0.21218568]
 [ 0.37473443  5.          0.27168513]
 [ 0.34058672 13.          0.14805014]
 [ 0.33802629  7.          0.05092272]
 [ 0.31938677  9.          0.21315892]
 [ 0.31061876 13.          0.01848694]]","[0.95606162 0.96263405 0.963306   0.9645745  0.97090106 0.9829717
 0.98545996 0.98640325 0.98684261 0.98945175 0.99308354 0.99321794
 0.99612475 0.99842444]",[ 0.42024891 13.          0.22842629],0.9560616158170445,4,Optimization terminated successfully.,True
404,215,45,0,"[[ 0.93877165  3.          0.51009733]
 [ 0.92728539 13.          0.56568784]
 [ 0.78497569  1.          0.40899196]
 [ 0.85741278 13.          0.38835173]
 [ 0.82338717 11.          0.12983169]
 [ 0.94847701  3.          0.30442687]
 [ 1.06202593  9.          0.39121635]
 [ 0.94639869  3.          0.13285428]
 [ 0.96489195 11.          0.12986129]
 [ 0.99276337 17.          0.04617504]]","[0.90186263 0.93774208 0.93805863 0.94859477 0.95896321 0.96363341
 0.96549945 0.96790219 0.96898133 0.98527695]",[0.93877165 3.         0.51009733],0.9018626314443366,4,Optimization terminated successfully.,True
